Date,VehicleCount,RevenueProxy
2020-01-02,39,4165.94
2020-01-03,39,4205.89
2020-01-06,46,4170.32
2020-01-07,42,4187.31
2020-01-08,40,4189.45
2020-01-09,36,4204.35
2020-01-10,48,4195.88
2020-01-13,45,4202.72
2020-01-14,37,4158.69
2020-01-15,43,4182.01
2020-01-16,43,4047.28
2020-01-17,48,4167.23
2020-01-20,48,4133.29
2020-01-21,49,4088.18
2020-01-22,45,4168.42
2020-01-23,46,4106.66
2020-01-24,39,4106.02
2020-01-27,34,4061.42
2020-01-28,45,4156.7
2020-01-29,48,4098
2020-01-30,40,4084.73
2020-01-31,34,4076.17
2020-02-03,35,4074
2020-02-04,34,4060.87
2020-02-05,47,4082.47
2020-02-06,36,4094.92
2020-02-07,35,4111.44
2020-02-10,43,4029.87
2020-02-11,38,4024.81
2020-02-12,37,4123.54
2020-02-13,46,3950.36
2020-02-14,38,4066.94
2020-02-17,46,4046.73
2020-02-18,44,3994.46
2020-02-19,45,4043.87
2020-02-20,37,4052.07
2020-02-21,49,4199.69
2020-02-24,38,4046.55
2020-02-25,41,4047.17
2020-02-26,34,4065.46
2020-02-27,41,4061.31
2020-02-28,38,4061.25
