Date,VehicleCount,RevenueProxy
2020-01-02,16,1422.08
2020-01-03,14,1419.56
2020-01-06,12,1415
2020-01-07,12,1418.39
2020-01-08,13,1377.34
2020-01-09,14,1414.22
2020-01-10,15,1416.66
2020-01-13,13,1432.39
2020-01-14,14,1401.28
2020-01-15,11,1403.04
2020-01-16,13,1384.37
2020-01-17,17,1396.77
2020-01-20,12,1388.4
2020-01-21,15,1401.25
2020-01-22,14,1393.82
2020-01-23,12,1393.64
2020-01-24,14,1396.19
2020-01-27,12,1391.15
2020-01-28,15,1416.59
2020-01-29,14,1399.09
2020-01-30,12,1396.11
2020-01-31,15,1401.87
2020-02-03,13,1398.19
2020-02-04,14,1413.23
2020-02-05,12,1398.51
2020-02-06,12,1400.4
2020-02-07,14,1407.8
2020-02-10,14,1391.31
2020-02-11,12,1380.54
2020-02-12,15,1389.99
2020-02-13,15,1385.9
2020-02-14,15,1390.18
2020-02-17,14,1386.08
2020-02-18,14,1382.85
2020-02-19,14,1392.26
2020-02-20,14,1398.23
2020-02-21,13,1395.82
2020-02-24,16,1389.42
2020-02-25,16,1392.71
2020-02-26,13,1390.36
2020-02-27,16,1387.7
2020-02-28,15,1397.8
