Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,84.11,3629.42,2.512,0.74
2020-01-03,79.81,1911.52,2.019,0.764
2020-01-06,78.44,1003.97,1.713,0.47
2020-01-07,80.1,511.05,1.499,0.724
2020-01-08,80.04,261.79,1.323,0.725
2020-01-09,87.47,144.93,1.19,0.74
2020-01-10,75.34,65.1,1.062,0.736
2020-01-13,69.49,48.64,0.96,0.752
2020-01-14,74.19,51.93,0.899,0.695
2020-01-15,63.2,44.24,0.821,0.749
2020-01-16,68.41,47.89,0.781,0.634
2020-01-17,84.95,59.47,0.734,0.752
2020-01-20,64.98,45.48,0.677,0.742
2020-01-21,80.05,56.03,0.63,0.697
2020-01-22,68.41,47.89,0.591,0.798
2020-01-23,61.93,43.35,0.557,0.595
2020-01-24,73.67,51.57,0.523,0.764
2020-01-27,78.05,54.63,0.49,0.516
2020-01-28,88.82,62.17,0.472,0.862
2020-01-29,64.02,44.82,0.46,0.755
2020-01-30,71.61,50.12,0.436,0.745
2020-01-31,76.82,53.77,0.407,0.746
2020-02-03,75.06,52.54,0.385,0.793
2020-02-04,78.46,54.92,0.367,0.755
2020-02-05,83.9,58.73,0.361,0.767
2020-02-06,79.67,55.77,0.35,0.769
2020-02-07,90.03,63.02,0.341,0.769
2020-02-10,70.6,49.42,0.337,0.722
2020-02-11,65.13,45.59,0.322,0.758
2020-02-12,75.41,52.79,0.312,0.757
2020-02-13,60.96,42.67,0.308,0.736
2020-02-14,72.34,50.64,0.304,0.698
2020-02-17,58.69,41.08,0.296,0.69
2020-02-18,60.31,42.22,0.293,0.501
2020-02-19,60.53,42.37,0.287,0.705
2020-02-20,64.46,45.12,0.277,0.734
2020-02-21,70.07,49.05,0.272,0.731
2020-02-24,71.62,50.14,0.273,0.736
2020-02-25,64.69,45.28,0.261,0.763
2020-02-26,88.81,62.16,0.252,0.751
2020-02-27,88.12,61.68,0.245,0.773
2020-02-28,78.48,54.94,0.238,0.794
