Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,150.46,12857.83,3.292,1.449
2020-01-03,116.07,7997.92,2.674,1.443
2020-01-06,139.23,7984.17,2.293,1.149
2020-01-07,142.59,6478.51,1.983,1.434
2020-01-08,160.61,5937.6,1.728,1.421
2020-01-09,126.07,3666.91,1.556,1.386
2020-01-10,164.89,3717.07,1.411,1.391
2020-01-13,131.88,2324.72,1.315,1.452
2020-01-14,137.3,1897.65,1.205,1.438
2020-01-15,166.86,1796.28,1.098,1.431
2020-01-16,150.17,1248.71,1.008,1.33
2020-01-17,150.54,969.44,0.932,1.428
2020-01-20,120.76,624.14,0.867,1.425
2020-01-21,156.94,618.96,0.809,1.317
2020-01-22,162.15,497.5,0.759,1.399
2020-01-23,137.23,323.56,0.715,1.267
2020-01-24,122.76,224.75,0.676,1.442
2020-01-27,141.68,198.99,0.641,1.143
2020-01-28,132.17,142.46,0.609,1.473
2020-01-29,146.38,120.84,0.58,1.393
2020-01-30,114.08,78.67,0.554,1.385
2020-01-31,137.29,94.67,0.531,1.415
2020-02-03,166.95,115.12,0.509,1.483
2020-02-04,136.47,94.1,0.489,1.463
2020-02-05,141.72,97.72,0.47,1.456
2020-02-06,126.16,87,0.453,1.47
2020-02-07,145.64,100.43,0.437,1.473
2020-02-10,150.32,103.65,0.422,1.484
2020-02-11,121.64,83.88,0.408,1.443
2020-02-12,135.41,93.38,0.395,1.458
2020-02-13,157.06,108.31,0.383,1.451
2020-02-14,154.02,106.21,0.372,1.474
2020-02-17,175.95,121.33,0.361,1.457
2020-02-18,158.9,109.57,0.351,1.384
2020-02-19,172.66,119.06,0.341,1.463
2020-02-20,132.21,91.17,0.332,1.472
2020-02-21,144.48,99.63,0.323,1.472
2020-02-24,121.91,84.07,0.315,1.481
2020-02-25,150.08,103.49,0.307,1.467
2020-02-26,156.66,108.03,0.3,1.487
2020-02-27,124.19,85.63,0.293,1.513
2020-02-28,159.74,110.15,0.286,1.53
