Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,51.54,36.08,1.835,0.508
2020-01-03,55.68,38.97,1.545,0.482
2020-01-06,56.18,39.32,1.355,0.238
2020-01-07,46.1,32.27,1.191,0.507
2020-01-08,57.84,40.49,1.054,0.507
2020-01-09,53.56,37.49,0.938,0.507
2020-01-10,38.08,26.65,0.869,0.191
2020-01-13,60.73,42.51,0.782,0.539
2020-01-14,59.02,41.32,0.73,0.52
2020-01-15,41.57,29.1,0.675,0.516
2020-01-16,44.08,30.85,0.624,0.463
2020-01-17,45.29,31.71,0.583,0.566
2020-01-20,61.44,43.01,0.556,0.275
2020-01-21,52.05,36.43,0.536,0.458
2020-01-22,67.02,46.92,0.513,0.58
2020-01-23,65.53,45.87,0.489,0.441
2020-01-24,54.19,37.93,0.459,0.6
2020-01-27,69.77,48.84,0.452,0.35
2020-01-28,66.98,46.89,0.426,0.682
2020-01-29,54.34,38.04,0.417,0.622
2020-01-30,59.55,41.69,0.411,0.597
2020-01-31,73.29,51.31,0.394,0.456
2020-02-03,69.03,48.32,0.38,0.661
2020-02-04,70.3,49.21,0.378,0.65
2020-02-05,72.46,50.72,0.377,0.684
2020-02-06,66.49,46.54,0.358,0.725
2020-02-07,63.05,44.14,0.356,0.635
2020-02-10,72.94,51.06,0.344,0.676
2020-02-11,69.24,48.47,0.343,0.67
2020-02-12,75.84,53.09,0.339,0.698
2020-02-13,71.21,49.85,0.33,0.651
2020-02-14,65,45.5,0.323,0.647
2020-02-17,53.33,37.33,0.31,0.627
2020-02-18,57.53,40.27,0.298,0.531
2020-02-19,59.07,41.35,0.286,0.599
2020-02-20,66.9,46.83,0.279,0.387
2020-02-21,67.3,47.11,0.274,0.64
2020-02-24,61.99,43.39,0.261,0.636
2020-02-25,58.12,40.68,0.257,0.621
2020-02-26,55.75,39.02,0.252,0.668
2020-02-27,58.55,40.98,0.238,0.687
2020-02-28,81.93,57.35,0.228,0.714
