Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,87.68,4714.04,2.62,0.897
2020-01-03,85.59,2114.76,2.227,0.957
2020-01-06,78.61,934.79,1.878,0.9
2020-01-07,100.68,502.98,1.697,0.966
2020-01-08,86.61,185.71,1.477,1.004
2020-01-09,106.25,98.62,1.325,0.989
2020-01-10,88.58,62.01,1.206,1.034
2020-01-13,111.31,77.92,1.125,1.118
2020-01-14,110.44,77.31,1.035,1.063
2020-01-15,95.39,66.77,0.959,1.133
2020-01-16,118.68,83.08,0.926,0.802
2020-01-17,119.47,83.63,0.87,1.127
2020-01-20,94.45,66.11,0.824,1.086
2020-01-21,92.34,64.64,0.791,0.995
2020-01-22,111.97,78.38,0.752,1.181
2020-01-23,133.63,93.54,0.709,1.217
2020-01-24,129.54,90.68,0.672,1.238
2020-01-27,135.77,95.04,0.642,1.201
2020-01-28,113.92,79.74,0.625,1.331
2020-01-29,122.67,85.87,0.595,1.27
2020-01-30,139.45,97.62,0.574,1.28
2020-01-31,105.87,74.11,0.558,1.277
2020-02-03,134.78,94.34,0.537,1.251
2020-02-04,124.17,86.92,0.517,1.179
2020-02-05,113.35,79.34,0.506,1.265
2020-02-06,104.21,72.95,0.488,1.293
2020-02-07,117.88,82.52,0.471,1.295
2020-02-10,148.48,103.94,0.45,1.14
2020-02-11,117.26,82.08,0.433,1.136
2020-02-12,118.63,83.04,0.416,1.374
2020-02-13,113.98,79.78,0.401,0.969
2020-02-14,138.77,97.14,0.386,1.247
2020-02-17,112.06,78.44,0.373,1.189
2020-02-18,131.3,91.91,0.36,1.044
2020-02-19,100.1,70.07,0.348,1.226
2020-02-20,108.42,75.9,0.337,1.264
2020-02-21,124.63,87.24,0.327,1.413
2020-02-24,126.83,88.78,0.317,1.3
2020-02-25,110.69,77.48,0.308,1.314
2020-02-26,111.66,78.16,0.3,1.328
2020-02-27,136.36,95.45,0.292,1.325
2020-02-28,121.57,85.1,0.284,1.307
