Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,182.52,7566.35,1.239,1.736
2020-01-03,217.92,7675.73,1.215,1.839
2020-01-06,185.62,5401.02,1.209,1.788
2020-01-07,189.71,4530.57,1.166,1.839
2020-01-08,205.05,3965.86,1.14,1.855
2020-01-09,180.21,2840.02,1.11,1.879
2020-01-10,215.59,2653.13,1.069,1.915
2020-01-13,215.35,2061.25,1.023,1.967
2020-01-14,204.35,1530.72,0.949,1.872
2020-01-15,188.03,1082.69,0.88,1.911
2020-01-16,168.55,760.85,0.821,1.588
2020-01-17,203.25,693.64,0.769,1.902
2020-01-20,216.89,566.27,0.723,1.851
2020-01-21,184.83,362.42,0.683,1.789
2020-01-22,185.52,281.38,0.647,1.977
2020-01-23,185.24,214.87,0.614,1.858
2020-01-24,225.69,201.34,0.584,1.893
2020-01-27,173.35,124.63,0.558,1.838
2020-01-28,208.09,145.67,0.533,2.058
2020-01-29,159.8,111.86,0.511,1.911
2020-01-30,191.12,133.79,0.49,1.865
2020-01-31,179.66,125.77,0.471,1.893
2020-02-03,190.98,133.69,0.454,1.882
2020-02-04,210.47,147.33,0.438,1.852
2020-02-05,220.12,154.08,0.422,1.923
2020-02-06,218.81,153.16,0.408,1.963
2020-02-07,190.03,133.02,0.395,1.992
2020-02-10,205.52,143.86,0.383,1.768
2020-02-11,200.28,140.2,0.371,1.734
2020-02-12,202.17,141.52,0.36,1.973
2020-02-13,159.15,111.4,0.35,1.528
2020-02-14,189.73,132.81,0.34,1.837
2020-02-17,175.45,122.82,0.33,1.772
2020-02-18,196.36,137.45,0.322,1.671
2020-02-19,196.78,137.75,0.313,1.808
2020-02-20,150.19,105.13,0.305,1.839
2020-02-21,191.69,134.18,0.298,2.261
2020-02-24,209.43,146.6,0.291,1.891
2020-02-25,198.77,139.14,0.284,1.93
2020-02-26,230.13,161.09,0.278,1.969
2020-02-27,218.9,153.23,0.271,1.955
2020-02-28,174.46,122.12,0.266,1.952
