Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,72.11,2161.66,3.403,0.656
2020-01-03,52.56,626.48,2.549,0.651
2020-01-06,60.91,253.46,2.104,0.575
2020-01-07,61.57,101.29,1.704,0.623
2020-01-08,50.57,35.4,1.437,0.352
2020-01-09,67.51,47.26,1.267,0.646
2020-01-10,64.87,45.41,1.123,0.715
2020-01-13,75.14,52.6,1.01,0.875
2020-01-14,75.51,52.86,0.918,0.665
2020-01-15,63.18,44.23,0.859,0.668
2020-01-16,70.47,49.33,0.796,0.582
2020-01-17,68.4,47.88,0.726,0.668
2020-01-20,55.83,39.08,0.675,0.587
2020-01-21,68.03,47.62,0.63,0.641
2020-01-22,54.42,38.09,0.6,0.647
2020-01-23,75.74,53.02,0.565,0.612
2020-01-24,55.99,39.19,0.532,0.651
2020-01-27,50.14,35.1,0.512,0.582
2020-01-28,72.66,50.86,0.483,0.764
2020-01-29,57.63,40.34,0.456,0.689
2020-01-30,73.71,51.6,0.442,0.715
2020-01-31,72.2,50.54,0.435,0.738
2020-02-03,82.22,57.55,0.423,0.676
2020-02-04,59.41,41.59,0.402,0.767
2020-02-05,59.73,41.81,0.379,0.671
2020-02-06,74.7,52.29,0.369,0.677
2020-02-07,74.86,52.4,0.349,0.75
2020-02-10,63.5,44.45,0.341,0.667
2020-02-11,67.57,47.3,0.33,0.611
2020-02-12,58.4,40.88,0.326,0.666
2020-02-13,52.69,36.88,0.316,0.588
2020-02-14,70.61,49.42,0.303,0.619
2020-02-17,55.35,38.74,0.296,0.552
2020-02-18,53.83,37.68,0.284,0.529
2020-02-19,54.68,38.28,0.275,0.577
2020-02-20,67.04,46.93,0.269,0.629
2020-02-21,52.96,37.07,0.262,0.62
2020-02-24,56.2,39.34,0.256,0.62
2020-02-25,61.55,43.08,0.249,0.65
2020-02-26,70.46,49.32,0.243,0.682
2020-02-27,61.07,42.75,0.231,0.7
2020-02-28,78.71,55.1,0.231,0.765
