Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,111.55,6879.45,2.461,1.169
2020-01-03,128.64,4754.55,2.069,1.21
2020-01-06,124.78,2778.43,1.806,1.155
2020-01-07,124.36,1577.33,1.611,1.206
2020-01-08,129.55,904.15,1.463,1.27
2020-01-09,112.2,438.42,1.328,1.211
2020-01-10,130.63,262.59,1.24,1.254
2020-01-13,142.06,144.17,1.151,1.395
2020-01-14,116.93,81.85,1.069,1.205
2020-01-15,131.31,91.92,0.989,1.242
2020-01-16,109.83,76.88,0.935,1.141
2020-01-17,120.94,84.66,0.891,1.229
2020-01-20,105.34,73.74,0.856,1.208
2020-01-21,110.38,77.27,0.789,1.267
2020-01-22,123.8,86.66,0.756,1.284
2020-01-23,123.25,86.28,0.727,1.286
2020-01-24,129.64,90.74,0.692,1.318
2020-01-27,141.74,99.22,0.668,1.312
2020-01-28,158.19,110.73,0.636,1.442
2020-01-29,123.44,86.41,0.6,1.331
2020-01-30,114.76,80.33,0.569,1.345
2020-01-31,139.15,97.4,0.54,1.329
2020-02-03,114.03,79.82,0.515,1.296
2020-02-04,132.95,93.07,0.491,1.412
2020-02-05,157.19,110.03,0.47,1.329
2020-02-06,146.4,102.48,0.45,1.351
2020-02-07,141.26,98.88,0.432,1.408
2020-02-10,108.27,75.79,0.416,1.278
2020-02-11,114.42,80.09,0.4,1.231
2020-02-12,146.2,102.34,0.385,1.264
2020-02-13,101.2,70.84,0.372,1.216
2020-02-14,115.78,81.04,0.36,1.146
2020-02-17,137.34,96.14,0.348,1.22
2020-02-18,146.42,102.49,0.337,1.163
2020-02-19,146.39,102.47,0.327,1.467
2020-02-20,102.97,72.08,0.317,1.266
2020-02-21,134.23,93.96,0.308,1.252
2020-02-24,151.85,106.3,0.3,1.262
2020-02-25,143.77,100.64,0.292,1.273
2020-02-26,107.22,75.05,0.284,1.18
2020-02-27,115.61,80.93,0.277,1.257
2020-02-28,123,86.1,0.27,1.235
