Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,117.06,7158.67,1.501,1.149
2020-01-03,139.94,7229.44,1.395,1.191
2020-01-06,124.71,5475.02,1.314,1.171
2020-01-07,143.79,5218.18,1.206,1.223
2020-01-08,106.52,3184.56,1.119,1.238
2020-01-09,99.54,2448.37,1.072,1.241
2020-01-10,119.89,2423.69,1.015,1.337
2020-01-13,116.47,1893.2,0.951,1.422
2020-01-14,141.14,1901.13,0.906,1.257
2020-01-15,101.63,1139.54,0.866,1.27
2020-01-16,105.29,963.02,0.83,1.176
2020-01-17,138.16,1029.76,0.787,1.284
2020-01-20,134.23,802.59,0.759,1.252
2020-01-21,131.11,625.88,0.714,1.783
2020-01-22,138.54,528.99,0.68,1.329
2020-01-23,139.92,442.33,0.645,1.29
2020-01-24,105.85,269.47,0.614,1.295
2020-01-27,117.05,237.24,0.585,1.28
2020-01-28,108.31,175.54,0.559,1.403
2020-01-29,155.61,201.64,0.535,1.309
2020-01-30,111.34,116.47,0.513,1.344
2020-01-31,138.28,116.27,0.493,1.255
2020-02-03,147.7,103.39,0.474,1.289
2020-02-04,134.38,94.07,0.457,1.599
2020-02-05,154.07,107.85,0.441,1.351
2020-02-06,122.02,85.42,0.426,1.365
2020-02-07,152.66,106.86,0.412,1.402
2020-02-10,117.11,81.98,0.399,1.362
2020-02-11,141.75,99.23,0.387,1.322
2020-02-12,122.13,85.49,0.375,1.385
2020-02-13,146.64,102.65,0.365,1.348
2020-02-14,120.79,84.55,0.354,1.356
2020-02-17,137.43,96.2,0.345,1.297
2020-02-18,133.49,93.44,0.335,1.243
2020-02-19,152.21,106.55,0.327,1.334
2020-02-20,137.35,96.14,0.319,1.416
2020-02-21,151.74,106.22,0.311,1.384
2020-02-24,164.79,115.35,0.304,1.406
2020-02-25,166.33,116.43,0.296,1.433
2020-02-26,155.39,108.78,0.29,1.417
2020-02-27,122.37,85.66,0.283,1.398
2020-02-28,158.88,111.22,0.277,1.444
