Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,117.89,3321.33,1.7,1.017
2020-01-03,129.47,2339.41,1.497,1.196
2020-01-06,100.42,1144.59,1.393,1.201
2020-01-07,130.21,882.34,1.28,1.184
2020-01-08,118.98,451.44,1.182,1.167
2020-01-09,116.5,252.29,1.091,1.195
2020-01-10,118.93,141.97,1.012,1.167
2020-01-13,113.52,79.46,0.955,1.246
2020-01-14,124.27,86.99,0.887,1.042
2020-01-15,111.15,77.8,0.839,1.114
2020-01-16,80.28,56.2,0.803,0.659
2020-01-17,88.92,62.24,0.736,1.066
2020-01-20,108.38,75.87,0.702,0.999
2020-01-21,96.63,67.64,0.659,0.751
2020-01-22,95.87,67.11,0.616,1.08
2020-01-23,90.06,63.04,0.592,1.03
2020-01-24,119.76,83.83,0.569,1.086
2020-01-27,111.87,78.31,0.561,0.981
2020-01-28,118.86,83.2,0.544,1.249
2020-01-29,93.51,65.46,0.513,1.089
2020-01-30,89.9,62.93,0.494,0.993
2020-01-31,93.18,65.23,0.477,1.068
2020-02-03,99.23,69.46,0.457,1.078
2020-02-04,122.03,85.42,0.438,1.108
2020-02-05,123.46,86.42,0.421,1.062
2020-02-06,125.44,87.81,0.403,1.142
2020-02-07,95.8,67.06,0.387,1.251
2020-02-10,117.74,82.42,0.377,1.032
2020-02-11,103.04,72.13,0.365,1.04
2020-02-12,109.6,76.72,0.353,1.08
2020-02-13,94.97,66.48,0.341,1.036
2020-02-14,90.38,63.26,0.331,1.096
2020-02-17,98.11,68.68,0.318,0.918
2020-02-18,108.58,76,0.312,0.771
2020-02-19,130.79,91.55,0.304,1.093
2020-02-20,128.23,89.76,0.294,1.081
2020-02-21,118.38,82.87,0.288,1.099
2020-02-24,116.1,81.27,0.28,1.13
2020-02-25,134.98,94.48,0.272,1.144
2020-02-26,108.17,75.72,0.266,1.178
2020-02-27,139.28,97.5,0.26,1.177
2020-02-28,104.46,73.12,0.254,1.19
