Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,111.45,3139.76,1.7,1.017
2020-01-03,102.63,1854.47,1.497,1.196
2020-01-06,126.54,1442.33,1.393,1.37
2020-01-07,125.02,847.17,1.28,1.184
2020-01-08,104.26,395.57,1.182,1.167
2020-01-09,129.6,280.65,1.091,1.195
2020-01-10,113.39,135.35,1.012,1.167
2020-01-13,115.84,81.09,0.955,1.246
2020-01-14,122.06,85.44,0.887,1.042
2020-01-15,125.22,87.65,0.839,1.114
2020-01-16,94.29,66.01,0.803,0.659
2020-01-17,109.03,76.32,0.736,1.066
2020-01-20,97.1,67.97,0.702,1.029
2020-01-21,108.01,75.61,0.659,0.751
2020-01-22,125.31,87.71,0.616,1.08
2020-01-23,105.59,73.91,0.592,1.03
2020-01-24,110.16,77.12,0.569,1.086
2020-01-27,88.64,62.05,0.561,0.981
2020-01-28,130.68,91.48,0.544,1.249
2020-01-29,113.8,79.66,0.513,1.089
2020-01-30,107.11,74.97,0.494,0.993
2020-01-31,104.2,72.94,0.477,1.068
2020-02-03,101.31,70.92,0.457,1.078
2020-02-04,89.45,62.62,0.438,1.108
2020-02-05,87.7,61.39,0.421,1.062
2020-02-06,85.97,60.18,0.403,1.142
2020-02-07,114.47,80.13,0.387,1.7
2020-02-10,93.69,65.59,0.377,1.062
2020-02-11,91.21,63.84,0.365,1.04
2020-02-12,131.23,91.86,0.353,1.08
2020-02-13,127.24,89.07,0.341,1.036
2020-02-14,94.75,66.32,0.331,1.096
2020-02-17,110.02,77.02,0.318,0.918
2020-02-18,111.45,78.02,0.312,0.771
2020-02-19,101.31,70.92,0.304,1.093
2020-02-20,101.41,70.98,0.294,1.081
2020-02-21,131.75,92.22,0.288,1.099
2020-02-24,125.23,87.66,0.28,1.13
2020-02-25,114.94,80.45,0.272,1.144
2020-02-26,139.82,97.88,0.266,1.178
2020-02-27,130.35,91.25,0.26,1.177
2020-02-28,139.75,97.82,0.254,1.167
