Date,Price,Volume,ChangePct
2020-01-02,80.9375,2607.15,-0.2754
2020-01-03,48.535,2699.86,-0.5655
2020-01-06,29.0212,2761.8,-0.7402
2020-01-07,16.9403,2843.95,-0.8483
2020-01-08,9.6405,2949.02,-0.9137
2020-01-09,5.599,3033.27,-0.9499
2020-01-10,3.1904,3133.44,-0.9714
2020-01-13,1.9563,3212.6,-0.9825
2020-01-14,1.3357,3310.28,-0.988
2020-01-15,1.0654,3337.21,-0.9905
2020-01-16,1,3372.52,-0.991
2020-01-17,1,3408.53,-0.991
2020-01-20,1,3494.74,-0.991
2020-01-21,1,3482.22,-0.991
2020-01-22,1,3535.02,-0.991
2020-01-23,1,3567.92,-0.991
2020-01-24,1,3585.71,-0.991
2020-01-27,1,3636.8,-0.991
2020-01-28,1,3656.18,-0.991
2020-01-29,1,3643.26,-0.991
2020-01-30,1,3665.19,-0.991
2020-01-31,1,3658.58,-0.991
2020-02-03,1,3661.48,-0.991
2020-02-04,1,3663.29,-0.991
2020-02-05,1,3662.09,-0.991
2020-02-06,1,3659.13,-0.991
2020-02-07,1,3663.09,-0.991
2020-02-10,1,3656.4,-0.991
2020-02-11,1,3653.06,-0.991
2020-02-12,1,3658.1,-0.991
2020-02-13,1,3668.08,-0.991
2020-02-14,1,3671.64,-0.991
2020-02-17,1,3661.91,-0.991
2020-02-18,1,3651.55,-0.991
2020-02-19,1,3624.39,-0.991
2020-02-20,1,3634.88,-0.991
2020-02-21,1,3646.67,-0.991
2020-02-24,1,3654.78,-0.991
2020-02-25,1,3634.12,-0.991
2020-02-26,1,3630.63,-0.991
2020-02-27,1,3644.34,-0.991
2020-02-28,1,3654.16,-0.991
