Date,Price,Volume,ChangePct
2020-01-02,78.1701,2216.89,0.2653
2020-01-03,52.0868,2302.55,-0.1569
2020-01-06,34.5329,2434.8,-0.441
2020-01-07,21.3497,2569.68,-0.6544
2020-01-08,12.5991,2707.12,-0.7961
2020-01-09,7.3698,2786.64,-0.8807
2020-01-10,4.2596,2861.41,-0.9311
2020-01-13,2.4597,2899.53,-0.9602
2020-01-14,1.6725,2911.07,-0.9729
2020-01-15,1.1709,2939.49,-0.981
2020-01-16,1,2980.96,-0.9838
2020-01-17,1,2959.23,-0.9838
2020-01-20,1,2983.94,-0.9838
2020-01-21,1,2982.23,-0.9838
2020-01-22,1,2970.43,-0.9838
2020-01-23,1,2989.57,-0.9838
2020-01-24,1,3009.44,-0.9838
2020-01-27,1,3059.44,-0.9838
2020-01-28,1,3087.16,-0.9838
2020-01-29,1,3073.76,-0.9838
2020-01-30,1,3085.9,-0.9838
2020-01-31,1,3098.96,-0.9838
2020-02-03,1,3098.96,-0.9838
2020-02-04,1,3098.96,-0.9838
2020-02-05,1,3098.96,-0.9838
2020-02-06,1,3089.15,-0.9838
2020-02-07,1,3086.7,-0.9838
2020-02-10,1,3098.96,-0.9838
2020-02-11,1,3098.96,-0.9838
2020-02-12,1,3098.96,-0.9838
2020-02-13,1,3098.06,-0.9838
2020-02-14,1,3098.96,-0.9838
2020-02-17,1,3082.95,-0.9838
2020-02-18,1,3097.58,-0.9838
2020-02-19,1,3098.96,-0.9838
2020-02-20,1,3094.44,-0.9838
2020-02-21,1,3098.96,-0.9838
2020-02-24,1,3098.96,-0.9838
2020-02-25,1,3092.61,-0.9838
2020-02-26,1,3098.7,-0.9838
2020-02-27,1,3098.96,-0.9838
2020-02-28,1,3098.96,-0.9838
