Date,Price,Volume,ChangePct
2020-01-02,40.1549,5690.96,-0.7813
2020-01-03,22.537,5741.12,-0.8773
2020-01-06,15.0693,5825.79,-0.9179
2020-01-07,10.7805,5887.31,-0.9413
2020-01-08,8.3126,5871.1,-0.9547
2020-01-09,6.7417,5900.48,-0.9633
2020-01-10,5.644,5922.34,-0.9693
2020-01-13,4.701,5913.81,-0.9744
2020-01-14,4.0379,5973.29,-0.978
2020-01-15,3.5005,5980.57,-0.9809
2020-01-16,3.0086,6063.64,-0.9836
2020-01-17,2.6055,6064.43,-0.9858
2020-01-20,2.2545,6080.97,-0.9877
2020-01-21,1.9675,6122.53,-0.9893
2020-01-22,1.74,6169.15,-0.9905
2020-01-23,1.5836,6205.86,-0.9914
2020-01-24,1.437,6184.85,-0.9922
2020-01-27,1.3135,6239.1,-0.9928
2020-01-28,1.2168,6249.4,-0.9934
2020-01-29,1.1394,6283.92,-0.9938
2020-01-30,1.0799,6304.43,-0.9941
2020-01-31,1.0311,6318.83,-0.9944
2020-02-03,0.9975,6328.7,-0.9946
2020-02-04,0.9975,6360.58,-0.9946
2020-02-05,0.9975,6402.96,-0.9946
2020-02-06,0.9975,6416.59,-0.9946
2020-02-07,0.9975,6443.76,-0.9946
2020-02-10,0.9975,6431.21,-0.9946
2020-02-11,0.9975,6443.83,-0.9946
2020-02-12,0.9975,6497.66,-0.9946
2020-02-13,0.9975,6534.09,-0.9946
2020-02-14,0.9975,6568.09,-0.9946
2020-02-17,0.9975,6543.58,-0.9946
2020-02-18,0.9975,6556.07,-0.9946
2020-02-19,0.9975,6534.48,-0.9946
2020-02-20,0.9975,6544.1,-0.9946
2020-02-21,0.9975,6522.79,-0.9946
2020-02-24,0.9975,6495.06,-0.9946
2020-02-25,0.9975,6507.11,-0.9946
2020-02-26,0.9975,6548.42,-0.9946
2020-02-27,0.9975,6507.77,-0.9946
2020-02-28,0.9975,6443.59,-0.9946
