Date,FuturesPrice,SpotPrice,Basis,BasisPct
2020-01-02,90.399,90.8387,-0.4397,-0.0048
2020-01-03,81.7984,81.7548,0.0436,0.0005
2020-01-06,73.653,73.5794,0.0736,0.001
2020-01-07,66.1595,66.2214,-0.0619,-0.0009
2020-01-08,60.5197,60.4518,0.0679,0.0011
2020-01-09,55.3537,55.3868,-0.033,-0.0006
2020-01-10,51.7231,51.6726,0.0505,0.001
2020-01-13,49.9179,49.8757,0.0422,0.0008
2020-01-14,50.5271,50.4697,0.0574,0.0011
2020-01-15,48.6147,48.614,0.0007,0
2020-01-16,46.6561,46.5777,0.0784,0.0017
2020-01-17,49.23,49.1581,0.0719,0.0015
2020-01-20,52.3588,52.3496,0.0092,0.0002
2020-01-21,49.9339,49.7346,0.1992,0.004
2020-01-22,48.678,48.7144,-0.0365,-0.0007
2020-01-23,48.8096,48.7722,0.0374,0.0008
2020-01-24,46.8668,46.509,0.3578,0.0077
2020-01-27,48.5293,48.2605,0.2687,0.0056
2020-01-28,48.5407,48.4119,0.1288,0.0027
2020-01-29,46.6835,46.489,0.1946,0.0042
2020-01-30,47.2854,47.0184,0.2669,0.0057
2020-01-31,46.9503,46.8985,0.0517,0.0011
2020-02-03,48.4766,48.4704,0.0062,0.0001
2020-02-04,45.5339,45.403,0.1309,0.0029
2020-02-05,46.9201,46.6776,0.2425,0.0052
2020-02-06,47.7924,47.7255,0.0669,0.0014
2020-02-07,46.5705,46.4031,0.1674,0.0036
2020-02-10,45.6683,45.3932,0.2751,0.0061
2020-02-11,44.744,44.7216,0.0224,0.0005
2020-02-12,47.1177,47.0603,0.0574,0.0012
2020-02-13,44.1223,43.9419,0.1803,0.0041
2020-02-14,46.4835,46.3734,0.1101,0.0024
2020-02-17,47.0859,46.9707,0.1152,0.0025
2020-02-18,44.8946,44.6451,0.2495,0.0056
2020-02-19,45.3864,45.2344,0.152,0.0034
2020-02-20,46.1184,45.8194,0.299,0.0065
2020-02-21,47.897,47.7084,0.1886,0.004
2020-02-24,45.5034,45.1695,0.3339,0.0074
2020-02-25,43.5091,43.3984,0.1107,0.0026
2020-02-26,44.8726,44.6616,0.211,0.0047
2020-02-27,43.6801,43.4375,0.2426,0.0056
2020-02-28,41.9359,41.7829,0.153,0.0037
