Date,FuturesPrice,SpotPrice,Basis,BasisPct
2020-01-02,104.0622,103.6719,0.3903,0.0038
2020-01-03,100.8564,100.6501,0.2064,0.0021
2020-01-06,100.6749,100.0244,0.6506,0.0065
2020-01-07,102.4798,101.7224,0.7574,0.0074
2020-01-08,102.6771,102.1186,0.5584,0.0055
2020-01-09,103.1296,102.6507,0.4789,0.0047
2020-01-10,106.8421,106.5651,0.277,0.0026
2020-01-13,106.8114,106.4067,0.4046,0.0038
2020-01-14,102.957,102.6256,0.3314,0.0032
2020-01-15,105.2979,104.6857,0.6122,0.0058
2020-01-16,103.5625,102.7684,0.7941,0.0077
2020-01-17,105.7754,105.206,0.5694,0.0054
2020-01-20,107.0823,106.459,0.6233,0.0059
2020-01-21,110.9496,110.6411,0.3085,0.0028
2020-01-22,107.4876,106.9858,0.5018,0.0047
2020-01-23,106.1584,105.6752,0.4832,0.0046
2020-01-24,106.4441,105.9335,0.5106,0.0048
2020-01-27,110.7101,110.5874,0.1227,0.0011
2020-01-28,111.3747,110.9909,0.3837,0.0035
2020-01-29,105.081,104.6361,0.445,0.0043
2020-01-30,108.3258,108.174,0.1518,0.0014
2020-01-31,111.3188,110.7914,0.5274,0.0048
2020-02-03,112.1009,111.9529,0.148,0.0013
2020-02-04,112.9046,112.7314,0.1732,0.0015
2020-02-05,109.3258,109.2338,0.092,0.0008
2020-02-06,109.6078,109.2275,0.3803,0.0035
2020-02-07,111.9734,111.628,0.3453,0.0031
2020-02-10,116.0338,115.6646,0.3692,0.0032
2020-02-11,111.2479,111.0175,0.2304,0.0021
2020-02-12,113.1159,112.9745,0.1414,0.0013
2020-02-13,109.7593,109.3252,0.4341,0.004
2020-02-14,107.9584,107.5982,0.3602,0.0033
2020-02-17,109.8341,109.2897,0.5444,0.005
2020-02-18,107.5217,107.373,0.1488,0.0014
2020-02-19,107.6269,106.9929,0.634,0.0059
2020-02-20,109.243,108.7719,0.4711,0.0043
2020-02-21,107.3725,107.3257,0.0468,0.0004
2020-02-24,107.0466,106.8713,0.1753,0.0016
2020-02-25,110.6079,110.0812,0.5267,0.0048
2020-02-26,110.0914,109.7428,0.3485,0.0032
2020-02-27,110.9484,110.7862,0.1623,0.0015
2020-02-28,110.1907,109.8634,0.3274,0.003
