Date,FuturesPrice,SpotPrice,Basis,BasisPct
2020-01-02,30.4353,30.2352,0.2001,0.0066
2020-01-03,27.5566,27.4529,0.1038,0.0038
2020-01-06,25.8716,25.8368,0.0348,0.0013
2020-01-07,24.6041,24.4688,0.1353,0.0055
2020-01-08,23.5141,23.4667,0.0473,0.002
2020-01-09,21.9005,21.9345,-0.034,-0.0016
2020-01-10,21.0851,21.1136,-0.0285,-0.0014
2020-01-13,20.177,20.1613,0.0158,0.0008
2020-01-14,19.5213,19.4488,0.0725,0.0037
2020-01-15,18.4477,18.3374,0.1103,0.006
2020-01-16,17.3331,17.3419,-0.0088,-0.0005
2020-01-17,17.4289,17.3845,0.0444,0.0026
2020-01-20,17.3606,17.2921,0.0685,0.004
2020-01-21,17.4336,17.3899,0.0437,0.0025
2020-01-22,17.0661,17.0271,0.039,0.0023
2020-01-23,17.1332,17.1978,-0.0647,-0.0038
2020-01-24,17.36,17.2766,0.0834,0.0048
2020-01-27,17.3988,17.358,0.0408,0.0024
2020-01-28,18.3987,18.3107,0.088,0.0048
2020-01-29,17.4396,17.454,-0.0144,-0.0008
2020-01-30,17.2137,17.2043,0.0094,0.0005
2020-01-31,17.588,17.5954,-0.0074,-0.0004
2020-02-03,17.3622,17.265,0.0972,0.0056
2020-02-04,17.1627,17.1009,0.0618,0.0036
2020-02-05,17.4437,17.4745,-0.0308,-0.0018
2020-02-06,17.5093,17.4356,0.0737,0.0042
2020-02-07,17.259,17.2641,-0.0051,-0.0003
2020-02-10,16.7965,16.8132,-0.0167,-0.001
2020-02-11,17.8866,17.8139,0.0727,0.0041
2020-02-12,17.8265,17.7825,0.044,0.0025
2020-02-13,17.7195,17.7396,-0.0201,-0.0011
2020-02-14,17.7942,17.829,-0.0348,-0.002
2020-02-17,17.371,17.3347,0.0362,0.0021
2020-02-18,17.6311,17.6459,-0.0148,-0.0008
2020-02-19,17.3096,17.3056,0.004,0.0002
2020-02-20,17.3921,17.3857,0.0064,0.0004
2020-02-21,17.7789,17.7494,0.0295,0.0017
2020-02-24,17.2917,17.2376,0.0541,0.0031
2020-02-25,17.4066,17.3572,0.0495,0.0029
2020-02-26,17.4564,17.4461,0.0103,0.0006
2020-02-27,17.9375,17.8658,0.0717,0.004
2020-02-28,17.5803,17.6059,-0.0256,-0.0015
