Date,Rate,ChangePct
2020-01-02,0.140552,0.00394
2020-01-03,0.140463,-0.00063
2020-01-06,0.140068,-0.00282
2020-01-07,0.139797,-0.00193
2020-01-08,0.14002,0.0016
2020-01-09,0.138917,-0.00788
2020-01-10,0.13846,-0.00329
2020-01-13,0.139289,0.00599
2020-01-14,0.139973,0.00491
2020-01-15,0.139484,-0.00349
2020-01-16,0.139843,0.00257
2020-01-17,0.139894,0.00036
2020-01-20,0.139924,0.00022
2020-01-21,0.139749,-0.00125
2020-01-22,0.140042,0.00209
2020-01-23,0.139055,-0.00704
2020-01-24,0.138974,-0.00058
2020-01-27,0.137802,-0.00843
2020-01-28,0.13775,-0.00038
2020-01-29,0.13728,-0.00341
2020-01-30,0.136422,-0.00625
2020-01-31,0.136542,0.00088
2020-02-03,0.137314,0.00565
2020-02-04,0.137233,-0.00059
2020-02-05,0.139124,0.01378
2020-02-06,0.13887,-0.00183
2020-02-07,0.139301,0.0031
2020-02-10,0.13935,0.00036
2020-02-11,0.139258,-0.00066
2020-02-12,0.140921,0.01194
2020-02-13,0.140935,0.00011
2020-02-14,0.14182,0.00628
2020-02-17,0.141386,-0.00306
2020-02-18,0.140324,-0.00751
2020-02-19,0.141117,0.00566
2020-02-20,0.141065,-0.00037
2020-02-21,0.141939,0.0062
2020-02-24,0.140928,-0.00712
2020-02-25,0.140142,-0.00557
2020-02-26,0.139736,-0.0029
2020-02-27,0.138213,-0.0109
2020-02-28,0.138596,0.00277
