Date,Rate,ChangePct
2020-01-02,1.076779,-0.00298
2020-01-03,1.078679,0.00176
2020-01-06,1.085861,0.00666
2020-01-07,1.089541,0.00339
2020-01-08,1.08924,-0.00028
2020-01-09,1.089218,-2E-05
2020-01-10,1.086101,-0.00286
2020-01-13,1.083724,-0.00219
2020-01-14,1.089311,0.00516
2020-01-15,1.076978,-0.01132
2020-01-16,1.068886,-0.00751
2020-01-17,1.06385,-0.00471
2020-01-20,1.060643,-0.00301
2020-01-21,1.058752,-0.00178
2020-01-22,1.052336,-0.00606
2020-01-23,1.059767,0.00706
2020-01-24,1.056195,-0.00337
2020-01-27,1.071702,0.01468
2020-01-28,1.069827,-0.00175
2020-01-29,1.076136,0.0059
2020-01-30,1.077576,0.00134
2020-01-31,1.069714,-0.0073
2020-02-03,1.07036,0.0006
2020-02-04,1.078263,0.00738
2020-02-05,1.083454,0.00481
2020-02-06,1.083054,-0.00037
2020-02-07,1.087817,0.0044
2020-02-10,1.095501,0.00706
2020-02-11,1.092956,-0.00232
2020-02-12,1.090705,-0.00206
2020-02-13,1.094293,0.00329
2020-02-14,1.100298,0.00549
2020-02-17,1.094276,-0.00547
2020-02-18,1.097279,0.00274
2020-02-19,1.090323,-0.00634
2020-02-20,1.091861,0.00141
2020-02-21,1.088736,-0.00286
2020-02-24,1.083252,-0.00504
2020-02-25,1.09374,0.00968
2020-02-26,1.101869,0.00743
2020-02-27,1.104295,0.0022
2020-02-28,1.103725,-0.00052
