Date,Rate,ChangePct
2020-01-02,1.252968,0.00237
2020-01-03,1.248799,-0.00333
2020-01-06,1.242181,-0.0053
2020-01-07,1.24035,-0.00147
2020-01-08,1.241058,0.00057
2020-01-09,1.227105,-0.01124
2020-01-10,1.224013,-0.00252
2020-01-13,1.216141,-0.00643
2020-01-14,1.217267,0.00093
2020-01-15,1.221377,0.00338
2020-01-16,1.231071,0.00794
2020-01-17,1.235586,0.00367
2020-01-20,1.239593,0.00324
2020-01-21,1.234266,-0.0043
2020-01-22,1.234273,1E-05
2020-01-23,1.238676,0.00357
2020-01-24,1.241995,0.00268
2020-01-27,1.247659,0.00456
2020-01-28,1.246099,-0.00125
2020-01-29,1.255922,0.00788
2020-01-30,1.256716,0.00063
2020-01-31,1.258854,0.0017
2020-02-03,1.265663,0.00541
2020-02-04,1.26097,-0.00371
2020-02-05,1.262628,0.00132
2020-02-06,1.256727,-0.00467
2020-02-07,1.25884,0.00168
2020-02-10,1.25858,-0.00021
2020-02-11,1.258253,-0.00026
2020-02-12,1.262879,0.00368
2020-02-13,1.26071,-0.00172
2020-02-14,1.265491,0.00379
2020-02-17,1.264671,-0.00065
2020-02-18,1.263475,-0.00095
2020-02-19,1.269039,0.0044
2020-02-20,1.278059,0.00711
2020-02-21,1.285056,0.00547
2020-02-24,1.290788,0.00446
2020-02-25,1.292733,0.00151
2020-02-26,1.29123,-0.00116
2020-02-27,1.294946,0.00288
2020-02-28,1.284648,-0.00795
