Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,22.44,0.954,0.61
2020-01-03,29.2,1.126,0.36
2020-01-06,41.15,1.052,1.1
2020-01-07,41.59,1.083,0.62
2020-01-08,47.37,0.809,0.5
2020-01-09,52.86,0.986,0.29
2020-01-10,51.37,0.86,0.54
2020-01-13,56.36,1.102,0.62
2020-01-14,59.69,1.114,0.66
2020-01-15,58.32,1.051,0.79
2020-01-16,65.02,1.173,0.93
2020-01-17,67.82,1.153,0.9
2020-01-20,72.83,1.002,0.99
2020-01-21,75.54,0.959,1.55
2020-01-22,77.52,0.892,0.68
2020-01-23,78.19,0.913,0.78
2020-01-24,75.07,0.812,0.21
2020-01-27,83.75,1.009,1.7
2020-01-28,84.71,0.969,0.51
2020-01-29,82.38,0.801,0.67
2020-01-30,85.96,0.973,0.88
2020-01-31,89.69,1.111,0.28
2020-02-03,86.48,1.076,0.32
2020-02-04,83.87,0.929,0.73
2020-02-05,81.74,1.01,0.21
2020-02-06,82.57,1.193,1.03
2020-02-07,86.24,1.046,0.8
2020-02-10,89.43,0.784,1.2
2020-02-11,85.65,0.844,0.51
2020-02-12,81.91,0.894,0.43
2020-02-13,78.8,0.911,0.47
2020-02-14,77.66,1.08,0.2
2020-02-17,76.01,1.013,0.3
2020-02-18,79.95,0.946,0.86
2020-02-19,75.85,1.054,0.64
2020-02-20,79.58,0.868,0.59
2020-02-21,78.51,1.045,0.68
2020-02-24,82.51,1.122,0.64
2020-02-25,80,0.831,0.52
2020-02-26,80.6,1.081,0.78
2020-02-27,84.61,0.995,1.3
2020-02-28,85.3,1.049,0.69
