Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,24.44,0.96,0.78
2020-01-03,31.1,0.956,1.25
2020-01-06,42.95,0.967,3.29
2020-01-07,43.3,0.897,0.97
2020-01-08,49,1.088,1.36
2020-01-09,54.41,0.994,1.28
2020-01-10,59.69,0.849,0.62
2020-01-13,63.21,0.941,1.39
2020-01-14,67.3,1.023,2.12
2020-01-15,67.2,0.973,0.45
2020-01-16,69.97,1.091,0.85
2020-01-17,72.52,1.003,0.71
2020-01-20,69.83,0.94,1.96
2020-01-21,68.14,1.063,1.07
2020-01-22,67.35,0.926,1.27
2020-01-23,68.15,1.091,1.27
2020-01-24,65.33,1.06,1.35
2020-01-27,69.93,1.108,1.44
2020-01-28,63.8,1.017,0.58
2020-01-29,59.76,1.023,0.37
2020-01-30,57.77,0.858,0.52
2020-01-31,58.91,1.133,1.88
2020-02-03,60.37,0.948,0.7
2020-02-04,65.63,1.096,0.8
2020-02-05,64.21,1.081,0.87
2020-02-06,67.49,1.144,0.52
2020-02-07,64.17,1.031,1.22
2020-02-10,63.44,0.824,1.19
2020-02-11,61.03,0.849,0.79
2020-02-12,58.89,0.879,0.84
2020-02-13,57.07,1.101,0.73
2020-02-14,54.74,0.965,0.85
2020-02-17,54.05,1.175,1.49
2020-02-18,54.83,0.985,0.96
2020-02-19,51.03,1,1.64
2020-02-20,50.76,0.928,0.91
2020-02-21,52.82,1.07,1.86
2020-02-24,55.84,0.911,0.8
2020-02-25,52.95,1.078,0.6
2020-02-26,51.69,1.004,1.3
2020-02-27,50.67,1.063,0.87
2020-02-28,48.92,0.979,0.31
