Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,24.44,1.039,2.04
2020-01-03,31.1,0.749,1.2
2020-01-06,42.95,0.994,1.21
2020-01-07,43.3,0.956,1.31
2020-01-08,49,1.167,1.94
2020-01-09,51.94,1.104,3.3
2020-01-10,63.69,1.082,5.91
2020-01-13,58.2,0.898,1.03
2020-01-14,59.73,0.971,3.25
2020-01-15,64.1,1.007,2.34
2020-01-16,66.41,1.057,2.36
2020-01-17,62.46,1.054,2.54
2020-01-20,68.23,1.176,2.16
2020-01-21,63.48,1.04,1.72
2020-01-22,63.13,1.036,2.41
2020-01-23,63.75,1.021,2.02
2020-01-24,64.64,1,3.63
2020-01-27,70,1.057,5.58
2020-01-28,66.15,0.919,0.76
2020-01-29,62.11,0.901,0.58
2020-01-30,62.07,1.066,2.55
2020-01-31,68.93,1.005,4.1
2020-02-03,62.73,1.216,2.29
2020-02-04,62.3,0.859,1.48
2020-02-05,59.38,0.882,1.95
2020-02-06,57.81,1.064,2.06
2020-02-07,56.4,0.811,2.3
2020-02-10,52.7,1.041,2.55
2020-02-11,52.75,1.234,2.11
2020-02-12,52.93,0.899,2.78
2020-02-13,53.89,1.041,1.52
2020-02-14,54.65,1.006,2.29
2020-02-17,53.74,1.034,2.36
2020-02-18,53.73,0.985,1.25
2020-02-19,53.04,1.227,3.02
2020-02-20,58.88,0.914,4.88
2020-02-21,55.43,1.021,2.39
2020-02-24,55.83,1.122,1.65
2020-02-25,60.06,0.98,2.8
2020-02-26,64.91,1.114,1.93
2020-02-27,63.74,1.133,2.49
2020-02-28,61.83,1.069,2.1
