Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,37.93,0.968,0.89
2020-01-03,42.56,1.112,0.6
2020-01-06,49.27,1.096,0.37
2020-01-07,53.64,0.896,0.45
2020-01-08,53.66,0.954,0.73
2020-01-09,51.58,1.027,1.55
2020-01-10,55.62,1.075,0.46
2020-01-13,57.81,1.001,1.6
2020-01-14,59.87,1.057,1.38
2020-01-15,55.66,1.11,0.98
2020-01-16,61.35,1.024,1.19
2020-01-17,53.78,0.973,1.42
2020-01-20,54.07,1.056,1.46
2020-01-21,57.3,1.083,1.7
2020-01-22,58.36,1.001,1.14
2020-01-23,60.51,1.031,0.7
2020-01-24,58.62,0.974,0.44
2020-01-27,57.45,1.168,1.35
2020-01-28,57.31,0.881,0.5
2020-01-29,54.65,0.97,0.68
2020-01-30,54.52,1.24,0.98
2020-01-31,52.11,1.05,0.72
2020-02-03,52.74,0.915,1.89
2020-02-04,59.67,1.311,1.75
2020-02-05,58.77,0.974,0.35
2020-02-06,57.69,1.03,1.61
2020-02-07,57.02,0.955,2.54
2020-02-10,59.11,0.977,0.81
2020-02-11,58.14,0.988,1.57
2020-02-12,56.68,0.834,2.1
2020-02-13,64.81,1.01,2.73
2020-02-14,64.05,1.163,0.47
2020-02-17,68.08,0.959,1.95
2020-02-18,75.07,0.962,3.3
2020-02-19,68.8,0.996,0.79
2020-02-20,69.73,1.079,1.33
2020-02-21,70.74,1.123,2.06
2020-02-24,68.06,1.114,0.54
2020-02-25,69.79,1.079,1.14
2020-02-26,72.1,1.073,2.04
2020-02-27,72.16,1.031,1.84
2020-02-28,75.47,0.982,0.6
