Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,27.19,0.904,2.24
2020-01-03,32.36,1.185,0.79
2020-01-06,39.58,1.103,1.1
2020-01-07,44.44,1.175,0.59
2020-01-08,50.08,0.993,1.38
2020-01-09,55.44,0.876,2.43
2020-01-10,54.36,0.984,2.14
2020-01-13,55.45,1.112,0.81
2020-01-14,57.99,1.025,3.31
2020-01-15,54.63,0.808,2.07
2020-01-16,66.15,1.133,3.84
2020-01-17,64.72,0.842,3.38
2020-01-20,69.73,0.998,1.94
2020-01-21,72.49,0.802,2.8
2020-01-22,68.46,1.055,2.05
2020-01-23,66.53,0.908,0.77
2020-01-24,65.11,1.031,3.11
2020-01-27,71.04,0.894,2.47
2020-01-28,68.73,1.033,2.76
2020-01-29,69.24,1.133,1.73
2020-01-30,69.57,0.894,2.17
2020-01-31,69.75,0.977,0.56
2020-02-03,71.59,0.797,1.91
2020-02-04,73,0.901,0.95
2020-02-05,69.81,1.01,2.36
2020-02-06,69.39,0.963,1.03
2020-02-07,69.06,0.928,1.18
2020-02-10,72.74,1.037,3.29
2020-02-11,73.03,0.95,2.36
2020-02-12,76.33,0.978,2.97
2020-02-13,81.89,1.016,1.4
2020-02-14,79.38,1.018,0.83
2020-02-17,80.24,1.016,2.39
2020-02-18,83.94,0.934,4.24
2020-02-19,85.2,1.117,1.86
2020-02-20,81.94,1.057,3.06
2020-02-21,86.95,0.9,2.22
2020-02-24,83.31,1.048,0.99
2020-02-25,86.1,0.965,1.73
2020-02-26,90.63,1.168,3.05
2020-02-27,93.44,1.014,3.5
2020-02-28,90.98,1.003,3.58
