Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,42.68,1.1,1.62
2020-01-03,47.07,0.833,0.36
2020-01-06,53.56,1.103,1.4
2020-01-07,57.71,1.064,0.65
2020-01-08,62.69,1.077,1.06
2020-01-09,67.42,1.112,0.66
2020-01-10,72.05,0.986,1.21
2020-01-13,74.13,0.976,0.45
2020-01-14,75.81,0.992,1.27
2020-01-15,78.71,0.954,1.34
2020-01-16,81.35,1.044,1.8
2020-01-17,79.16,1.049,1.26
2020-01-20,82.2,1.061,2.24
2020-01-21,88.64,0.955,1.05
2020-01-22,86.12,0.941,1.38
2020-01-23,84.16,0.938,1.32
2020-01-24,86.66,0.937,1.07
2020-01-27,88.4,0.973,1.07
2020-01-28,89.17,0.926,0.61
2020-01-29,83.12,1.009,0.79
2020-01-30,80.33,0.907,1.3
2020-01-31,75.68,0.97,0.64
2020-02-03,73.33,1.047,0.67
2020-02-04,73.41,0.997,1.14
2020-02-05,72.16,0.948,0.26
2020-02-06,71.54,1.149,1.26
2020-02-07,75.55,1.036,1.37
2020-02-10,73.3,0.972,0.83
2020-02-11,72.63,1.125,1.06
2020-02-12,72.61,0.862,1.05
2020-02-13,80.6,1.044,1.57
2020-02-14,75.54,0.935,0.32
2020-02-17,73.98,0.859,1.01
2020-02-18,75.49,0.985,0.62
2020-02-19,70.95,1.085,0.79
2020-02-20,68.35,0.985,0.99
2020-02-21,87.55,0.937,2.52
2020-02-24,72.77,1.067,1.4
2020-02-25,73.88,0.947,0.54
2020-02-26,71.2,0.874,0.63
2020-02-27,71.27,0.92,0.76
2020-02-28,75.47,0.831,1.82
