Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,38.09,1.111,0.78
2020-01-03,43.46,0.887,0.25
2020-01-06,50.08,0.916,0.99
2020-01-07,54.46,0.996,0.79
2020-01-08,65.09,0.877,1.9
2020-01-09,64.48,0.96,0.55
2020-01-10,69.88,1.085,0.54
2020-01-13,77.06,0.975,1.03
2020-01-14,78.61,1.133,0.88
2020-01-15,78.1,1.049,0.78
2020-01-16,76.76,0.937,0.84
2020-01-17,78.08,1.127,0.38
2020-01-20,80.49,1.039,0.46
2020-01-21,80.22,0.967,1.15
2020-01-22,75.85,0.955,0.58
2020-01-23,78.71,1.247,0.97
2020-01-24,80.19,0.9,0.33
2020-01-27,78,0.748,0.6
2020-01-28,78.98,0.947,0.95
2020-01-29,76.81,0.999,0.82
2020-01-30,81.02,1.037,1.12
2020-01-31,76.93,1.217,1.01
2020-02-03,81.21,1.147,0.88
2020-02-04,79.16,0.965,0.42
2020-02-05,74.69,0.858,0.48
2020-02-06,72.34,0.971,0.75
2020-02-07,70.43,0.971,0.96
2020-02-10,65.13,0.871,0.95
2020-02-11,66.19,1.098,0.88
2020-02-12,70.46,0.768,1.14
2020-02-13,70.05,1.203,0.75
2020-02-14,70.71,0.878,0.56
2020-02-17,71.03,0.81,1
2020-02-18,69.96,0.74,0.31
2020-02-19,71.48,0.927,0.31
2020-02-20,68.15,1.149,0.39
2020-02-21,66.22,0.821,0.69
2020-02-24,63.54,1.044,0.46
2020-02-25,62.75,1.055,0.62
2020-02-26,61.44,0.969,0.28
2020-02-27,64.37,0.83,1.16
2020-02-28,69.77,0.956,0.37
