Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,35.33,1.182,0.16
2020-01-03,40.84,1.071,0.28
2020-01-06,47.59,1.08,0.41
2020-01-07,52.09,0.897,0.36
2020-01-08,58.48,1.091,0.19
2020-01-09,60.36,0.947,0.16
2020-01-10,61.69,1.038,0.21
2020-01-13,64.43,1,0.38
2020-01-14,64.61,0.876,0.39
2020-01-15,64.67,1.004,0.35
2020-01-16,70.09,0.943,0.24
2020-01-17,72.59,0.937,0.24
2020-01-20,71.18,0.911,0.38
2020-01-21,75.77,1.061,0.22
2020-01-22,75.11,0.973,0.13
2020-01-23,76.04,1.078,0.12
2020-01-24,77.65,1.064,0.35
2020-01-27,74.9,0.973,0.37
2020-01-28,75.88,1.102,0.49
2020-01-29,78,0.875,0.59
2020-01-30,82.15,0.947,0.35
2020-01-31,80,1.135,0.11
2020-02-03,79.34,0.785,0.43
2020-02-04,84.96,1.136,0.26
2020-02-05,80.9,1.099,0.33
2020-02-06,79.53,1.063,0.49
2020-02-07,81.89,0.87,0.43
2020-02-10,77.59,1.053,0.24
2020-02-11,75.06,0.848,0.17
2020-02-12,75.98,0.98,0.53
2020-02-13,77.52,0.968,0.28
2020-02-14,76.06,0.893,0.25
2020-02-17,73,0.877,0.39
2020-02-18,73.56,1.054,0.57
2020-02-19,79.23,1.136,0.47
2020-02-20,72.79,0.996,0.36
2020-02-21,69.39,1.123,0.29
2020-02-24,71.09,1.029,0.23
2020-02-25,67.25,1.201,0.46
2020-02-26,66.63,1.016,0.31
2020-02-27,65.48,0.933,0.08
2020-02-28,62.38,1.1,0.14
