Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,43.12,0.912,0.19
2020-01-03,48.24,0.929,0.21
2020-01-06,54.62,0.95,0.25
2020-01-07,58.77,1.006,0.29
2020-01-08,64.59,1.062,0.1
2020-01-09,68.3,1.237,0.16
2020-01-10,66.86,0.921,0.21
2020-01-13,72.73,0.982,0.25
2020-01-14,70.2,0.796,0.28
2020-01-15,72.53,0.931,0.06
2020-01-16,76.87,1.088,0.17
2020-01-17,79.03,1.018,0.15
2020-01-20,80.44,1.014,0.12
2020-01-21,85.73,0.914,0.12
2020-01-22,82.2,1.106,0.09
2020-01-23,83.8,0.909,0.21
2020-01-24,86.22,1.083,0.41
2020-01-27,90.55,1.15,0.25
2020-01-28,89.86,1.122,0.15
2020-01-29,87.37,0.936,0.2
2020-01-30,84.21,1.046,0.09
2020-01-31,88.47,1.021,0.42
2020-02-03,88.88,1.035,0.3
2020-02-04,96.34,0.94,0.45
2020-02-05,86.36,1.002,0.26
2020-02-06,85.82,1.161,0.21
2020-02-07,82.87,0.84,0.19
2020-02-10,78.64,1.07,0.21
2020-02-11,80.08,1.135,0.14
2020-02-12,75.96,1.096,0.12
2020-02-13,78.21,1.093,0.12
2020-02-14,76.67,0.991,0.13
2020-02-17,74.52,1.189,0.16
2020-02-18,75.62,1.07,0.32
2020-02-19,73.27,1.055,0.19
2020-02-20,72.99,1.082,0.17
2020-02-21,70.78,0.996,0.21
2020-02-24,68.73,1.065,0.24
2020-02-25,68.07,1.027,0.23
2020-02-26,71.69,0.995,0.18
2020-02-27,69.44,1.11,0.11
2020-02-28,66.34,1.029,0.25
