Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,20.77,0.943,0.39
2020-01-03,26.04,1.051,0.61
2020-01-06,26.08,1.049,1.03
2020-01-07,24.4,0.974,0.73
2020-01-08,25.54,0.915,0.48
2020-01-09,26.45,1.069,0.78
2020-01-10,27.09,0.981,0.3
2020-01-13,26.48,0.95,0.46
2020-01-14,26.09,1.096,0.72
2020-01-15,26.7,0.975,0.49
2020-01-16,29.38,1.107,1.14
2020-01-17,26.57,0.972,0.23
2020-01-20,26.92,0.842,1.06
2020-01-21,25.81,1.123,0.18
2020-01-22,26.36,1.047,0.35
2020-01-23,27.36,1.034,0.29
2020-01-24,26.37,1.047,0.92
2020-01-27,26.72,1.07,0.74
2020-01-28,30.62,0.982,1.07
2020-01-29,28.25,0.963,0.73
2020-01-30,29.15,1.01,0.32
2020-01-31,29.53,1.149,0.45
2020-02-03,28.04,1.053,0.75
2020-02-04,28.05,1.05,0.57
2020-02-05,27.12,0.765,0.22
2020-02-06,25.32,1.076,0.49
2020-02-07,25.35,1.19,0.46
2020-02-10,26.67,0.966,0.85
2020-02-11,28.48,0.923,0.38
2020-02-12,27.41,1.051,0.88
2020-02-13,30.35,0.969,1.18
2020-02-14,29,0.953,0.75
2020-02-17,30.03,1.036,0.77
2020-02-18,29.78,1.032,0.88
2020-02-19,32.07,1.054,0.77
2020-02-20,29.95,1.028,0.32
2020-02-21,34.47,1.042,0.74
2020-02-24,37.87,0.937,0.81
2020-02-25,38,0.921,0.34
2020-02-26,37.62,0.97,0.33
2020-02-27,39.01,0.947,1.07
2020-02-28,39.19,0.966,0.78
