Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,39.87,1.084,0.82
2020-01-03,45.81,1.198,0.76
2020-01-06,52.51,1.147,2.28
2020-01-07,56.57,1.152,0.73
2020-01-08,61.61,1.013,2.49
2020-01-09,66.39,1.06,2.05
2020-01-10,71.07,0.916,0.71
2020-01-13,76.02,0.981,2.24
2020-01-14,79.93,1.103,2.08
2020-01-15,83.58,1.068,2.33
2020-01-16,89.35,1.007,1.64
2020-01-17,83.3,0.804,1.67
2020-01-20,82.15,0.8,1.22
2020-01-21,77.96,1.128,1.67
2020-01-22,76.49,1.056,0.99
2020-01-23,73.07,0.863,1.77
2020-01-24,71.74,1.019,1.79
2020-01-27,68.15,1.046,1.22
2020-01-28,81.62,0.827,2.12
2020-01-29,75.2,1.011,2.06
2020-01-30,72.05,0.96,1.1
2020-01-31,68.53,1.194,1.16
2020-02-03,68.79,0.854,1
2020-02-04,67.12,0.848,2.49
2020-02-05,69.19,0.765,1.56
2020-02-06,65.62,1.027,1.32
2020-02-07,66.88,0.858,0.78
2020-02-10,66.65,0.959,4.16
2020-02-11,71.67,0.973,1.82
2020-02-12,68.77,0.976,1.64
2020-02-13,70.98,1.022,1.21
2020-02-14,68.5,0.948,1.45
2020-02-17,67.09,0.843,2.63
2020-02-18,66.53,1.08,1.11
2020-02-19,65.08,1.02,1.99
2020-02-20,62.4,1.025,3.06
2020-02-21,64.35,0.859,2.27
2020-02-24,64.34,1.031,2.35
2020-02-25,63.79,1.059,2.18
2020-02-26,64.26,1.036,2.68
2020-02-27,61.72,0.843,1.04
2020-02-28,60.29,1.102,2.25
