Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,43.09,1.214,0.66
2020-01-03,45.9,1,0.21
2020-01-06,50.02,0.91,0.23
2020-01-07,53.88,1.027,0.28
2020-01-08,55.43,1.09,0.52
2020-01-09,55.6,1.178,0.14
2020-01-10,53.84,1.212,0.46
2020-01-13,53.57,0.881,0.48
2020-01-14,56.1,0.925,0.63
2020-01-15,55.08,0.816,0.48
2020-01-16,68.85,1.139,0.46
2020-01-17,60.45,0.953,0.25
2020-01-20,59.64,1.164,0.31
2020-01-21,70.5,0.893,0.91
2020-01-22,70.04,1.035,0.33
2020-01-23,71.8,1.05,0.61
2020-01-24,75.19,0.998,0.31
2020-01-27,80.08,1.201,0.88
2020-01-28,88.45,0.828,0.67
2020-01-29,83.38,0.871,0.2
2020-01-30,85.49,0.976,0.6
2020-01-31,81.72,1.107,0.38
2020-02-03,81.22,0.872,0.32
2020-02-04,79.55,0.989,0.13
2020-02-05,79.83,1.016,0.46
2020-02-06,85.56,1.023,0.86
2020-02-07,94.73,1.012,0.65
2020-02-10,86.47,1.107,0.68
2020-02-11,84.17,0.809,0.16
2020-02-12,84.9,0.776,0.24
2020-02-13,89.2,1.022,0.4
2020-02-14,85.91,0.855,0.33
2020-02-17,92.84,1.068,0.41
2020-02-18,93.27,1.179,0.31
2020-02-19,84.33,0.799,0.71
2020-02-20,87.51,0.965,0.17
2020-02-21,84.75,1.056,0.17
2020-02-24,82.7,1.194,0.19
2020-02-25,81.16,0.978,0.63
2020-02-26,82.26,0.939,0.44
2020-02-27,82.77,0.937,0.59
2020-02-28,84.59,0.99,0.32
