Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,38.63,0.846,0.57
2020-01-03,41.65,1.142,0.22
2020-01-06,48.44,1.026,0.35
2020-01-07,52.83,0.996,0.51
2020-01-08,58.05,0.897,0.53
2020-01-09,63.01,1.036,0.74
2020-01-10,67.86,1.014,0.28
2020-01-13,74.21,1.059,0.45
2020-01-14,79.4,0.917,0.68
2020-01-15,80.83,1.043,0.59
2020-01-16,93.31,0.927,1.06
2020-01-17,88.59,0.885,0.44
2020-01-20,92.75,0.938,0.28
2020-01-21,105.24,1.088,1
2020-01-22,100.25,0.928,0.28
2020-01-23,98.55,0.964,0.33
2020-01-24,100.6,0.972,0.35
2020-01-27,97.64,0.896,0.59
2020-01-28,101.15,0.856,1.27
2020-01-29,97.74,1.082,0.38
2020-01-30,95.27,0.958,0.51
2020-01-31,95.8,1.091,0.54
2020-02-03,98.73,0.916,0.63
2020-02-04,102.8,0.918,0.66
2020-02-05,103.49,0.816,0.68
2020-02-06,116.38,1.089,1.47
2020-02-07,109.54,0.965,0.42
2020-02-10,109.05,0.892,0.52
2020-02-11,112.17,0.905,0.25
2020-02-12,114.52,0.842,0.96
2020-02-13,113.12,1.06,0.88
2020-02-14,107.06,1.001,0.28
2020-02-17,112.13,0.998,0.39
2020-02-18,118.89,0.904,0.92
2020-02-19,109.74,1.2,0.58
2020-02-20,107.97,1.114,0.13
2020-02-21,106.16,0.869,0.5
2020-02-24,101.81,1.151,0.42
2020-02-25,103.14,0.981,0.51
2020-02-26,98.81,1.02,0.6
2020-02-27,101.19,1.026,0.36
2020-02-28,104.81,0.948,0.65
