Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,35.78,0.969,0.85
2020-01-03,38.95,1.007,0.52
2020-01-06,45.24,1.01,0.21
2020-01-07,50.38,0.946,0.27
2020-01-08,55.73,1.124,0.44
2020-01-09,60.8,1.041,0.38
2020-01-10,65.76,1.05,0.41
2020-01-13,72.22,0.847,1.27
2020-01-14,77.51,0.995,0.45
2020-01-15,79.03,1.123,0.43
2020-01-16,91.61,0.933,0.7
2020-01-17,80.19,1.144,0.66
2020-01-20,78.82,1.137,0.42
2020-01-21,86.99,1.067,1.4
2020-01-22,81.24,1.103,0.38
2020-01-23,80.73,1.2,0.41
2020-01-24,78.64,1.041,0.27
2020-01-27,79.65,0.955,0.98
2020-01-28,82.44,0.885,0.7
2020-01-29,82.62,0.809,0.46
2020-01-30,84.05,0.953,1.04
2020-01-31,81.87,1.154,0.73
2020-02-03,82.18,1.05,0.49
2020-02-04,82.81,1.035,0.69
2020-02-05,79.65,0.994,0.46
2020-02-06,77.59,1.025,0.44
2020-02-07,79.01,0.67,0.54
2020-02-10,76.43,0.9,1.32
2020-02-11,73.99,1.24,0.31
2020-02-12,75.94,0.838,0.99
2020-02-13,75.98,0.875,1.19
2020-02-14,78.05,1.096,0.58
2020-02-17,83.19,0.945,1.3
2020-02-18,87.12,1.106,1.92
2020-02-19,80.14,1.012,0.86
2020-02-20,76.54,0.963,0.79
2020-02-21,77.29,0.94,0.8
2020-02-24,76.37,1.147,0.89
2020-02-25,77.85,0.864,0.35
2020-02-26,79.99,1.136,0.72
2020-02-27,80.84,0.875,0.48
2020-02-28,78.85,0.933,0.69
