Date,Revenue,CostOfGoodsSold,OperatingExpense,NetProfit,TotalAssets,TotalLiabilities,Equity,CashAndEquivalents,OperatingCashFlow,FreeCashFlow,SharesOutstanding,FreeFloatRatio,InsiderHoldingRatio,PledgeRatio,RDLevel,Competitiveness,GrossMargin,NetMargin,ROE,ROA
2020-01-02,1257.19,512.48,210.68,400.52,18037.23,9819.35,8217.88,1245.07,526.24,315.75,478.14,0.6804,0.2125,0.1627,0.0676,0.5571,0.5924,0.3186,0.0487,0.0222
2020-01-03,1259.71,513.51,211.1,401.33,18237.89,9618.68,8619.21,1561.45,527.3,316.38,478.14,0.6804,0.2125,0.1628,0.0676,0.5571,0.5924,0.3186,0.0466,0.022
2020-01-06,1262.31,514.57,211.54,402.16,18438.97,9417.61,9021.37,1878.48,528.39,317.03,478.14,0.6804,0.2125,0.1634,0.0676,0.5571,0.5924,0.3186,0.0446,0.0218
2020-01-07,1259.38,513.37,211.04,401.22,18639.58,9217,9422.59,2194.78,527.16,316.3,478.14,0.6804,0.2125,0.1631,0.0676,0.5571,0.5924,0.3186,0.0426,0.0215
2020-01-08,1255.06,511.61,210.32,399.85,18839.51,9017.07,9822.43,2509.99,525.35,315.21,478.14,0.6804,0.2125,0.1614,0.0676,0.5571,0.5924,0.3186,0.0407,0.0212
2020-01-09,1260.69,513.91,211.26,401.64,19040.33,8816.25,10224.08,2826.61,527.71,316.63,478.14,0.6804,0.2125,0.1607,0.0676,0.5571,0.5924,0.3186,0.0393,0.0211
2020-01-10,1255.28,511.7,210.36,399.92,19240.29,8616.29,10623.99,3141.88,525.45,315.27,478.14,0.6804,0.2125,0.1601,0.0676,0.5571,0.5924,0.3186,0.0376,0.0208
2020-01-13,1251.04,509.97,209.65,398.57,19439.57,8417.01,11022.56,3456.08,523.67,314.2,478.14,0.6804,0.2125,0.1617,0.0676,0.5571,0.5924,0.3186,0.0362,0.0205
2020-01-14,1250.1,509.59,209.49,398.27,19638.7,8217.88,11420.82,3770.05,523.28,313.97,478.14,0.6804,0.2125,0.1603,0.0676,0.5571,0.5924,0.3186,0.0349,0.0203
2020-01-15,1249.48,509.33,209.38,398.07,19837.74,8018.84,11818.89,4083.86,523.02,313.81,478.14,0.6804,0.2125,0.1612,0.0676,0.5571,0.5924,0.3186,0.0337,0.0201
2020-01-16,1247.2,508.41,209,397.34,20036.41,7820.17,12216.24,4397.1,522.06,313.24,478.14,0.6804,0.2125,0.1598,0.0676,0.5571,0.5924,0.3186,0.0325,0.0198
2020-01-17,1242.01,506.29,208.13,395.69,20234.25,7622.33,12611.93,4709.03,519.89,311.94,478.14,0.6804,0.2125,0.162,0.0676,0.5571,0.5924,0.3186,0.0314,0.0196
2020-01-20,1238.51,504.86,207.55,394.57,20431.54,7425.04,13006.5,5020.09,518.42,311.05,478.14,0.6804,0.2125,0.1621,0.0676,0.5571,0.5924,0.3186,0.0303,0.0193
2020-01-21,1239.52,505.28,207.72,394.9,20628.99,7227.59,13401.4,5331.4,518.85,311.31,478.14,0.6804,0.2125,0.1609,0.0676,0.5571,0.5924,0.3186,0.0295,0.0191
2020-01-22,1239.76,505.37,207.76,394.97,20826.47,7030.11,13796.37,5642.76,518.95,311.37,478.14,0.6804,0.2125,0.1606,0.0676,0.5571,0.5924,0.3186,0.0286,0.019
2020-01-23,1240.39,505.63,207.86,395.17,21024.06,6832.52,14191.54,5954.29,519.21,311.53,478.14,0.6804,0.2125,0.1622,0.0676,0.5571,0.5924,0.3186,0.0278,0.0188
2020-01-24,1240.06,505.5,207.81,395.07,21221.6,6634.98,14586.61,6265.74,519.08,311.45,478.14,0.6804,0.2125,0.1645,0.0676,0.5571,0.5924,0.3186,0.0271,0.0186
2020-01-27,1238.84,505,207.6,394.68,21418.93,6437.64,14981.29,6576.87,518.56,311.14,478.14,0.6804,0.2125,0.1642,0.0676,0.5571,0.5924,0.3186,0.0263,0.0184
2020-01-28,1235.33,503.57,207.01,393.56,21615.71,6240.86,15374.85,6887.13,517.09,310.26,478.14,0.6804,0.2125,0.1636,0.0676,0.5571,0.5924,0.3186,0.0256,0.0182
2020-01-29,1229.3,501.11,206,391.64,21811.53,6045.04,15766.49,7195.87,514.57,308.74,478.14,0.6804,0.2125,0.1616,0.0676,0.5571,0.5924,0.3186,0.0248,0.018
2020-01-30,1229.23,501.08,205.99,391.62,22007.34,5849.24,16158.11,7504.6,514.54,308.72,478.14,0.6804,0.2125,0.1605,0.0676,0.5571,0.5924,0.3186,0.0242,0.0178
2020-01-31,1227.88,500.53,205.77,391.19,22202.94,5653.64,16549.3,7812.98,513.98,308.39,478.14,0.6804,0.2125,0.1594,0.0676,0.5571,0.5924,0.3186,0.0236,0.0176
2020-02-03,1228.56,500.81,205.88,391.4,22398.64,5457.94,16940.7,8121.54,514.26,308.55,478.14,0.6804,0.2125,0.1561,0.0676,0.5571,0.5924,0.3186,0.0231,0.0175
2020-02-04,1231.54,502.02,206.38,392.35,22594.82,5261.76,17333.05,8430.84,515.51,309.31,478.14,0.6804,0.2125,0.1567,0.0676,0.5571,0.5924,0.3186,0.0226,0.0174
2020-02-05,1232.44,502.39,206.53,392.64,22791.14,5065.44,17725.69,8740.37,515.88,309.53,478.14,0.6804,0.2125,0.1588,0.0676,0.5571,0.5924,0.3186,0.0222,0.0172
2020-02-06,1234.45,503.21,206.87,393.28,22987.78,4868.8,18118.97,9050.41,516.73,310.04,478.14,0.6804,0.2125,0.1579,0.0676,0.5571,0.5924,0.3186,0.0217,0.0171
2020-02-07,1236.42,504.01,207.2,393.91,23184.73,4671.85,18512.88,9360.94,517.55,310.53,478.14,0.6804,0.2125,0.154,0.0676,0.5571,0.5924,0.3186,0.0213,0.017
2020-02-10,1229.91,501.36,206.11,391.84,23380.65,4475.93,18904.72,9669.83,514.83,308.9,478.14,0.6804,0.2125,0.1577,0.0676,0.5571,0.5924,0.3186,0.0207,0.0168
2020-02-11,1229.93,501.37,206.11,391.84,23576.57,4280.01,19296.56,9978.73,514.83,308.9,478.14,0.6804,0.2125,0.1561,0.0676,0.5571,0.5924,0.3186,0.0203,0.0166
