Date,Revenue,CostOfGoodsSold,OperatingExpense,NetProfit,TotalAssets,TotalLiabilities,Equity,CashAndEquivalents,OperatingCashFlow,FreeCashFlow,SharesOutstanding,FreeFloatRatio,InsiderHoldingRatio,PledgeRatio,RDLevel,Competitiveness,GrossMargin,NetMargin,ROE,ROA
2020-01-02,4601.34,2262.3,1354.04,738.75,17195.78,9628.52,7567.27,1031.06,1198.88,719.33,356.76,0.774,0.1297,0.0873,0.1943,0.5268,0.5083,0.1606,0.0976,0.043
2020-01-03,4597.33,2201.68,1352.86,782.09,17586.83,9237.47,8349.36,1776.16,1241.82,745.09,356.76,0.774,0.1297,0.0862,0.1943,0.5268,0.5211,0.1701,0.0937,0.0445
2020-01-06,4588.54,2139.93,1350.27,823.75,17998.7,8825.6,9173.11,2545.72,1282.6,769.56,356.76,0.774,0.1297,0.0872,0.1943,0.5268,0.5336,0.1795,0.0898,0.0458
2020-01-07,4578.14,2086.2,1347.21,858.55,18427.98,8396.32,10031.65,3335.54,1316.36,789.82,356.76,0.774,0.1297,0.0875,0.1943,0.5268,0.5443,0.1875,0.0856,0.0466
2020-01-08,4575.2,2042.34,1346.35,889.89,18872.92,7951.38,10921.54,4143.98,1347.41,808.44,356.76,0.774,0.1297,0.0861,0.1943,0.5268,0.5536,0.1945,0.0815,0.0472
2020-01-09,4585.68,2013.4,1349.43,917.14,19331.49,7492.81,11838.68,4969.41,1375.71,825.42,356.76,0.774,0.1297,0.083,0.1943,0.5268,0.5609,0.2,0.0775,0.0474
2020-01-10,4575.85,1976.73,1346.54,939.44,19801.21,7023.09,12778.12,5807.62,1397.02,838.21,356.76,0.774,0.1297,0.0811,0.1943,0.5268,0.568,0.2053,0.0735,0.0474
2020-01-13,4566.18,1946.99,1343.69,956.62,20279.52,6544.78,13734.74,6655.56,1413.24,847.94,356.76,0.774,0.1297,0.0817,0.1943,0.5268,0.5736,0.2095,0.0696,0.0472
2020-01-14,4563.93,1926.59,1343.03,970.73,20764.88,6059.41,14705.47,7511.84,1427.13,856.28,356.76,0.774,0.1297,0.079,0.1943,0.5268,0.5779,0.2127,0.066,0.0467
2020-01-15,4557.77,1907.83,1341.22,981.55,21255.66,5568.64,15687.02,8374.23,1437.32,862.39,356.76,0.774,0.1297,0.0786,0.1943,0.5268,0.5814,0.2154,0.0626,0.0462
2020-01-16,4577.68,1904.5,1347.08,994.58,21752.94,5071.35,16681.59,9245.64,1452.34,871.41,356.76,0.774,0.1297,0.0785,0.1943,0.5268,0.584,0.2173,0.0596,0.0457
2020-01-17,4573.15,1892.31,1345.74,1001.32,22253.61,4570.69,17682.92,10120.82,1458.64,875.18,356.76,0.774,0.1297,0.0788,0.1943,0.5268,0.5862,0.219,0.0566,0.045
2020-01-20,4573.67,1885.02,1345.9,1007.07,22757.14,4067.15,18689.99,10999.49,1464.44,878.66,356.76,0.774,0.1297,0.0771,0.1943,0.5268,0.5879,0.2202,0.0539,0.0443
2020-01-21,4581.87,1882.3,1348.31,1013.45,23263.87,3560.43,19703.44,11882.47,1471.64,882.98,356.76,0.774,0.1297,0.0771,0.1943,0.5268,0.5892,0.2212,0.0514,0.0436
2020-01-22,4582.38,1878.34,1348.46,1016.68,23772.21,3052.09,20720.12,12767.42,1474.92,884.95,356.76,0.774,0.1297,0.0788,0.1943,0.5268,0.5901,0.2219,0.0491,0.0428
2020-01-23,4571.11,1870.38,1345.14,1016.69,24280.55,2543.74,21736.81,13651.7,1473.8,884.28,356.76,0.774,0.1297,0.0791,0.1943,0.5268,0.5908,0.2224,0.0468,0.0419
2020-01-24,4567.44,1866.37,1344.06,1017.75,24789.43,2034.87,22754.56,14536.4,1474.49,884.7,356.76,0.774,0.1297,0.0835,0.1943,0.5268,0.5914,0.2228,0.0447,0.0411
2020-01-27,4560.59,1861.96,1342.05,1017.44,25298.15,1526.15,23772,15420.49,1473.5,884.1,356.76,0.774,0.1297,0.0843,0.1943,0.5268,0.5917,0.2231,0.0428,0.0402
2020-01-28,4548.44,1856.83,1338.47,1014.86,25805.58,1018.72,24786.86,16302.32,1469.7,881.82,356.76,0.774,0.1297,0.0837,0.1943,0.5268,0.5918,0.2231,0.0409,0.0393
2020-01-29,4528.97,1848.87,1332.74,1010.51,26310.83,513.46,25797.37,17180.36,1463.41,878.05,356.76,0.774,0.1297,0.0836,0.1943,0.5268,0.5918,0.2231,0.0392,0.0384
2020-01-30,4505.96,1839.48,1325.97,1005.38,26813.52,10.77,26802.75,18053.95,1455.98,873.59,356.76,0.774,0.1297,0.0837,0.1943,0.5268,0.5918,0.2231,0.0375,0.0375
2020-01-31,4482.7,1829.98,1319.13,1000.19,27313.62,-489.32,27802.94,18923.02,1448.46,869.08,356.76,0.774,0.1297,0.0846,0.1943,0.5268,0.5918,0.2231,0.036,0.0366
2020-02-03,4489.46,1832.75,1321.12,1001.7,27814.47,-990.17,28804.64,19793.41,1450.65,870.39,356.76,0.774,0.1297,0.0827,0.1943,0.5268,0.5918,0.2231,0.0348,0.036
2020-02-04,4483.95,1830.5,1319.49,1000.47,28314.7,-1490.41,29805.11,20662.73,1448.86,869.32,356.76,0.774,0.1297,0.0847,0.1943,0.5268,0.5918,0.2231,0.0336,0.0353
2020-02-05,4469.29,1824.51,1315.18,997.2,28813.3,-1989.01,30802.31,21529.21,1444.13,866.48,356.76,0.774,0.1297,0.0899,0.1943,0.5268,0.5918,0.2231,0.0324,0.0346
2020-02-06,4483.59,1830.35,1319.39,1000.39,29313.5,-2489.2,31802.7,22398.46,1448.75,869.25,356.76,0.774,0.1297,0.0865,0.1943,0.5268,0.5918,0.2231,0.0315,0.0341
2020-02-07,4474.72,1826.73,1316.78,998.41,29812.7,-2988.41,32801.11,23265.99,1445.88,867.53,356.76,0.774,0.1297,0.089,0.1943,0.5268,0.5918,0.2231,0.0304,0.0335
2020-02-10,4450.57,1816.87,1309.67,993.02,30309.21,-3484.92,33794.13,24128.83,1438.08,862.85,356.76,0.774,0.1297,0.0874,0.1943,0.5268,0.5918,0.2231,0.0294,0.0328
2020-02-11,4444.82,1814.52,1307.98,991.74,30805.08,-3980.79,34785.87,24990.57,1436.22,861.73,356.76,0.774,0.1297,0.0869,0.1943,0.5268,0.5918,0.2231,0.0285,0.0322
2020-02-12,4451.21,1817.13,1309.86,993.17,31301.67,-4477.37,35779.04,25853.54,1438.29,862.97,356.76,0.774,0.1297,0.0898,0.1943,0.5268,0.5918,0.2231,0.0278,0.0317
2020-02-13,4435.96,1810.91,1305.37,989.76,31796.55,-4972.25,36768.8,26713.55,1433.36,860.01,356.76,0.774,0.1297,0.0915,0.1943,0.5268,0.5918,0.2231,0.0269,0.0311
2020-02-14,4442.51,1813.58,1307.3,991.22,32292.16,-5467.86,37760.02,27574.84,1435.48,861.29,356.76,0.774,0.1297,0.0976,0.1943,0.5268,0.5918,0.2231,0.0263,0.0307
2020-02-17,4424.62,1806.28,1302.04,987.23,32785.78,-5961.48,38747.25,28432.66,1429.7,857.82,356.76,0.774,0.1297,0.0971,0.1943,0.5268,0.5918,0.2231,0.0255,0.0301
2020-02-18,4414.39,1802.1,1299.03,984.95,33278.25,-6453.95,39732.2,29288.49,1426.39,855.83,356.76,0.774,0.1297,0.0963,0.1943,0.5268,0.5918,0.2231,0.0248,0.0296
2020-02-19,4408.82,1799.83,1297.39,983.71,33770.1,-6945.81,40715.91,30143.24,1424.59,854.75,356.76,0.774,0.1297,0.0932,0.1943,0.5268,0.5918,0.2231,0.0242,0.0291
