Date,Revenue,CostOfGoodsSold,OperatingExpense,NetProfit,TotalAssets,TotalLiabilities,Equity,CashAndEquivalents,OperatingCashFlow,FreeCashFlow,SharesOutstanding,FreeFloatRatio,InsiderHoldingRatio,PledgeRatio,RDLevel,Competitiveness,GrossMargin,NetMargin,ROE,ROA
2020-01-02,4197.11,2063.56,1071.97,796.18,14681.05,8158.78,6522.27,1956.27,1215.89,729.53,423.31,0.3798,0.1555,0.2907,0.1554,0.5981,0.5083,0.1897,0.1221,0.0542
2020-01-03,4205.89,2014.22,1074.22,838.09,15100.1,7739.73,7360.36,2711.48,1258.68,755.21,423.31,0.3798,0.1555,0.2911,0.1554,0.5981,0.5211,0.1993,0.1139,0.0555
2020-01-06,4190.02,1954.08,1070.16,874.33,15537.26,7302.57,8234.7,3487.48,1293.34,776,423.31,0.3798,0.1555,0.2944,0.1554,0.5981,0.5336,0.2087,0.1062,0.0563
2020-01-07,4187.31,1908.1,1069.47,907.3,15990.91,6848.92,9141.99,4283.1,1326.03,795.62,423.31,0.3798,0.1555,0.2982,0.1554,0.5981,0.5443,0.2167,0.0992,0.0567
2020-01-08,4189.45,1870.14,1070.02,936.97,16459.4,6380.43,10078.96,5096.65,1355.91,813.55,423.31,0.3798,0.1555,0.2967,0.1554,0.5981,0.5536,0.2236,0.093,0.0569
2020-01-09,4204.35,1845.97,1073.82,963.42,16941.1,5898.72,11042.38,5926.96,1383.85,830.31,423.31,0.3798,0.1555,0.2955,0.1554,0.5981,0.5609,0.2291,0.0872,0.0569
2020-01-10,4195.88,1812.59,1071.66,983.72,17432.97,5406.86,12026.1,6768.94,1403.31,841.99,423.31,0.3798,0.1555,0.2956,0.1554,0.5981,0.568,0.2345,0.0818,0.0564
2020-01-13,4188.95,1786.15,1069.89,999.69,17932.81,4907.02,13025.79,7620.09,1418.58,851.15,423.31,0.3798,0.1555,0.2892,0.1554,0.5981,0.5736,0.2386,0.0767,0.0557
2020-01-14,4184.23,1766.3,1068.68,1011.93,18438.77,4401.06,14037.72,8478.3,1430.35,858.21,423.31,0.3798,0.1555,0.2893,0.1554,0.5981,0.5779,0.2418,0.0721,0.0549
2020-01-15,4182.01,1750.54,1068.12,1022.52,18950.03,3889.8,15060.23,9342.73,1440.72,864.43,423.31,0.3798,0.1555,0.2902,0.1554,0.5981,0.5814,0.2445,0.0679,0.054
2020-01-16,4180.06,1739.08,1067.62,1030.02,19465.04,3374.79,16090.26,10211.55,1448.03,868.82,423.31,0.3798,0.1555,0.2909,0.1554,0.5981,0.584,0.2464,0.064,0.0529
2020-01-17,4167.23,1724.34,1064.34,1033.91,19982,2857.83,17124.16,11081.93,1450.63,870.38,423.31,0.3798,0.1555,0.2923,0.1554,0.5981,0.5862,0.2481,0.0604,0.0517
2020-01-20,4161.17,1715,1062.79,1037.53,20500.76,2339.07,18161.69,11954.12,1453.64,872.19,423.31,0.3798,0.1555,0.2941,0.1554,0.5981,0.5879,0.2493,0.0571,0.0506
2020-01-21,4145.84,1703.17,1058.88,1037.84,21019.68,1820.15,19199.53,12825.57,1452.43,871.46,423.31,0.3798,0.1555,0.2932,0.1554,0.5981,0.5892,0.2503,0.0541,0.0494
2020-01-22,4131.43,1693.49,1055.2,1037.05,21538.21,1301.62,20236.59,13695.69,1450.2,870.12,423.31,0.3798,0.1555,0.2933,0.1554,0.5981,0.5901,0.251,0.0512,0.0481
2020-01-23,4116.09,1684.2,1051.28,1035.46,22055.93,783.89,21272.04,14563.93,1447.06,868.24,423.31,0.3798,0.1555,0.2922,0.1554,0.5981,0.5908,0.2516,0.0487,0.0469
2020-01-24,4106.02,1677.83,1048.71,1034.61,22573.24,266.59,22306.65,15431.06,1445.21,867.13,423.31,0.3798,0.1555,0.2919,0.1554,0.5981,0.5914,0.252,0.0464,0.0458
2020-01-27,4094.64,1671.72,1045.8,1032.83,23089.66,-249.83,23339.48,16296.43,1442.3,865.38,423.31,0.3798,0.1555,0.2947,0.1554,0.5981,0.5917,0.2522,0.0443,0.0447
2020-01-28,4096.11,1672.17,1046.18,1033.32,23606.32,-766.49,24372.81,17162.19,1442.93,865.76,423.31,0.3798,0.1555,0.2954,0.1554,0.5981,0.5918,0.2523,0.0424,0.0438
2020-01-29,4098,1672.94,1046.66,1033.8,24123.22,-1283.39,25406.61,18028.35,1443.6,866.16,423.31,0.3798,0.1555,0.2949,0.1554,0.5981,0.5918,0.2523,0.0407,0.0429
2020-01-30,4100.86,1674.11,1047.39,1034.52,24640.48,-1800.65,26441.13,18895.12,1444.61,866.76,423.31,0.3798,0.1555,0.2973,0.1554,0.5981,0.5918,0.2523,0.0391,0.042
2020-01-31,4076.17,1664.03,1041.09,1028.29,25154.62,-2314.8,27469.42,19756.66,1435.91,861.55,423.31,0.3798,0.1555,0.2959,0.1554,0.5981,0.5918,0.2523,0.0374,0.0409
2020-02-03,4074,1663.14,1040.53,1027.75,25668.5,-2828.67,28497.17,20617.75,1435.15,861.09,423.31,0.3798,0.1555,0.2969,0.1554,0.5981,0.5918,0.2523,0.0361,0.04
2020-02-04,4090.46,1669.86,1044.74,1031.9,26184.45,-3344.62,29529.06,21482.32,1440.94,864.57,423.31,0.3798,0.1555,0.296,0.1554,0.5981,0.5918,0.2523,0.0349,0.0394
2020-02-05,4082.47,1666.6,1042.69,1029.88,26699.39,-3859.56,30558.94,22345.19,1438.13,862.88,423.31,0.3798,0.1555,0.297,0.1554,0.5981,0.5918,0.2523,0.0337,0.0386
2020-02-06,4077.46,1664.55,1041.41,1028.62,27213.7,-4373.87,31587.56,23207.01,1436.36,861.82,423.31,0.3798,0.1555,0.2951,0.1554,0.5981,0.5918,0.2523,0.0326,0.0378
2020-02-07,4082.5,1666.61,1042.7,1029.89,27728.64,-4888.81,32617.45,24069.89,1438.14,862.88,423.31,0.3798,0.1555,0.2949,0.1554,0.5981,0.5918,0.2523,0.0316,0.0371
