Date,Revenue,CostOfGoodsSold,OperatingExpense,NetProfit,TotalAssets,TotalLiabilities,Equity,CashAndEquivalents,OperatingCashFlow,FreeCashFlow,SharesOutstanding,FreeFloatRatio,InsiderHoldingRatio,PledgeRatio,RDLevel,Competitiveness,GrossMargin,NetMargin,ROE,ROA
2020-01-02,4003.41,1968.65,1205.9,621.64,5460.57,1992.76,3467.81,1753.89,1021.98,613.19,83.15,0.7538,0.1454,0.26,0.2012,0.3596,0.5083,0.1553,0.1793,0.1138
2020-01-03,4001.97,1915.1,1205.47,661.05,5791.09,1662.24,4128.85,2390.63,1061.24,636.75,83.15,0.7538,0.1454,0.2625,0.2012,0.3596,0.5215,0.1652,0.1601,0.1141
2020-01-06,4001.69,1871.81,1205.39,693.37,6137.78,1315.55,4822.22,3046.76,1093.54,656.12,83.15,0.7538,0.1454,0.2597,0.2012,0.3596,0.5322,0.1733,0.1438,0.113
2020-01-07,4004.64,1830.79,1206.28,725.68,6500.62,952.71,5547.91,3722.44,1126.15,675.69,83.15,0.7538,0.1454,0.2616,0.2012,0.3596,0.5428,0.1812,0.1308,0.1116
2020-01-08,4003.79,1794.8,1206.02,752.22,6876.73,576.6,6300.13,4414.01,1152.6,691.56,83.15,0.7538,0.1454,0.2609,0.2012,0.3596,0.5517,0.1879,0.1194,0.1094
2020-01-09,3995.27,1761.55,1203.45,772.7,7263.08,190.25,7072.83,5117.34,1172.23,703.34,83.15,0.7538,0.1454,0.265,0.2012,0.3596,0.5591,0.1934,0.1092,0.1064
2020-01-10,3988.88,1734.42,1201.53,789.7,7657.93,-204.6,7862.53,5830.49,1188.58,713.15,83.15,0.7538,0.1454,0.265,0.2012,0.3596,0.5652,0.198,0.1004,0.1031
2020-01-13,3990.28,1713.06,1201.95,806.46,8061.16,-607.83,8668.98,6553.78,1205.49,723.29,83.15,0.7538,0.1454,0.2639,0.2012,0.3596,0.5707,0.2021,0.093,0.1
2020-01-14,3990.57,1697.73,1202.04,818.11,8470.21,-1016.88,9487.09,7284.08,1217.16,730.3,83.15,0.7538,0.1454,0.2632,0.2012,0.3596,0.5746,0.205,0.0862,0.0966
2020-01-15,3997.84,1688.27,1204.23,829,8884.71,-1431.38,10316.1,8021.35,1228.79,737.27,83.15,0.7538,0.1454,0.2633,0.2012,0.3596,0.5777,0.2074,0.0804,0.0933
2020-01-16,3991.89,1674.29,1202.44,836.37,9302.9,-1849.57,11152.47,8762.69,1235.56,741.34,83.15,0.7538,0.1454,0.2655,0.2012,0.3596,0.5806,0.2095,0.075,0.0899
2020-01-17,3988.52,1663.49,1201.42,842.71,9724.26,-2270.92,11995.18,9507.63,1241.56,744.94,83.15,0.7538,0.1454,0.2642,0.2012,0.3596,0.5829,0.2113,0.0703,0.0867
2020-01-20,3995.96,1658.4,1203.66,850.43,10149.47,-2696.14,12845.61,10257.64,1250.02,750.01,83.15,0.7538,0.1454,0.267,0.2012,0.3596,0.585,0.2128,0.0662,0.0838
2020-01-21,3994.76,1651.2,1203.3,855.19,10577.07,-3123.73,13700.8,11010.45,1254.67,752.8,83.15,0.7538,0.1454,0.2665,0.2012,0.3596,0.5867,0.2141,0.0624,0.0809
2020-01-22,4003.99,1649.7,1206.08,861.16,11007.65,-3554.31,14561.96,11767.38,1261.56,756.93,83.15,0.7538,0.1454,0.2626,0.2012,0.3596,0.588,0.2151,0.0591,0.0782
2020-01-23,3993.49,1641.72,1202.92,861.64,11438.46,-3985.13,15423.59,12523.97,1260.99,756.59,83.15,0.7538,0.1454,0.2632,0.2012,0.3596,0.5889,0.2158,0.0559,0.0753
2020-01-24,3995.91,1639.3,1203.65,864.72,11870.83,-4417.49,16288.32,13282.56,1264.32,758.59,83.15,0.7538,0.1454,0.2647,0.2012,0.3596,0.5898,0.2164,0.0531,0.0728
2020-01-27,3990.78,1634.32,1202.1,865.77,12303.71,-4850.38,17154.09,14041.47,1264.85,758.91,83.15,0.7538,0.1454,0.2635,0.2012,0.3596,0.5905,0.2169,0.0505,0.0704
2020-01-28,3985.48,1629.89,1200.5,866.31,12736.87,-5283.54,18020.4,14800.39,1264.86,758.91,83.15,0.7538,0.1454,0.2625,0.2012,0.3596,0.591,0.2174,0.0481,0.068
2020-01-29,3989.7,1629.82,1201.78,868.58,13171.16,-5717.83,18888.99,15560.92,1267.55,760.53,83.15,0.7538,0.1454,0.2612,0.2012,0.3596,0.5915,0.2177,0.046,0.0659
2020-01-30,3996.7,1631.29,1203.88,871.15,13606.73,-6153.4,19760.13,16323.41,1270.82,762.49,83.15,0.7538,0.1454,0.2581,0.2012,0.3596,0.5918,0.218,0.0441,0.064
2020-01-31,3997.47,1630.46,1204.12,872.17,14042.82,-6589.48,20632.3,17086.56,1271.92,763.15,83.15,0.7538,0.1454,0.2564,0.2012,0.3596,0.5921,0.2182,0.0423,0.0621
2020-02-03,3995.94,1629.05,1203.65,872.42,14479.03,-7025.7,21504.72,17849.77,1272.02,763.21,83.15,0.7538,0.1454,0.2585,0.2012,0.3596,0.5923,0.2183,0.0406,0.0603
