Date,Revenue,CostOfGoodsSold,OperatingExpense,NetProfit,TotalAssets,TotalLiabilities,Equity,CashAndEquivalents,OperatingCashFlow,FreeCashFlow,SharesOutstanding,FreeFloatRatio,InsiderHoldingRatio,PledgeRatio,RDLevel,Competitiveness,GrossMargin,NetMargin,ROE,ROA
2020-01-02,2226.81,1212.92,417.05,447.63,17393.69,7984.14,9409.55,1187.93,670.31,402.18,153.78,0.4764,0.1253,0.2076,0.0873,0.8041,0.4553,0.201,0.0476,0.0257
2020-01-03,2226.76,1268.22,417.05,406.12,17596.75,7781.08,9815.67,1565.21,628.8,377.28,153.78,0.4764,0.1253,0.2085,0.0873,0.8041,0.4305,0.1824,0.0414,0.0231
2020-01-06,2224.41,1299.75,416.6,381.04,17787.27,7590.56,10196.71,1927.3,603.48,362.09,153.78,0.4764,0.1253,0.2067,0.0873,0.8041,0.4157,0.1713,0.0374,0.0214
2020-01-07,2224.13,1321.02,416.55,364.92,17969.73,7408.1,10561.63,2279.69,587.33,352.4,153.78,0.4764,0.1253,0.2072,0.0873,0.8041,0.4061,0.1641,0.0346,0.0203
2020-01-08,2226.11,1334.97,416.92,355.66,18147.56,7230.27,10917.29,2626.66,578.28,346.97,153.78,0.4764,0.1253,0.2095,0.0873,0.8041,0.4003,0.1598,0.0326,0.0196
2020-01-09,2227.27,1342.54,417.14,350.69,18322.9,7054.92,11267.98,2970.71,573.42,344.05,153.78,0.4764,0.1253,0.2093,0.0873,0.8041,0.3972,0.1575,0.0311,0.0191
2020-01-10,2234.25,1351.01,418.45,348.59,18497.2,6880.63,11616.57,3313.92,572.02,343.21,153.78,0.4764,0.1253,0.2081,0.0873,0.8041,0.3953,0.156,0.03,0.0188
2020-01-13,2240.04,1356.75,419.53,347.81,18671.11,6706.72,11964.39,3657.01,571.82,343.09,153.78,0.4764,0.1253,0.2112,0.0873,0.8041,0.3943,0.1553,0.0291,0.0186
2020-01-14,2246.45,1361.35,420.73,348.28,18845.24,6532.58,12312.66,4000.76,572.92,343.75,153.78,0.4764,0.1253,0.2157,0.0873,0.8041,0.394,0.155,0.0283,0.0185
2020-01-15,2250.37,1363.73,421.47,348.88,19019.69,6358.14,12661.55,4345.12,573.92,344.35,153.78,0.4764,0.1253,0.2146,0.0873,0.8041,0.394,0.155,0.0276,0.0183
2020-01-16,2253.42,1365.57,422.04,349.36,19194.36,6183.46,13010.9,4689.93,574.7,344.82,153.78,0.4764,0.1253,0.2167,0.0873,0.8041,0.394,0.155,0.0269,0.0182
2020-01-17,2248.8,1362.77,421.17,348.64,19368.68,6009.14,13359.54,5034.05,573.52,344.11,153.78,0.4764,0.1253,0.2189,0.0873,0.8041,0.394,0.155,0.0261,0.018
2020-01-20,2242.27,1358.82,419.95,347.63,19542.5,5835.33,13707.17,5377.16,571.86,343.11,153.78,0.4764,0.1253,0.218,0.0873,0.8041,0.394,0.155,0.0254,0.0178
2020-01-21,2242.62,1359.03,420.02,347.68,19716.34,5661.49,14054.85,5720.33,571.94,343.17,153.78,0.4764,0.1253,0.2178,0.0873,0.8041,0.394,0.155,0.0247,0.0176
2020-01-22,2238.56,1356.57,419.26,347.05,19889.87,5487.96,14401.91,6062.87,570.91,342.55,153.78,0.4764,0.1253,0.2181,0.0873,0.8041,0.394,0.155,0.0241,0.0174
2020-01-23,2236.22,1355.15,418.82,346.69,20063.21,5314.62,14748.6,6405.06,570.31,342.19,153.78,0.4764,0.1253,0.217,0.0873,0.8041,0.394,0.155,0.0235,0.0173
2020-01-24,2242.37,1358.88,419.97,347.64,20237.03,5140.79,15096.24,6748.19,571.88,343.13,153.78,0.4764,0.1253,0.2151,0.0873,0.8041,0.394,0.155,0.023,0.0172
2020-01-27,2241.33,1358.25,419.77,347.48,20410.77,4967.05,15443.72,7091.16,571.62,342.97,153.78,0.4764,0.1253,0.2142,0.0873,0.8041,0.394,0.155,0.0225,0.017
