Date,Revenue,CostOfGoodsSold,OperatingExpense,NetProfit,TotalAssets,TotalLiabilities,Equity,CashAndEquivalents,OperatingCashFlow,FreeCashFlow,SharesOutstanding,FreeFloatRatio,InsiderHoldingRatio,PledgeRatio,RDLevel,Competitiveness,GrossMargin,NetMargin,ROE,ROA
2020-01-02,1286.48,632.61,349.33,228.4,8587.38,2637.76,5949.61,727.59,357.05,214.23,91.39,0.5094,0.3255,0.012,0.1715,0.8883,0.5083,0.1775,0.0384,0.0266
2020-01-03,1282.78,613.86,348.32,240.45,8707.6,2517.54,6190.06,948.82,368.72,221.23,91.39,0.5094,0.3255,0.0099,0.1715,0.8883,0.5215,0.1874,0.0388,0.0276
2020-01-06,1282.23,599.77,348.17,250.71,8832.96,2392.18,6440.78,1176.19,378.94,227.36,91.39,0.5094,0.3255,0.0101,0.1715,0.8883,0.5322,0.1955,0.0389,0.0284
2020-01-07,1281.67,585.94,348.02,260.78,8963.35,2261.79,6701.56,1409.56,388.95,233.37,91.39,0.5094,0.3255,0.0116,0.1715,0.8883,0.5428,0.2035,0.0389,0.0291
2020-01-08,1280,573.79,347.57,268.98,9097.84,2127.3,6970.54,1647.74,396.98,238.19,91.39,0.5094,0.3255,0.0139,0.1715,0.8883,0.5517,0.2101,0.0386,0.0296
2020-01-09,1274.56,561.96,346.09,274.88,9235.28,1989.86,7245.42,1889.14,402.33,241.4,91.39,0.5094,0.3255,0.0167,0.1715,0.8883,0.5591,0.2157,0.0379,0.0298
2020-01-10,1276.14,554.88,346.52,281.05,9375.8,1849.34,7526.47,2134.34,408.66,245.2,91.39,0.5094,0.3255,0.0162,0.1715,0.8883,0.5652,0.2202,0.0373,0.03
2020-01-13,1274.3,547.06,346.02,285.91,9518.76,1706.38,7812.37,2382.35,413.34,248,91.39,0.5094,0.3255,0.0169,0.1715,0.8883,0.5707,0.2244,0.0366,0.03
2020-01-14,1273.86,541.94,345.9,289.51,9663.51,1561.63,8101.88,2632.48,416.9,250.14,91.39,0.5094,0.3255,0.0171,0.1715,0.8883,0.5746,0.2273,0.0357,0.03
2020-01-15,1266.48,534.83,343.9,290.81,9808.92,1416.22,8392.7,2882.96,417.46,250.48,91.39,0.5094,0.3255,0.0175,0.1715,0.8883,0.5777,0.2296,0.0347,0.0296
2020-01-16,1265.95,530.97,343.75,293.42,9955.63,1269.51,8686.12,3134.97,420.02,252.01,91.39,0.5094,0.3255,0.018,0.1715,0.8883,0.5806,0.2318,0.0338,0.0295
