Date,Revenue,CostOfGoodsSold,OperatingExpense,NetProfit,TotalAssets,TotalLiabilities,Equity,CashAndEquivalents,OperatingCashFlow,FreeCashFlow,SharesOutstanding,FreeFloatRatio,InsiderHoldingRatio,PledgeRatio,RDLevel,Competitiveness,GrossMargin,NetMargin,ROE,ROA
2020-01-02,3954.57,2342.29,826.03,589.69,10914.31,2992.23,7922.08,1244.22,985.14,591.09,456.4,0.4173,0.2077,0.2401,0.1089,0.3593,0.4077,0.1491,0.0744,0.054
2020-01-03,3950.39,2387.67,825.16,553.17,11190.89,2715.65,8475.25,1813.14,948.21,568.93,456.4,0.4173,0.2077,0.2367,0.1089,0.3593,0.3956,0.14,0.0653,0.0494
2020-01-06,3945.19,2386.96,824.08,550.62,11466.2,2440.33,9025.87,2380.23,945.14,567.08,456.4,0.4173,0.2077,0.2358,0.1089,0.3593,0.395,0.1396,0.061,0.048
2020-01-07,3935.32,2380.98,822.01,549.24,11740.82,2165.71,9575.11,2945.89,942.77,565.66,456.4,0.4173,0.2077,0.2366,0.1089,0.3593,0.395,0.1396,0.0574,0.0468
2020-01-08,3943.45,2385.91,823.71,550.38,12016.01,1890.53,10125.49,3512.72,944.72,566.83,456.4,0.4173,0.2077,0.2395,0.1089,0.3593,0.395,0.1396,0.0544,0.0458
2020-01-09,3942.79,2385.5,823.57,550.28,12291.15,1615.38,10675.77,4079.46,944.56,566.74,456.4,0.4173,0.2077,0.2397,0.1089,0.3593,0.395,0.1396,0.0515,0.0448
2020-01-10,3924.82,2374.63,819.82,547.78,12565.04,1341.49,11223.55,4643.62,940.26,564.16,456.4,0.4173,0.2077,0.2403,0.1089,0.3593,0.395,0.1396,0.0488,0.0436
2020-01-13,3926.8,2375.83,820.23,548.05,12839.07,1067.47,11771.6,5208.06,940.73,564.44,456.4,0.4173,0.2077,0.2381,0.1089,0.3593,0.395,0.1396,0.0466,0.0427
2020-01-14,3925.65,2375.13,819.99,547.89,13113.02,793.52,12319.49,5772.33,940.46,564.27,456.4,0.4173,0.2077,0.2397,0.1089,0.3593,0.395,0.1396,0.0445,0.0418
2020-01-15,3916.96,2369.88,818.18,546.68,13386.36,520.18,12866.18,6335.36,938.38,563.03,456.4,0.4173,0.2077,0.2412,0.1089,0.3593,0.395,0.1396,0.0425,0.0408
