Date,Revenue,CostOfGoodsSold,OperatingExpense,NetProfit,TotalAssets,TotalLiabilities,Equity,CashAndEquivalents,OperatingCashFlow,FreeCashFlow,SharesOutstanding,FreeFloatRatio,InsiderHoldingRatio,PledgeRatio,RDLevel,Competitiveness,GrossMargin,NetMargin,ROE,ROA
2020-01-02,4474.1,2687.65,1358.39,321.04,7752.43,3733.06,4019.37,1638.32,768.45,461.07,464.23,0.6832,0.2029,0.1591,0.2036,0.8388,0.3993,0.0718,0.0799,0.0414
2020-01-03,4460.57,2698.52,1354.29,305.82,7905.34,3580.14,4325.19,2089.45,751.88,451.13,464.23,0.6832,0.2029,0.1601,0.2036,0.8388,0.395,0.0686,0.0707,0.0387
2020-01-06,4442.99,2687.88,1348.95,304.62,8057.65,3427.84,4629.81,2538.8,748.92,449.35,464.23,0.6832,0.2029,0.1566,0.2036,0.8388,0.395,0.0686,0.0658,0.0378
2020-01-07,4439.18,2685.58,1347.79,304.36,8209.82,3275.66,4934.17,2987.76,748.27,448.96,464.23,0.6832,0.2029,0.1569,0.2036,0.8388,0.395,0.0686,0.0617,0.0371
2020-01-08,4430.05,2680.06,1345.02,303.73,8361.69,3123.79,5237.9,3435.8,746.74,448.04,464.23,0.6832,0.2029,0.1533,0.2036,0.8388,0.395,0.0686,0.058,0.0363
2020-01-09,4423.95,2676.37,1343.17,303.31,8513.34,2972.14,5541.21,3883.23,745.71,447.42,464.23,0.6832,0.2029,0.1524,0.2036,0.8388,0.395,0.0686,0.0547,0.0356
2020-01-10,4423.29,2675.96,1342.97,303.27,8664.98,2820.5,5844.47,4330.58,745.59,447.36,464.23,0.6832,0.2029,0.1479,0.2036,0.8388,0.395,0.0686,0.0519,0.035
2020-01-13,4422.15,2675.28,1342.62,303.19,8816.57,2668.91,6147.66,4777.83,745.4,447.24,464.23,0.6832,0.2029,0.1467,0.2036,0.8388,0.395,0.0686,0.0493,0.0344
2020-01-14,4418.42,2673.02,1341.49,302.93,8968.04,2517.44,6450.59,5224.69,744.77,446.86,464.23,0.6832,0.2029,0.1483,0.2036,0.8388,0.395,0.0686,0.047,0.0338
2020-01-15,4423.95,2676.37,1343.17,303.31,9119.69,2365.79,6753.9,5672.11,745.71,447.42,464.23,0.6832,0.2029,0.1509,0.2036,0.8388,0.395,0.0686,0.0449,0.0333
2020-01-16,4429.12,2679.49,1344.74,303.67,9271.53,2213.96,7057.57,6120.06,746.58,447.95,464.23,0.6832,0.2029,0.1515,0.2036,0.8388,0.395,0.0686,0.043,0.0328
