Date,Revenue,CostOfGoodsSold,OperatingExpense,NetProfit,TotalAssets,TotalLiabilities,Equity,CashAndEquivalents,OperatingCashFlow,FreeCashFlow,SharesOutstanding,FreeFloatRatio,InsiderHoldingRatio,PledgeRatio,RDLevel,Competitiveness,GrossMargin,NetMargin,ROE,ROA
2020-01-02,1111.33,473.98,178.54,344.11,17136.58,8887.72,8248.86,419.69,455.24,273.15,448.04,0.3136,0.3679,0.1162,0.0607,0.6979,0.5735,0.3096,0.0417,0.0201
2020-01-03,1114.73,457.08,179.09,358.92,17316.04,8708.26,8607.79,701.93,470.4,282.24,448.04,0.3136,0.3679,0.1186,0.0607,0.6979,0.59,0.322,0.0417,0.0207
2020-01-06,1111.1,451.22,178.51,361.03,17496.56,8527.74,8968.82,985.21,472.14,283.28,448.04,0.3136,0.3679,0.1187,0.0607,0.6979,0.5939,0.3249,0.0403,0.0206
2020-01-07,1109.7,449.77,178.28,361.24,17677.17,8347.12,9330.05,1268.54,472.21,283.32,448.04,0.3136,0.3679,0.1166,0.0607,0.6979,0.5947,0.3255,0.0387,0.0204
2020-01-08,1110.39,450.05,178.39,361.46,17857.9,8166.39,9691.51,1552.04,472.5,283.5,448.04,0.3136,0.3679,0.1158,0.0607,0.6979,0.5947,0.3255,0.0373,0.0202
2020-01-09,1109.83,449.82,178.3,361.28,18038.54,7985.75,10052.79,1835.39,472.26,283.36,448.04,0.3136,0.3679,0.115,0.0607,0.6979,0.5947,0.3255,0.0359,0.02
2020-01-10,1109.88,449.84,178.31,361.3,18219.19,7805.1,10414.09,2118.76,472.28,283.37,448.04,0.3136,0.3679,0.1172,0.0607,0.6979,0.5947,0.3255,0.0347,0.0198
2020-01-13,1109.35,449.63,178.23,361.12,18399.75,7624.54,10775.21,2402,472.06,283.24,448.04,0.3136,0.3679,0.1184,0.0607,0.6979,0.5947,0.3255,0.0335,0.0196
2020-01-14,1111.44,450.48,178.56,361.8,18580.66,7443.64,11137.02,2685.77,472.95,283.77,448.04,0.3136,0.3679,0.1197,0.0607,0.6979,0.5947,0.3255,0.0325,0.0195
2020-01-15,1111.34,450.43,178.54,361.77,18761.54,7262.76,11498.79,2969.51,472.9,283.74,448.04,0.3136,0.3679,0.1198,0.0607,0.6979,0.5947,0.3255,0.0315,0.0193
2020-01-16,1108.76,449.39,178.13,360.93,18942.01,7082.29,11859.72,3252.6,471.81,283.09,448.04,0.3136,0.3679,0.1189,0.0607,0.6979,0.5947,0.3255,0.0304,0.0191
2020-01-17,1104.81,447.79,177.5,359.65,19121.83,6902.47,12219.36,3534.67,470.13,282.08,448.04,0.3136,0.3679,0.1161,0.0607,0.6979,0.5947,0.3255,0.0294,0.0188
2020-01-20,1097.3,444.74,176.29,357.2,19300.43,6723.87,12576.57,3814.83,466.93,280.16,448.04,0.3136,0.3679,0.1153,0.0607,0.6979,0.5947,0.3255,0.0284,0.0185
2020-01-21,1099.33,445.57,176.62,357.86,19479.36,6544.93,12934.43,4095.51,467.79,280.68,448.04,0.3136,0.3679,0.1175,0.0607,0.6979,0.5947,0.3255,0.0277,0.0184
2020-01-22,1101.67,446.52,176.99,358.62,19658.67,6365.62,13293.05,4376.78,468.79,281.27,448.04,0.3136,0.3679,0.1168,0.0607,0.6979,0.5947,0.3255,0.027,0.0182
2020-01-23,1096.25,444.32,176.12,356.86,19837.1,6187.19,13649.91,4656.67,466.48,279.89,448.04,0.3136,0.3679,0.1169,0.0607,0.6979,0.5947,0.3255,0.0261,0.018
2020-01-24,1090.64,442.04,175.22,355.03,20014.62,6009.68,14004.94,4935.13,464.1,278.46,448.04,0.3136,0.3679,0.1128,0.0607,0.6979,0.5947,0.3255,0.0254,0.0177
2020-01-27,1086.43,440.34,174.54,353.66,20191.45,5832.85,14358.6,5212.52,462.31,277.38,448.04,0.3136,0.3679,0.1139,0.0607,0.6979,0.5947,0.3255,0.0246,0.0175
2020-01-28,1086.33,440.3,174.53,353.63,20368.26,5656.03,14712.23,5489.87,462.26,277.36,448.04,0.3136,0.3679,0.1135,0.0607,0.6979,0.5947,0.3255,0.024,0.0174
2020-01-29,1083.74,439.25,174.11,352.79,20544.66,5479.64,15065.02,5766.57,461.16,276.7,448.04,0.3136,0.3679,0.1124,0.0607,0.6979,0.5947,0.3255,0.0234,0.0172
2020-01-30,1082.87,438.9,173.97,352.5,20720.91,5303.39,15417.52,6043.04,460.79,276.47,448.04,0.3136,0.3679,0.1086,0.0607,0.6979,0.5947,0.3255,0.0229,0.017
2020-01-31,1084.62,439.6,174.25,353.07,20897.45,5126.85,15770.6,6319.96,461.54,276.92,448.04,0.3136,0.3679,0.1093,0.0607,0.6979,0.5947,0.3255,0.0224,0.0169
