Date,Revenue,CostOfGoodsSold,OperatingExpense,NetProfit,TotalAssets,TotalLiabilities,Equity,CashAndEquivalents,OperatingCashFlow,FreeCashFlow,SharesOutstanding,FreeFloatRatio,InsiderHoldingRatio,PledgeRatio,RDLevel,Competitiveness,GrossMargin,NetMargin,ROE,ROA
2020-01-02,1192.62,643.56,295.11,190.46,13382.97,4112.16,9270.81,1100.45,309.73,185.84,375.56,0.7425,0.2702,0.1087,0.1474,0.604,0.4604,0.1597,0.0205,0.0142
2020-01-03,1192.56,671.39,295.1,169.56,13467.75,4027.38,9440.37,1273.74,288.81,173.29,375.56,0.7425,0.2702,0.1102,0.1474,0.604,0.437,0.1422,0.018,0.0126
2020-01-06,1193.1,690.09,295.23,155.83,13545.67,3949.47,9596.2,1438.83,275.14,165.08,375.56,0.7425,0.2702,0.1092,0.1474,0.604,0.4216,0.1306,0.0162,0.0115
2020-01-07,1194.29,703.55,295.52,146.41,13618.87,3876.26,9742.62,1598.33,265.84,159.51,375.56,0.7425,0.2702,0.1082,0.1474,0.604,0.4109,0.1226,0.015,0.0108
2020-01-08,1193.12,711.09,295.24,140.1,13688.92,3806.21,9882.72,1753.98,259.41,155.65,375.56,0.7425,0.2702,0.1076,0.1474,0.604,0.404,0.1174,0.0142,0.0102
2020-01-09,1190.35,713.92,294.55,136.41,13757.13,3738,10019.13,1907.25,255.45,153.27,375.56,0.7425,0.2702,0.1105,0.1474,0.604,0.4002,0.1146,0.0136,0.0099
2020-01-10,1187.97,715.16,293.96,134.14,13824.2,3670.93,10153.26,2059.01,252.93,151.76,375.56,0.7425,0.2702,0.1109,0.1474,0.604,0.398,0.1129,0.0132,0.0097
2020-01-13,1186.36,715.54,293.56,132.94,13890.67,3604.47,10286.2,2209.95,251.57,150.94,375.56,0.7425,0.2702,0.1095,0.1474,0.604,0.3969,0.1121,0.0129,0.0096
2020-01-14,1183.63,713.9,292.89,132.63,13956.99,3538.15,10418.84,2360.55,251,150.6,375.56,0.7425,0.2702,0.109,0.1474,0.604,0.3969,0.1121,0.0127,0.0095
2020-01-15,1180.55,712.04,292.12,132.29,14023.13,3472,10551.12,2510.76,250.34,150.21,375.56,0.7425,0.2702,0.1081,0.1474,0.604,0.3969,0.1121,0.0125,0.0094
2020-01-16,1178.06,710.54,291.51,132.01,14089.13,3406,10683.13,2660.65,249.82,149.89,375.56,0.7425,0.2702,0.1073,0.1474,0.604,0.3969,0.1121,0.0124,0.0094
