Date,GDP,GDPGrowth,CPI,PPI,PMI,NonFarmPayroll,InterestRate,InterbankRate,TreasuryYield2Y,TreasuryYield10Y,M1,M2,ExchangeRate,PoliticalStability,MarginBalance,NorthFlow
2020-01-02,3700892.42,4.745,1.11,3.923,46.64,17319.04,3.026,3.158,3.341,4.173,207166.87,2375673.14,0.140552,0.8,13112.51,2221.79
2020-01-03,3701563.21,4.568,1.154,3.808,47.52,17332.48,3.04,3.007,3.38,4.252,207213.91,2376306.83,0.140463,0.8,13105.42,2146.29
2020-01-06,3702210.51,4.407,1.25,3.829,48.3,17329.67,3.056,3.005,3.117,4.102,207260.42,2376934.54,0.140068,0.8,13112.32,2022.73
2020-01-07,3702823.95,4.176,1.286,3.801,48.46,17328.26,3.07,3.012,3.21,3.805,207305.35,2377544.05,0.139797,0.8,13132.22,1779.94
2020-01-08,3703408.18,3.976,1.378,3.734,48.92,17329.52,3.085,3.057,3.125,3.751,207349.39,2378143.57,0.14002,0.8,13197.18,1977.15
2020-01-09,3703963.54,3.779,1.486,3.631,49.37,17326.64,3.101,3.206,3.211,3.666,207392.72,2378734.84,0.138917,0.8,13230.79,1804.4
2020-01-10,3704492.18,3.597,1.539,3.466,49.51,17322.14,3.116,3.014,3.263,4.558,207434.98,2379314.01,0.13846,0.8,13226.11,1732.8
2020-01-13,3705002.36,3.471,1.517,3.443,49.53,17322.08,3.129,3.095,3.378,4.215,207476.04,2379879.35,0.139289,0.8,13296.02,1572.07
2020-01-14,3705494.36,3.346,1.647,3.474,50.04,17324.47,3.144,3.136,3.218,3.908,207517.16,2380445.4,0.139973,0.8,13220.72,1603.4
2020-01-15,3705966.53,3.211,1.695,3.497,50.13,17331.01,3.159,3.29,3.169,3.918,207557.56,2381003.3,0.139484,0.8,13206.73,1515.26
2020-01-16,3706420.48,3.087,1.662,3.363,50.32,17337.33,3.172,3.143,3.476,4.061,207596.67,2381546.45,0.139843,0.8,13275.44,1455.61
2020-01-17,3706861.48,2.998,1.655,3.484,50.79,17336.72,3.183,3.05,3.438,4.296,207635,2382080.73,0.139894,0.8,13325.78,1218.96
2020-01-20,3707288.52,2.903,1.748,3.294,50.98,17338.11,3.196,3.198,3.533,3.798,207673.32,2382614.89,0.139924,0.8,13394.94,1332.01
2020-01-21,3707693.84,2.755,1.813,3.235,51.6,17340.92,3.209,3.016,3.559,4.245,207710.97,2383141.38,0.139749,0.8,13418.62,1015.95
2020-01-22,3708076.94,2.604,1.923,3.244,51.49,17339.79,3.223,3.157,3.523,4.258,207748.29,2383664.07,0.140042,0.8,13445.67,1236.95
2020-01-23,3708441.25,2.476,1.956,3.199,51.35,17337.05,3.237,3.087,3.503,4.026,207784.82,2384177.86,0.139055,0.8,13338.77,1474.52
2020-01-24,3708794.54,2.401,2.017,3.012,51.41,17337.09,3.252,3.281,3.305,4.434,207821.24,2384690.4,0.138974,0.8,13312.86,1201.22
2020-01-27,3709137.03,2.327,2.023,2.976,51.99,17339.67,3.266,3.107,3.347,4.226,207857.12,2385196.67,0.137802,0.8,13467.34,1102.4
2020-01-28,3709468.84,2.254,2.056,2.81,51.92,17341.44,3.28,3.328,3.532,4.309,207892.67,2385699.34,0.13775,0.8,13234.7,1201.97
2020-01-29,3709787.13,2.162,2.154,2.795,52.21,17335.31,3.295,3.197,3.608,4.325,207928.28,2386202.6,0.13728,0.8,13204.79,1217.65
2020-01-30,3710095.59,2.095,2.191,2.903,52.34,17333.33,3.311,3.232,3.388,4.109,207963.65,2386703.16,0.136422,0.8,13224.83,1447.3
2020-01-31,3710392.17,2.014,2.264,2.658,52.19,17334.71,3.328,3.365,3.548,4.33,207998.95,2387203.06,0.136542,0.8,13189.02,1085.21
2020-02-03,3710681.7,1.966,2.309,2.573,52.01,17336.96,3.345,3.406,3.575,4.199,208034.24,2387702.8,0.137314,0.8,13185.35,1118.2
2020-02-04,3710965.59,1.928,2.364,2.549,52.07,17338.17,3.364,3.308,3.372,4.215,208069.67,2388204.23,0.137233,0.8,13244.53,1252.49
2020-02-05,3711241.94,1.877,2.344,2.622,52.2,17335.04,3.381,3.312,3.509,4.422,208104.52,2388698.95,0.139124,0.8,13263.96,998.17
2020-02-06,3711514.58,1.851,2.324,2.723,52.48,17332.28,3.396,3.213,3.511,4.269,208139,2389189.54,0.13887,0.8,13292.73,828.88
2020-02-07,3711778.57,1.792,2.385,2.584,52.31,17329.47,3.413,3.465,3.708,4.615,208173.5,2389680.37,0.139301,0.8,13286.14,608.51
2020-02-10,3712038.22,1.763,2.315,2.571,52.34,17331.19,3.427,3.485,3.529,4.294,208207.19,2390161.88,0.13935,0.8,13266.65,611.08
2020-02-11,3712290.42,1.712,2.297,2.61,52.47,17339.32,3.439,3.468,3.538,4.252,208240.31,2390636.97,0.139258,0.8,13216.27,689.22
2020-02-12,3712538.5,1.684,2.357,2.52,52.49,17338.09,3.453,3.449,3.589,4.669,208273.7,2391115.18,0.140921,0.8,13166.7,1145.31
2020-02-13,3712782.63,1.657,2.384,2.565,52.45,17338.09,3.467,3.603,3.462,4.596,208307.1,2391593.51,0.140935,0.8,13228.78,982.93
2020-02-14,3713019.54,1.608,2.376,2.446,52.21,17333.99,3.48,3.563,3.805,4.497,208340.04,2392066.54,0.14182,0.8,13128.17,508.41
2020-02-17,3713251.24,1.572,2.33,2.487,52.31,17336.8,3.491,3.377,3.675,4.463,208372.3,2392531.88,0.141386,0.8,13099.87,607.69
2020-02-18,3713474.22,1.513,2.326,2.343,52.3,17340.27,3.501,3.471,3.587,4.613,208404.04,2392991.29,0.140324,0.8,13071.55,496.35
2020-02-19,3713690.3,1.466,2.385,2.495,52.37,17332.2,3.512,3.234,3.609,4.856,208435.9,2393452.02,0.141117,0.8,13032.52,843.92
2020-02-20,3713901.45,1.433,2.431,2.487,52.61,17332.54,3.524,3.578,3.83,4.348,208467.86,2393914.02,0.141065,0.8,13027.72,885.3
2020-02-21,3714109.77,1.414,2.486,2.533,52.93,17327.35,3.537,3.521,3.622,4.428,208500.12,2394379.5,0.141939,0.8,13072.83,899.74
2020-02-24,3714313.5,1.382,2.439,2.389,52.88,17321.7,3.549,3.639,3.746,4.378,208531.74,2394837.61,0.140928,0.8,13033.58,874.95
2020-02-25,3714510.22,1.335,2.437,2.516,52.67,17318.11,3.559,3.364,3.674,4.451,208562.95,2395291.11,0.140142,0.8,13011.93,840.1
2020-02-26,3714698.08,1.274,2.42,2.537,52.6,17315.84,3.568,3.468,3.914,4.753,208593.53,2395737.31,0.139736,0.8,12930.32,740.24
2020-02-27,3714882.03,1.248,2.445,2.516,52.86,17314.93,3.578,3.631,3.741,4.51,208624.1,2396183.48,0.138213,0.8,12945.99,819.7
2020-02-28,3715062.22,1.222,2.489,2.575,52.51,17313.06,3.588,3.774,3.577,4.588,208654.83,2396631.51,0.138596,0.8,12850.17,706.21
