Date,GDP,GDPGrowth,CPI,PPI,PMI,NonFarmPayroll,InterestRate,InterbankRate,TreasuryYield2Y,TreasuryYield10Y,M1,M2,ExchangeRate,PoliticalStability,MarginBalance,NorthFlow
2020-01-02,540358.42,3.28,5.716,2.969,51.66,11915.85,1.728,1.739,2.151,2.735,875911.87,2659175.66,1.076779,0.82,398526.67,-4362.6
2020-01-03,540425.85,3.145,5.611,3.043,51.94,11922.99,1.888,2.011,2.156,3.056,876216.21,2660205.14,1.078679,0.82,393182.56,-4016.68
2020-01-06,540491.36,3.055,5.516,3.03,52.31,11926.44,2.042,2.138,2.156,3.277,876514.22,2661215.45,1.085861,0.82,395111.79,-3512
2020-01-07,540555.02,2.968,5.383,3.149,52.22,11930.45,2.187,2.151,2.424,3.167,876804.67,2662202.91,1.089541,0.82,394441.32,-3510.42
2020-01-08,540617.12,2.895,5.24,3.219,52.32,11934.82,2.324,2.167,2.551,3.121,877087.71,2663167.95,1.08924,0.82,397339.34,-3221.89
2020-01-09,540676.65,2.775,5.165,3.269,52.45,11940.34,2.456,2.484,2.648,3.196,877364.06,2664112.73,1.089218,0.82,396185.45,-3005.9
2020-01-10,540734.54,2.698,5.015,3.349,52.89,11945.59,2.579,2.662,2.789,3.587,877632.6,2665033.86,1.086101,0.82,396592.37,-2997.79
2020-01-13,540790.37,2.602,4.928,3.156,53.06,11945.83,2.696,2.881,2.845,3.812,877894.86,2665936.01,1.083724,0.82,394887.24,-2840.89
2020-01-14,540843.96,2.497,4.837,3.2,53.35,11956.07,2.807,2.803,2.883,3.834,878150.38,2666817.73,1.089311,0.82,398436.89,-3010.39
2020-01-15,540895.85,2.418,4.69,3.217,53.63,11955.22,2.911,3.129,3.074,3.938,878398.05,2667675.71,1.076978,0.82,396889.7,-3093.16
2020-01-16,540946.42,2.356,4.618,3.177,53.6,11949.14,3.01,3.035,3.187,4.361,878641.16,2668519.88,1.068886,0.82,396410.04,-3336.92
2020-01-17,540995.26,2.275,4.566,3.103,53.59,11950.84,3.104,3.183,3.256,3.795,878879.7,2669350.25,1.06385,0.82,395579.67,-3329.15
2020-01-20,541041.94,2.175,4.486,3.131,53.72,11953.51,3.194,3.189,3.332,4.252,879111.99,2670161.69,1.060643,0.82,397997.4,-2983.71
2020-01-21,541087.08,2.102,4.44,3.103,53.55,11957.94,3.279,3.138,3.55,4.24,879340.23,2670960.88,1.058752,0.82,398059.09,-3005.32
2020-01-22,541130.82,2.037,4.322,3.102,53.54,11960.67,3.358,3.42,3.548,4.394,879562.14,2671740.91,1.052336,0.82,396802.95,-2813.65
