Date,GDP,GDPGrowth,CPI,PPI,PMI,NonFarmPayroll,InterestRate,InterbankRate,TreasuryYield2Y,TreasuryYield10Y,M1,M2,ExchangeRate,PoliticalStability,MarginBalance,NorthFlow
2020-01-02,587426.04,3.059,1.587,3.66,48.82,16640.67,4.434,4.531,4.782,5.465,467474.57,971645.17,1.252968,0.78,383129.8,-1073.48
2020-01-03,587494.57,2.94,1.568,3.702,49.28,16643.23,4.417,4.51,4.637,5.479,467558.2,971857.54,1.248799,0.78,383219.94,-1067.55
2020-01-06,587560.57,2.831,1.646,3.585,49.75,16645.08,4.401,4.344,4.424,5.24,467641.27,972068.78,1.242181,0.78,380655.99,-1002.72
2020-01-07,587624.26,2.732,1.658,3.382,49.9,16644.98,4.385,4.459,4.503,5.394,467722.72,972276.67,1.24035,0.78,381905.57,-1272.71
2020-01-08,587685.89,2.643,1.611,3.338,49.88,16648.69,4.367,4.306,4.517,5.21,467801.69,972479.39,1.241058,0.78,383248.25,-1196.92
2020-01-09,587745.07,2.538,1.686,3.205,50.15,16648.95,4.351,4.38,4.473,5.434,467880.09,972680.96,1.227105,0.78,381631.22,-1107.4
2020-01-10,587802.67,2.47,1.726,3.203,50.58,16653.28,4.335,4.351,4.597,5.352,467957.98,972881.49,1.224013,0.78,382827.86,-978.29
2020-01-13,587858.4,2.389,1.728,3.083,50.22,16656.83,4.319,4.307,4.657,5.285,468034.43,973079.04,1.216141,0.78,381956.5,-1010.45
2020-01-14,587912.23,2.308,1.711,2.98,50.44,16657.9,4.302,4.255,4.368,5.222,468109.07,973272.84,1.217267,0.78,381613.61,-967.21
2020-01-15,587963.88,2.214,1.706,2.962,50.47,16661.69,4.285,4.204,4.503,5.286,468181.87,973462.82,1.221377,0.78,380673.19,-965.36
2020-01-16,588012.79,2.096,1.714,2.967,50.87,16660.66,4.266,4.264,4.385,5.074,468252.66,973648.64,1.231071,0.78,380706.43,-902.41
2020-01-17,588060.21,2.033,1.834,2.745,50.89,16660.35,4.251,4.467,4.505,5.218,468324.5,973836.65,1.235586,0.78,380333.9,-831.61
2020-01-20,588105.7,1.949,1.824,2.755,51.24,16658.81,4.236,4.302,4.375,5.289,468394.62,974021.1,1.239593,0.78,379029.18,-1269.32
2020-01-21,588150.11,1.903,1.819,2.554,51.37,16659.76,4.219,4.282,4.485,5.306,468463.79,974203.6,1.234266,0.78,382375.89,-945.45
2020-01-22,588193.4,1.855,1.812,2.482,51.51,16659.52,4.203,4.159,4.526,5.129,468531.96,974384.03,1.234273,0.78,381782.99,-937.28
2020-01-23,588235.2,1.791,1.844,2.634,51.73,16655.92,4.187,4.215,4.279,5.04,468599.54,974563.24,1.238676,0.78,382470.29,-1037.7
2020-01-24,588276.04,1.75,1.829,2.572,52.04,16658.34,4.171,4.383,4.237,5.478,468666.1,974740.32,1.241995,0.78,383308.08,-1161.96
2020-01-27,588315.07,1.672,1.849,2.677,52.09,16656.56,4.155,4.078,4.232,5.181,468731.57,974915.19,1.247659,0.78,384454.76,-1147.27
2020-01-28,588352.87,1.619,1.764,2.677,52.26,16662.85,4.136,4.205,4.205,4.896,468794.49,975084.74,1.246099,0.78,383246.62,-1352.17
2020-01-29,588390.05,1.592,1.7,2.725,52.23,16664.76,4.115,3.952,4.289,4.976,468855.75,975250.84,1.255922,0.78,379674.42,-1359.34
2020-01-30,588426.66,1.568,1.791,2.795,51.99,16672.31,4.097,3.998,4.105,5.229,468918.24,975419.53,1.256716,0.78,379378,-1214.91
2020-01-31,588462.45,1.533,1.847,2.745,51.74,16674.42,4.081,3.978,4.391,5.292,468981.14,975589.07,1.258854,0.78,379354.12,-1050.71
2020-02-03,588497.2,1.488,1.931,2.51,51.95,16675.97,4.067,4.285,4.234,5.276,469044.78,975760.17,1.265663,0.78,379094.61,-748.2
2020-02-04,588530.57,1.429,1.961,2.451,51.75,16682.91,4.054,4.018,4.378,5.38,469107.87,975930.15,1.26097,0.78,378547.17,-1000.88
2020-02-05,588563.41,1.406,1.99,2.52,51.77,16688.12,4.041,3.894,4.337,5.005,469171.1,976100.41,1.262628,0.78,380230.84,-925.7
2020-02-06,588595.76,1.385,2.077,2.605,51.64,16693.89,4.032,4.003,4.176,4.979,469235.56,976273.25,1.256727,0.78,379684.19,-494.02
2020-02-07,588627.06,1.34,2.09,2.506,51.94,16697.29,4.022,3.968,4.308,5.021,469299.43,976444.88,1.25884,0.78,379668.47,-265.68
2020-02-10,588657.8,1.316,2.083,2.438,51.87,16704.31,4.012,3.949,4.243,5.154,469362.74,976615.35,1.25858,0.78,382209.11,-312.63
2020-02-11,588687.47,1.27,1.974,2.342,51.9,16708.21,3.999,3.895,4.248,4.935,469423.16,976779.84,1.258253,0.78,383036.03,-209.4
2020-02-12,588716.86,1.258,1.984,2.444,52.11,16718.17,3.986,4.042,4.202,5.249,469483.55,976944.25,1.262879,0.78,385629.32,-363.16
2020-02-13,588746.15,1.254,1.966,2.354,51.92,16721.34,3.973,3.925,4.077,4.753,469543.54,977107.86,1.26071,0.78,384642.98,-171.89
