Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,0.9659,0,26.87,0.6203,0.3797,75.95
2020-01-03,0.9454,0,35.12,0.618,0.382,89.05
2020-01-06,0.8926,0,80.23,0.6407,0.3593,100
2020-01-07,0.9745,0,33.04,0.5922,0.4078,100
2020-01-08,0.9685,0,48.84,0.6206,0.3794,100
2020-01-09,0.9617,0,43.81,0.6356,0.3644,100
2020-01-10,0.1843,0,51.6,0.5263,0.4737,100
2020-01-13,0.9456,0,74.94,0.639,0.361,100
2020-01-14,-0.919,0,52.43,0.3904,0.6096,100
2020-01-15,0.5059,0,51.04,0.6212,0.3788,100
2020-01-16,-0.9692,0,81.61,0.3158,0.6842,100
2020-01-17,0.9702,0,58.47,0.6305,0.3695,100
2020-01-20,-0.9718,0,73.72,0.3084,0.6916,100
2020-01-21,-0.8798,0,90.61,0.3191,0.6809,100
2020-01-22,0.9345,0,52.01,0.6519,0.3481,100
2020-01-23,-0.7209,0,85.14,0.3778,0.6222,100
2020-01-24,0.8394,0,39.08,0.5999,0.4001,100
2020-01-27,-0.9892,0,129.25,0.3916,0.6084,100
2020-01-28,0.9812,0,64.89,0.6506,0.3494,100
2020-01-29,-0.5076,0,57,0.4865,0.5135,100
2020-01-30,0.9546,0,64.89,0.6291,0.3709,100
2020-01-31,-0.9756,0,67.53,0.3066,0.6934,100
2020-02-03,0.521,0,60.54,0.5647,0.4353,100
2020-02-04,0.281,0,44.56,0.5245,0.4755,100
2020-02-05,-0.5868,0,50.62,0.4497,0.5503,100
2020-02-06,0.8706,0,52.64,0.6692,0.3308,100
2020-02-07,-0.9551,0,74.1,0.4118,0.5882,100
2020-02-10,0.9541,0,71.99,0.6506,0.3494,100
2020-02-11,-0.2687,0,42.34,0.4734,0.5266,100
2020-02-12,-0.1646,0,44.96,0.4536,0.5464,100
2020-02-13,0.0593,0,46.35,0.5086,0.4914,100
2020-02-14,-0.6823,0,47.39,0.429,0.571,100
2020-02-17,0.2545,0,48.08,0.4995,0.5005,100
2020-02-18,-0.8519,0,94.64,0.3416,0.6584,100
2020-02-19,0.7722,0,49.99,0.6292,0.3708,100
2020-02-20,-0.9522,0,58.65,0.3512,0.6488,100
2020-02-21,-0.6165,0,67.27,0.4142,0.5858,100
2020-02-24,0.9511,0,47.7,0.6238,0.3762,100
2020-02-25,-0.4708,0,45.52,0.4545,0.5455,100
2020-02-26,0.8523,0,51.16,0.6361,0.3639,100
2020-02-27,-0.9603,0,66.93,0.3265,0.6735,100
2020-02-28,0.8894,0,38.39,0.6172,0.3828,100
