Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,-0.9525,0,30.98,0.4077,0.5923,74.45
2020-01-03,-0.9696,0,28.05,0.3086,0.6914,95.83
2020-01-06,-0.9901,0,66.46,0.3441,0.6559,100
2020-01-07,-0.9668,0,27,0.2933,0.7067,100
2020-01-08,-0.9707,0,20.65,0.3522,0.6478,100
2020-01-09,-0.96,0,19.29,0.3989,0.6011,100
2020-01-10,-0.9718,0,15.74,0.3348,0.6652,100
2020-01-13,-0.9063,0,18.45,0.3519,0.6481,100
2020-01-14,0.9522,0,24.46,0.6343,0.3657,100
2020-01-15,-0.7104,0,15.6,0.4701,0.5299,100
2020-01-16,-0.8304,0,27.75,0.3487,0.6513,100
2020-01-17,0.9406,0,18.88,0.6876,0.3124,100
2020-01-20,-0.0615,0,20.76,0.4516,0.5484,100
2020-01-21,-0.3334,0,27.62,0.492,0.508,100
2020-01-22,-0.8273,0,17.47,0.3891,0.6109,100
2020-01-23,-0.5159,0,28.72,0.4137,0.5863,100
2020-01-24,0.665,0,15.14,0.6094,0.3906,100
2020-01-27,-0.8567,0,39.46,0.3261,0.6739,100
2020-01-28,0.4482,0,20,0.5634,0.4366,100
2020-01-29,0.022,0,15.19,0.4952,0.5048,100
2020-01-30,-0.1779,0,16.28,0.4493,0.5507,100
2020-01-31,0.7422,0,23.16,0.5815,0.4185,100
2020-02-03,-0.8598,0,20.85,0.3809,0.6191,100
2020-02-04,0.9612,0,24.26,0.6718,0.3282,100
2020-02-05,0.4277,0,27.36,0.5209,0.4791,100
2020-02-06,-0.9291,0,16.81,0.367,0.633,100
2020-02-07,0.078,0,15.79,0.5188,0.4812,100
2020-02-10,0.5491,0,21.3,0.5149,0.4851,100
2020-02-11,-0.3071,0,15.75,0.3872,0.6128,100
2020-02-12,0.1889,0,16.11,0.5484,0.4516,100
2020-02-13,-0.2866,0,16.41,0.4803,0.5197,100
2020-02-14,-0.1627,0,14.94,0.5154,0.4846,100
2020-02-17,-0.4376,0,18.45,0.3863,0.6137,100
2020-02-18,0.3235,0,25.21,0.5082,0.4918,100
2020-02-19,-0.0028,0,18.67,0.5259,0.4741,100
2020-02-20,-0.5626,0,15.19,0.4097,0.5903,100
2020-02-21,-0.8718,0,22.37,0.3778,0.6222,100
2020-02-24,0.877,0,16.72,0.6323,0.3677,100
2020-02-25,-0.0559,0,15.89,0.54,0.46,100
2020-02-26,-0.3292,0,15.06,0.4103,0.5897,100
2020-02-27,0.3373,0,16.04,0.5388,0.4612,100
2020-02-28,-0.3134,0,14.15,0.5113,0.4887,100
