Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,-0.9671,0,65.46,0.3995,0.6005,75.96
2020-01-03,-0.9664,0,72.88,0.2928,0.7072,97.85
2020-01-06,-0.9896,1,142.56,0.3636,0.6364,100
2020-01-07,-0.9658,0,54.86,0.3314,0.6686,100
2020-01-08,-0.9778,0,44.89,0.3393,0.6607,100
2020-01-09,-0.895,0,57.46,0.3497,0.6503,100
2020-01-10,-0.9873,1,116.89,0.3859,0.6141,100
2020-01-13,0.5859,0,39.42,0.5806,0.4194,100
2020-01-14,0.7378,0,61.46,0.6381,0.3619,100
2020-01-15,-0.9644,0,57.84,0.348,0.652,100
2020-01-16,0.581,0,57.97,0.5121,0.4879,100
2020-01-17,0.1699,0,39.72,0.4907,0.5093,100
2020-01-20,-0.8703,1,97.83,0.3898,0.6102,100
2020-01-21,0.3749,0,56.8,0.5255,0.4745,100
2020-01-22,-0.635,0,48.52,0.4373,0.5627,100
2020-01-23,-0.0752,0,65.51,0.502,0.498,100
2020-01-24,0.9168,0,55.38,0.6153,0.3847,100
2020-01-27,-0.8827,1,110.58,0.3757,0.6243,100
2020-01-28,-0.4353,0,55.4,0.3831,0.6169,100
2020-01-29,0.0333,0,34.43,0.4635,0.5365,100
2020-01-30,0.4949,0,49.32,0.6062,0.3938,100
2020-01-31,-0.9698,1,77.49,0.3404,0.6596,100
2020-02-03,0.273,0,46.87,0.4808,0.5192,100
2020-02-04,0.5505,0,39.91,0.5454,0.4546,100
2020-02-05,-0.1915,0,40.61,0.4866,0.5134,100
2020-02-06,0.2182,0,40,0.5682,0.4318,100
2020-02-07,-0.2977,0,49.8,0.4644,0.5356,100
2020-02-10,-0.234,0,41.95,0.4788,0.5212,100
2020-02-11,0.6135,0,35.64,0.5806,0.4194,100
2020-02-12,-0.6519,0,48.43,0.4018,0.5982,100
2020-02-13,0.6128,0,41.78,0.5762,0.4238,100
2020-02-14,-0.7621,0,41.59,0.429,0.571,100
2020-02-17,0.1682,0,38.27,0.5366,0.4634,100
2020-02-18,-0.455,0,48.09,0.3998,0.6002,100
2020-02-19,-0.6756,0,45.72,0.4499,0.5501,100
2020-02-20,-0.8988,1,88.79,0.3376,0.6624,100
2020-02-21,0.7017,0,41.26,0.5836,0.4164,100
2020-02-24,0.6949,0,37.11,0.5663,0.4337,100
2020-02-25,-0.9432,0,57.47,0.3502,0.6498,100
2020-02-26,0.9697,0,35.81,0.5847,0.4153,100
2020-02-27,-0.3445,0,39.41,0.417,0.583,100
2020-02-28,-0.2471,0,40.73,0.4684,0.5316,100
