Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,-0.9742,0,159.14,0.3484,0.6516,100
2020-01-03,-0.9678,0,109.63,0.3201,0.6799,100
2020-01-06,-0.965,0,103.45,0.3843,0.6157,100
2020-01-07,-0.9612,0,98.46,0.3112,0.6888,100
2020-01-08,-0.5399,0,93,0.4125,0.5875,100
2020-01-09,-0.314,0,77.47,0.3956,0.6044,100
2020-01-10,-0.9246,0,95.22,0.2951,0.7049,100
2020-01-13,-0.7654,0,123.92,0.4152,0.5848,100
2020-01-14,0.7888,0,86.69,0.6388,0.3612,100
2020-01-15,0.095,0,69.96,0.5305,0.4695,100
2020-01-16,-0.8123,0,191.83,0.353,0.647,100
2020-01-17,0.4207,0,58.56,0.5613,0.4387,100
2020-01-20,-0.52,0,76.26,0.3736,0.6264,100
2020-01-21,-0.8621,0,115.03,0.3815,0.6185,100
2020-01-22,0.9194,0,79.53,0.6692,0.3308,100
2020-01-23,-0.8551,0,73.41,0.3396,0.6604,100
2020-01-24,0.3922,0,60.2,0.4893,0.5107,100
2020-01-27,-0.1725,0,72.38,0.484,0.516,100
2020-01-28,-0.4373,0,94.06,0.4421,0.5579,100
2020-01-29,-0.4265,0,70.25,0.4743,0.5257,100
2020-01-30,0.3688,0,70.95,0.5671,0.4329,100
2020-01-31,0.5075,0,65.74,0.5651,0.4349,100
2020-02-03,0.7846,0,91.22,0.5799,0.4201,100
2020-02-04,-0.9744,0,100.47,0.349,0.651,100
2020-02-05,0.6073,0,57.29,0.5826,0.4174,100
2020-02-06,-0.1327,0,73.92,0.44,0.56,100
2020-02-07,-0.2906,0,97.99,0.5156,0.4844,100
2020-02-10,-0.8383,0,124.56,0.4105,0.5895,100
2020-02-11,0.3161,0,114.56,0.5573,0.4427,100
2020-02-12,0.6354,0,104.53,0.6607,0.3393,100
2020-02-13,-0.9804,0,169.8,0.3409,0.6591,100
2020-02-14,0.969,0,62.88,0.6642,0.3358,100
2020-02-17,0.8671,0,126.58,0.6173,0.3827,100
2020-02-18,-0.987,0,157.31,0.3622,0.6378,100
2020-02-19,0.1003,0,59.4,0.5045,0.4955,100
2020-02-20,0.749,0,85.76,0.641,0.359,100
2020-02-21,-0.2771,0,90.38,0.5243,0.4757,100
2020-02-24,-0.6379,0,59.28,0.3518,0.6482,100
2020-02-25,0.8993,0,80.87,0.6276,0.3724,100
2020-02-26,-0.792,0,80.23,0.3556,0.6444,100
2020-02-27,-0.7262,0,93.88,0.3702,0.6298,100
2020-02-28,0.953,0,66.19,0.6504,0.3496,100
