Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,-0.9745,0,332.87,0.3659,0.6341,77.92
2020-01-03,-0.9615,0,214.85,0.3531,0.6469,100
2020-01-06,-0.9678,0,211.7,0.3421,0.6579,100
2020-01-07,-0.9541,0,160.81,0.3754,0.6246,100
2020-01-08,-0.9652,0,204.07,0.3702,0.6298,100
2020-01-09,-0.9608,0,152.97,0.4228,0.5772,100
2020-01-10,0.3248,0,201.21,0.4902,0.5098,100
2020-01-13,-0.6212,0,155.02,0.3924,0.6076,100
2020-01-14,-0.9124,0,185.67,0.3986,0.6014,100
2020-01-15,0.1066,0,152.08,0.5682,0.4318,100
2020-01-16,-0.9892,1,393.98,0.3404,0.6596,100
2020-01-17,0.9568,0,163.17,0.6385,0.3615,100
2020-01-20,0.9431,0,191.86,0.6345,0.3655,100
2020-01-21,-0.8654,0,229.64,0.3984,0.6016,100
2020-01-22,-0.4541,0,136.33,0.469,0.531,100
2020-01-23,-0.4042,0,154.85,0.4281,0.5719,100
2020-01-24,-0.4919,0,170.16,0.4357,0.5643,100
2020-01-27,0.9533,0,249.37,0.6082,0.3918,100
2020-01-28,0.0251,0,190.43,0.5712,0.4288,100
2020-01-29,-0.8811,0,136.72,0.4147,0.5853,100
2020-01-30,0.6381,0,161.58,0.5947,0.4053,100
2020-01-31,-0.7954,0,139.5,0.3611,0.6389,100
2020-02-03,0.9039,0,140.63,0.6034,0.3966,100
2020-02-04,-0.794,0,152.61,0.3935,0.6065,100
2020-02-05,-0.5618,0,124.99,0.4078,0.5922,100
2020-02-06,0.6501,0,131.36,0.5921,0.4079,100
2020-02-07,0.6465,0,178.64,0.6112,0.3888,100
2020-02-10,-0.9394,0,204.8,0.3069,0.6931,100
2020-02-11,-0.7848,1,244.86,0.3345,0.6655,100
2020-02-12,0.9781,0,165.91,0.6519,0.3481,100
2020-02-13,-0.9453,1,287.54,0.3459,0.6541,100
2020-02-14,0.9352,0,147.61,0.6738,0.3262,100
2020-02-17,-0.8192,0,152.41,0.3935,0.6065,100
2020-02-18,-0.9458,0,224.68,0.3793,0.6207,100
2020-02-19,0.958,0,187.36,0.6267,0.3733,100
2020-02-20,0.3919,0,193.79,0.5832,0.4168,100
2020-02-21,0.9168,1,396.93,0.6626,0.3374,100
2020-02-24,-0.9226,0,159.86,0.3326,0.6674,100
2020-02-25,-0.9395,0,148.72,0.3499,0.6501,100
2020-02-26,0.9711,0,184.11,0.6808,0.3192,100
2020-02-27,-0.944,0,174.32,0.3074,0.6926,100
2020-02-28,-0.5973,0,171.38,0.4351,0.5649,100
