Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,-0.9692,0,94.46,0.391,0.609,77.32
2020-01-03,-0.9686,0,54.54,0.2755,0.7245,97.46
2020-01-06,-0.9615,0,62.99,0.3699,0.6301,100
2020-01-07,-0.9735,0,60.4,0.3397,0.6603,100
2020-01-08,-0.9711,0,45.77,0.3204,0.6796,100
2020-01-09,-0.9558,0,40.66,0.3859,0.6141,100
2020-01-10,-0.9749,0,36.94,0.3407,0.6593,100
2020-01-13,0.3447,0,46.52,0.5481,0.4519,100
2020-01-14,-0.2594,0,52.18,0.4426,0.5574,100
2020-01-15,-0.6537,0,29.68,0.4302,0.5698,100
2020-01-16,-0.9116,0,82.37,0.3797,0.6203,100
2020-01-17,-0.4423,0,42.24,0.4587,0.5413,100
2020-01-20,0.9212,0,51.37,0.6942,0.3058,100
2020-01-21,0.047,0,81.47,0.4862,0.5138,100
2020-01-22,-0.8449,0,46.6,0.3876,0.6124,100
2020-01-23,0.358,0,39.32,0.5886,0.4114,100
2020-01-24,-0.861,0,35.98,0.3994,0.6006,100
2020-01-27,-0.5344,0,50.6,0.4334,0.5666,100
2020-01-28,0.983,0,57.69,0.6816,0.3184,100
2020-01-29,-0.9425,0,37.54,0.3883,0.6117,100
2020-01-30,-0.0384,0,38.95,0.5566,0.4434,100
2020-01-31,0.6513,0,27.77,0.6081,0.3919,100
2020-02-03,0.7465,0,43.08,0.5953,0.4047,100
2020-02-04,-0.9733,0,46.65,0.4272,0.5728,100
2020-02-05,0.7298,0,28.07,0.6472,0.3528,100
2020-02-06,0.6645,0,46.25,0.5776,0.4224,100
2020-02-07,-0.2623,0,43.44,0.4545,0.5455,100
2020-02-10,0.2714,0,70.06,0.5466,0.4534,100
2020-02-11,-0.8867,0,49.88,0.3561,0.6439,100
2020-02-12,0.3804,0,46.19,0.5531,0.4469,100
2020-02-13,-0.7158,0,85.98,0.3938,0.6062,100
2020-02-14,-0.2798,0,29.97,0.4879,0.5121,100
2020-02-17,0.3084,0,39.47,0.5261,0.4739,100
2020-02-18,-0.4146,0,64.15,0.4266,0.5734,100
2020-02-19,-0.6677,0,30.05,0.3873,0.6127,100
2020-02-20,0.3621,0,32.27,0.568,0.432,100
2020-02-21,0.9049,0,88.57,0.6986,0.3014,100
2020-02-24,-0.7277,0,27.16,0.3004,0.6996,100
2020-02-25,-0.71,0,34.64,0.445,0.555,100
2020-02-26,0.933,0,37.15,0.6776,0.3224,100
2020-02-27,-0.4267,0,29.3,0.4639,0.5361,100
2020-02-28,-0.8791,0,45.2,0.3682,0.6318,100
