Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,-0.9672,0,81.79,0.3749,0.6251,100
2020-01-03,-0.5512,0,67.44,0.3223,0.6777,100
2020-01-06,0.1678,0,99.68,0.5434,0.4566,99.93
2020-01-07,0.9642,0,81.24,0.6531,0.3469,100
2020-01-08,0.8955,0,99.08,0.6694,0.3306,100
2020-01-09,-0.3851,0,91.17,0.4314,0.5686,100
2020-01-10,0.9744,0,174.63,0.6341,0.3659,100
2020-01-13,0.47,0,169.35,0.5653,0.4347,100
2020-01-14,-0.154,0,109.1,0.4673,0.5327,100
2020-01-15,0.1772,0,90.66,0.5112,0.4888,100
2020-01-16,-0.538,0,136.4,0.4057,0.5943,100
2020-01-17,0.6332,0,93.36,0.6118,0.3882,100
2020-01-20,-0.0985,0,121.47,0.4707,0.5293,100
2020-01-21,0.5417,0,167.59,0.5995,0.4005,100
2020-01-22,-0.577,0,89.7,0.4316,0.5684,100
2020-01-23,-0.3118,0,112.27,0.4497,0.5503,100
2020-01-24,0.8075,0,98.99,0.6941,0.3059,100
2020-01-27,0.4346,0,120,0.5401,0.4599,100
2020-01-28,-0.3911,0,151.06,0.4514,0.5486,100
2020-01-29,-0.7651,0,128.37,0.393,0.607,100
2020-01-30,0.8038,0,133.72,0.6316,0.3684,100
2020-01-31,0.0716,0,107.11,0.5099,0.4901,100
2020-02-03,-0.2223,0,117.31,0.4895,0.5105,100
2020-02-04,0.9451,0,220.35,0.6206,0.3794,100
2020-02-05,-0.4323,0,107.62,0.4014,0.5986,100
2020-02-06,-0.2335,0,104.78,0.4571,0.5429,100
2020-02-07,0.8061,0,163.25,0.6539,0.3461,100
2020-02-10,0.015,0,157.94,0.4951,0.5049,100
2020-02-11,-0.9145,0,123.81,0.3137,0.6863,100
2020-02-12,0.1325,0,123.49,0.5555,0.4445,100
2020-02-13,-0.8128,0,146.67,0.3458,0.6542,100
2020-02-14,0.8399,0,88.91,0.6285,0.3715,100
2020-02-17,-0.1229,0,108.01,0.5255,0.4745,100
2020-02-18,-0.0209,0,142.49,0.5042,0.4958,100
2020-02-19,-0.9389,0,158.82,0.345,0.655,100
2020-02-20,0.9656,0,104.91,0.6351,0.3649,100
2020-02-21,-0.631,0,107.83,0.3976,0.6024,100
2020-02-24,0.0463,0,103.52,0.4635,0.5365,100
2020-02-25,-0.5032,0,112.4,0.4975,0.5025,100
2020-02-26,0.3436,0,110.48,0.5138,0.4862,100
2020-02-27,0.8023,0,112.73,0.5813,0.4187,100
2020-02-28,-0.2537,0,99.09,0.4423,0.5577,100
