Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,-0.9626,0,32.05,0.319,0.681,100
2020-01-03,-0.9676,0,28.92,0.3415,0.6585,100
2020-01-06,-0.9716,0,27.27,0.3791,0.6209,100
2020-01-07,-0.9698,0,24.03,0.3601,0.6399,100
2020-01-08,-0.9496,0,23.51,0.3425,0.6575,100
2020-01-09,-0.9159,0,19.15,0.334,0.666,100
2020-01-10,0.6099,0,28.28,0.5636,0.4364,100
2020-01-13,-0.4896,0,30.7,0.4285,0.5715,100
2020-01-14,-0.9307,0,19.55,0.3452,0.6548,100
2020-01-15,0.7299,0,13.92,0.6205,0.3795,100
2020-01-16,-0.9224,0,28.68,0.355,0.645,100
2020-01-17,0.9695,0,18.96,0.7003,0.2997,100
2020-01-20,0.3835,0,23.12,0.5485,0.4515,100
2020-01-21,-0.9585,0,26.52,0.3551,0.6449,100
2020-01-22,0.7434,0,14.09,0.6218,0.3782,100
2020-01-23,-0.8536,0,22.56,0.3562,0.6438,100
2020-01-24,0.8873,0,12.99,0.592,0.408,100
2020-01-27,-0.3296,0,17.33,0.4854,0.5146,100
2020-01-28,0.622,0,23.29,0.6251,0.3749,100
2020-01-29,-0.9591,0,26.69,0.3924,0.6076,100
2020-01-30,0.9589,0,14.71,0.629,0.371,100
2020-01-31,-0.5883,0,17.08,0.3803,0.6197,100
2020-02-03,-0.7483,0,23.84,0.3713,0.6287,100
2020-02-04,0.9746,0,23.56,0.6721,0.3279,100
2020-02-05,-0.4862,0,14.89,0.4714,0.5286,100
2020-02-06,-0.5855,0,19.38,0.4087,0.5913,100
2020-02-07,0.927,0,21.15,0.6631,0.3369,100
2020-02-10,-0.3463,0,16.13,0.479,0.521,100
2020-02-11,0.1384,0,19.81,0.5813,0.4187,100
2020-02-12,0.8735,0,25.84,0.6844,0.3156,100
2020-02-13,-0.907,0,17.39,0.3221,0.6779,100
2020-02-14,-0.2989,0,21.96,0.4037,0.5963,100
2020-02-17,-0.2342,0,18.58,0.4477,0.5523,100
2020-02-18,-0.7012,0,25.97,0.4187,0.5813,100
2020-02-19,0.9635,0,30.21,0.6568,0.3432,100
2020-02-20,-0.3665,0,16.66,0.4327,0.5673,100
2020-02-21,-0.0355,0,16.47,0.503,0.497,100
2020-02-24,-0.8772,0,21.01,0.3382,0.6618,100
2020-02-25,-0.0516,0,19.22,0.4459,0.5541,100
2020-02-26,0.1815,0,21.14,0.4989,0.5011,100
2020-02-27,0.7874,0,15.4,0.6038,0.3962,100
2020-02-28,0.0514,0,16.32,0.5422,0.4578,100
