Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,-0.9767,0,34.81,0.3101,0.6899,100
2020-01-03,-0.9622,0,26.91,0.2836,0.7164,100
2020-01-06,-0.9693,0,22.87,0.365,0.635,100
2020-01-07,-0.961,0,23.98,0.3303,0.6697,100
2020-01-08,-0.9685,0,20.69,0.3217,0.6783,100
2020-01-09,-0.9544,0,16.14,0.3164,0.6836,100
2020-01-10,-0.1644,0,19.46,0.4696,0.5304,100
2020-01-13,0.967,0,30.96,0.6502,0.3498,100
2020-01-14,0.7497,0,30.94,0.6044,0.3956,100
2020-01-15,-0.9213,0,13.95,0.338,0.662,100
2020-01-16,-0.9255,0,26.53,0.3829,0.6171,100
2020-01-17,0.966,0,26.41,0.6181,0.3819,100
2020-01-20,-0.7434,0,22.65,0.4039,0.5961,100
2020-01-21,0.9544,0,32.3,0.6575,0.3425,100
2020-01-22,-0.8664,0,18.34,0.309,0.691,100
2020-01-23,0.8605,0,17.72,0.6163,0.3837,100
2020-01-24,-0.9631,0,23.32,0.3973,0.6027,100
2020-01-27,0.9483,0,21.31,0.6998,0.3002,100
2020-01-28,0.6451,0,25.36,0.5178,0.4822,100
2020-01-29,-0.7331,0,16.31,0.4094,0.5906,100
2020-01-30,0.1615,0,14.69,0.5263,0.4737,100
2020-01-31,0.955,0,35.39,0.6491,0.3509,100
2020-02-03,-0.8066,0,31.1,0.3795,0.6205,100
2020-02-04,0.7106,0,80.38,0.6578,0.3422,100
2020-02-05,-0.9417,0,22.34,0.3912,0.6088,100
2020-02-06,0.6685,0,17.19,0.5843,0.4157,100
2020-02-07,0.3734,0,22.01,0.5638,0.4362,100
2020-02-10,-0.217,0,19.36,0.4582,0.5418,100
2020-02-11,0.8195,0,20.44,0.6447,0.3553,100
2020-02-12,-0.0649,0,16.25,0.5122,0.4878,100
2020-02-13,-0.9198,0,21.43,0.3417,0.6583,100
2020-02-14,0.6012,0,15.57,0.5612,0.4388,100
2020-02-17,0.1533,0,15.41,0.5055,0.4945,100
2020-02-18,0.6319,0,29.6,0.5692,0.4308,100
2020-02-19,-0.545,0,17.98,0.4351,0.5649,100
2020-02-20,-0.7397,0,15.56,0.3501,0.6499,100
2020-02-21,-0.2889,0,18.12,0.4417,0.5583,100
2020-02-24,-0.2143,0,19.3,0.4234,0.5766,100
2020-02-25,-0.693,0,22.93,0.4018,0.5982,100
2020-02-26,0.9433,0,14.63,0.6449,0.3551,100
2020-02-27,0.4069,0,13.78,0.5037,0.4963,100
2020-02-28,0.1798,0,14.51,0.4994,0.5006,100
