Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,0.9367,0,2.79,0.6269,0.3731,100
2020-01-03,0.9688,0,2.48,0.6366,0.3634,100
2020-01-06,0.9641,0,2.75,0.6683,0.3317,100
2020-01-07,0.952,0,2.76,0.6537,0.3463,100
2020-01-08,0.9695,0,3.31,0.6841,0.3159,100
2020-01-09,0.9717,0,3.92,0.6263,0.3737,100
2020-01-10,0.9653,0,3.21,0.6419,0.3581,100
2020-01-13,0.9775,0,4.63,0.6718,0.3282,100
2020-01-14,0.9373,0,6.19,0.6954,0.3046,100
2020-01-15,0.9751,0,7.12,0.6006,0.3994,100
2020-01-16,0.8454,0,15.77,0.57,0.43,100
2020-01-17,0.9719,0,4.92,0.6778,0.3222,100
2020-01-20,0.9671,0,6.66,0.6508,0.3492,100
2020-01-21,0.7334,0,22.14,0.6296,0.3704,100
2020-01-22,0.9711,0,8.68,0.6608,0.3392,100
2020-01-23,0.7324,0,11.06,0.5868,0.4132,100
2020-01-24,0.9615,0,14.09,0.6083,0.3917,100
2020-01-27,0.2849,0,11.71,0.5526,0.4474,100
2020-01-28,0.9306,0,22.2,0.6612,0.3388,100
2020-01-29,-0.9054,0,8.59,0.3608,0.6392,100
2020-01-30,-0.0994,0,13.81,0.4763,0.5237,100
2020-01-31,-0.9606,0,9.24,0.3602,0.6398,100
2020-02-03,0.9621,0,12.44,0.6543,0.3457,100
2020-02-04,-0.9344,0,16.52,0.384,0.616,100
2020-02-05,-0.9265,0,12.09,0.3934,0.6066,100
2020-02-06,0.9952,0,27.3,0.6539,0.3461,100
2020-02-07,0.9413,0,11.33,0.7064,0.2936,100
2020-02-10,-0.9552,0,10.3,0.3277,0.6723,100
2020-02-11,0.9598,0,11.13,0.596,0.404,100
2020-02-12,-0.9101,0,16.19,0.3843,0.6157,100
2020-02-13,0.9626,0,17.17,0.6953,0.3047,100
2020-02-14,0.1242,0,12.63,0.5275,0.4725,100
2020-02-17,-0.9746,0,14.14,0.338,0.662,100
2020-02-18,-0.9906,0,23.06,0.3763,0.6237,100
2020-02-19,0.7105,0,8.14,0.5658,0.4342,100
2020-02-20,0.7696,0,6.44,0.5926,0.4074,100
2020-02-21,-0.7163,0,8.69,0.3881,0.6119,100
2020-02-24,0.1543,0,7.61,0.4721,0.5279,100
2020-02-25,0.946,0,9.15,0.6618,0.3382,100
2020-02-26,-0.193,0,8.84,0.4756,0.5244,100
2020-02-27,0.9631,0,14.99,0.6252,0.3748,100
2020-02-28,-0.9627,0,11.58,0.3343,0.6657,100
