Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,-0.9773,0,70.49,0.3648,0.6352,100
2020-01-03,-0.9824,0,43.24,0.2967,0.7033,100
2020-01-06,-0.9718,0,34,0.294,0.706,100
2020-01-07,-0.9551,0,30.3,0.3851,0.6149,100
2020-01-08,-0.9654,0,26.7,0.3209,0.6791,100
2020-01-09,-0.9658,0,27.93,0.3326,0.6674,100
2020-01-10,-0.9661,0,21.86,0.3954,0.6046,100
2020-01-13,-0.9618,0,34.08,0.3621,0.6379,100
2020-01-14,-0.9863,0,37.25,0.3446,0.6554,100
2020-01-15,-0.9698,0,17.43,0.3441,0.6559,100
2020-01-16,-0.9932,0,56.64,0.3142,0.6858,100
2020-01-17,-0.3144,0,15.77,0.4377,0.5623,100
2020-01-20,-0.4512,0,15.93,0.4501,0.5499,100
2020-01-21,-0.9745,0,35.22,0.3208,0.6792,100
2020-01-22,0.8302,0,11.21,0.6523,0.3477,100
2020-01-23,0.4677,0,19.4,0.5348,0.4652,100
2020-01-24,0.6853,0,20.33,0.6035,0.3965,100
2020-01-27,-0.846,0,16.85,0.4044,0.5956,100
2020-01-28,0.8654,0,28.68,0.645,0.355,100
2020-01-29,-0.9745,0,21.08,0.4066,0.5934,100
2020-01-30,0.6921,0,17.98,0.6016,0.3984,100
2020-01-31,-0.6538,0,16.76,0.4142,0.5858,100
2020-02-03,0.8128,0,11.24,0.6354,0.3646,100
2020-02-04,-0.7677,0,19.78,0.3995,0.6005,100
2020-02-05,0.3633,0,13.06,0.5866,0.4134,100
2020-02-06,0.0815,0,20.58,0.5075,0.4925,100
2020-02-07,0.789,0,31.45,0.6898,0.3102,100
2020-02-10,0.8605,0,22.5,0.6525,0.3475,100
2020-02-11,-0.2848,0,23.71,0.4759,0.5241,100
2020-02-12,-0.915,0,16.42,0.3606,0.6394,100
2020-02-13,-0.7977,0,18.85,0.343,0.657,100
2020-02-14,0.9118,0,15.14,0.6647,0.3353,100
2020-02-17,-0.9436,0,24.87,0.3663,0.6337,100
2020-02-18,-0.9555,0,37.42,0.3855,0.6145,100
2020-02-19,0.7315,0,13.6,0.5626,0.4374,100
2020-02-20,0.2637,0,12.26,0.5132,0.4868,100
2020-02-21,0.7841,0,16.72,0.6421,0.3579,100
2020-02-24,0.4727,0,22.88,0.6077,0.3923,100
2020-02-25,-0.8559,0,11.71,0.3696,0.6304,100
2020-02-26,-0.9,0,19.09,0.348,0.652,100
2020-02-27,0.8272,0,12.5,0.6539,0.3461,100
2020-02-28,-0.0687,0,16.94,0.5086,0.4914,100
