Date,Open,High,Low,Close,VWAP,Volume,Amount,TurnoverRate,MarketCap,PE,PB,PS,DividendYield,Beta,Volatility,FairValue,Mispricing
2020-01-02,29.7797,32.8967,29.7113,32.8138,31.3004,1.71,53.68,0.01224,8450.89,13.29,3.119,3.362,0.03532,1.23,0.2238,46.8371,-0.2994
2020-01-03,32.5876,36.2906,32.3787,36.0952,34.338,2.05,70.23,0.01459,9295.98,13.67,2.743,3.703,0.03711,1.23,0.292,50.3146,-0.2826
2020-01-06,36.2641,39.9769,35.5694,39.7047,37.8788,3.82,144.54,0.02722,10225.58,14.45,2.496,4.066,0.01056,1.23,0.3567,52.5106,-0.2439
2020-01-07,39.3884,44.3574,38.6286,43.6751,41.5124,1.59,66.08,0.01136,11248.14,15.6,2.334,4.483,0.01984,1.23,0.4183,53.6575,-0.186
2020-01-08,44.5258,48.2098,43.9245,48.0427,46.1757,2.12,97.68,0.01509,12372.95,17.05,2.232,4.95,0.02284,1.23,0.4767,54.116,-0.1122
2020-01-09,48.6471,53.3175,48.3529,52.8469,50.7911,1.73,87.63,0.01231,13610.25,18.65,2.169,5.442,0.01979,1.23,0.5323,54.5173,-0.0306
2020-01-10,52.2964,54.2093,51.9257,53.5737,53.0013,1.95,103.21,0.01389,13797.42,18.82,1.969,5.505,0.01377,1.23,0.5166,54.8417,-0.0231
2020-01-13,54.046,60.5629,52.4224,58.3314,56.3407,2.64,148.69,0.01883,15022.73,20.5,1.941,6,0.00298,1.23,0.5612,54.6599,0.0672
2020-01-14,56.7428,57.1569,53.4204,53.9169,55.3093,1.88,103.8,0.01339,13885.8,18.95,1.639,5.548,0.023,1.23,0.5932,54.6844,-0.014
2020-01-15,52.9352,55.7663,52.3111,55.4058,54.1046,1.89,102.08,0.01346,14269.26,19.58,1.551,5.732,0.04637,1.23,0.5855,54.0042,0.026
2020-01-16,55.4703,57.7478,48.4523,50.1967,52.9668,2.96,157.05,0.02115,12927.72,17.73,1.302,5.19,0.01241,1.23,0.6308,53.9656,-0.0698
2020-01-17,50.1061,57.4142,49.0198,55.2164,52.9391,2.21,116.93,0.01576,14220.49,19.54,1.334,5.722,0.03019,1.23,0.6787,53.487,0.0323
2020-01-20,53.8651,55.0456,48.6954,49.6948,51.8252,2.82,146.15,0.02012,12798.44,17.56,1.124,5.139,0.00752,1.23,0.7241,53.7611,-0.0756
2020-01-21,51.7241,52.8319,45.9664,46.6493,49.2929,3.56,175.67,0.02543,12014.09,16.57,0.992,4.85,0.03627,1.23,0.7365,53.1169,-0.1218
2020-01-22,47.4566,51.6702,46.498,50.6277,49.0631,2.1,103.03,0.01498,13038.72,17.99,1.016,5.267,0.00423,1.23,0.7674,52.857,-0.0422
2020-01-23,51.1703,52.698,47.8962,49.49,50.3136,3.17,159.74,0.02265,12745.69,17.55,0.94,5.137,0.02735,1.23,0.7469,53.1429,-0.0687
2020-01-24,49.4716,53.4568,48.5061,51.9591,50.8484,1.54,78.17,0.01097,13381.59,18.46,0.937,5.404,0.01275,1.23,0.7491,52.914,-0.018
2020-01-27,50.9838,52.3045,45.1077,46.7632,48.7898,4.84,235.93,0.0345,12043.43,16.63,0.802,4.869,0.04827,1.23,0.7911,52.9174,-0.1163
2020-01-28,46.6317,52.891,43.7846,51.4395,48.6867,2.59,126.2,0.01849,13247.77,18.3,0.842,5.356,0.01381,1.23,0.8309,52.6309,-0.0226
2020-01-29,53.1975,55.3155,47.2457,49.3884,51.2868,2.22,114,0.01586,12719.52,17.58,0.773,5.146,0.03776,1.23,0.821,52.7607,-0.0639
