Date,Open,High,Low,Close,VWAP,Volume,Amount,TurnoverRate,MarketCap,PE,PB,PS,DividendYield,Beta,Volatility,FairValue,Mispricing
2020-01-02,21.8362,21.8671,19.4162,19.5007,20.6551,3,61.89,0.01231,8215.45,50.09,0.697,7.037,0.00197,0.65,0.2437,7.3866,1.64
2020-01-03,19.7164,20.0369,17.4605,17.5506,18.6911,3,56.1,0.01233,7393.91,41.44,0.618,6.323,0.0317,0.65,0.3109,8.0306,1.1855
2020-01-06,17.6854,17.8113,15.678,15.7956,16.7426,7.15,119.73,0.02939,6654.51,35.5,0.548,5.719,0.03694,0.65,0.3747,8.4282,0.8741
2020-01-07,15.9841,16.1315,14.1184,14.216,15.1125,3.57,54,0.01468,5989.06,30.35,0.485,5.153,0.04173,0.65,0.4354,8.8669,0.6033
2020-01-08,14.3415,14.5732,12.4781,12.7944,13.5468,3.05,41.31,0.01253,5390.16,26.4,0.43,4.645,0.01016,0.65,0.493,9.1685,0.3955
2020-01-09,12.6567,12.7283,11.4647,11.515,12.0912,3.19,38.58,0.01311,4851.14,22.97,0.38,4.175,0.0406,0.65,0.5477,9.4758,0.2152
2020-01-10,11.3281,11.5538,10.1475,10.3635,10.8482,2.9,31.49,0.01193,4366.03,20.18,0.336,3.764,0.02287,0.65,0.5997,9.7003,0.0684
2020-01-13,10.0855,10.1642,9.393,9.5799,9.8057,3.73,36.6,0.01534,4035.92,18.37,0.306,3.493,0.04482,0.65,0.6297,9.8434,-0.0268
2020-01-14,9.4206,10.7078,9.1286,10.4387,9.9239,4.88,48.42,0.02005,4397.72,19.76,0.328,3.813,0.02657,0.65,0.6694,9.9616,0.0479
2020-01-15,10.609,10.6875,9.8341,9.9331,10.2659,3.04,31.2,0.01249,4184.73,18.63,0.307,3.636,0.02164,0.65,0.6744,10.0476,-0.0114
2020-01-16,10.2381,10.3744,9.3691,9.4368,9.8546,5.42,53.4,0.02227,3975.63,17.45,0.287,3.437,0.01536,0.65,0.6803,10.1839,-0.0734
2020-01-17,9.2982,10.855,8.9714,10.3805,9.8763,3.82,37.75,0.01571,4373.19,19,0.31,3.769,0.03982,0.65,0.7257,10.2812,0.0097
2020-01-20,10.3914,10.9446,10.1058,10.4474,10.4723,3.93,41.18,0.01616,4401.4,19.09,0.307,3.805,0.03337,0.65,0.6945,10.2908,0.0152
2020-01-21,10.3247,10.5881,10.1109,10.4114,10.3588,5.17,53.55,0.02124,4386.21,18.99,0.301,3.801,0.0384,0.65,0.6625,10.3034,0.0105
2020-01-22,10.2938,10.5969,9.5391,9.8725,10.0756,3.47,34.95,0.01425,4159.2,17.94,0.281,3.603,0.03525,0.65,0.6705,10.3323,-0.0445
2020-01-23,10.1113,10.1874,9.5843,9.7538,9.9092,5.44,53.87,0.02234,4109.18,17.69,0.273,3.563,0.02775,0.65,0.6465,10.3426,-0.0569
2020-01-24,9.7116,10.7219,9.3931,10.216,10.0106,3.03,30.29,0.01243,4303.88,18.53,0.282,3.738,0.02388,0.65,0.6518,10.3369,-0.0117
2020-01-27,10.2718,10.6334,9.6113,9.8955,10.103,7.02,70.9,0.02884,4168.87,17.94,0.269,3.624,0.01178,0.65,0.6441,10.3343,-0.0425
2020-01-28,9.722,10.1451,9.5355,10.0662,9.8672,3.97,39.18,0.01632,4240.78,18.23,0.27,3.687,0.00522,0.65,0.6256,10.3396,-0.0264
2020-01-29,9.9599,10.2368,9.7991,10.0608,10.0142,3.03,30.38,0.01247,4238.53,18.18,0.266,3.68,0.00394,0.65,0.5947,10.3533,-0.0282
2020-01-30,9.9178,10.1629,9.7785,9.989,9.9621,3.24,32.3,0.01333,4208.25,18.08,0.26,3.662,0.03662,0.65,0.5706,10.3273,-0.0328
2020-01-31,10.2098,10.7452,10.0256,10.4846,10.3663,4.41,45.69,0.01811,4417.04,18.92,0.269,3.833,0.0286,0.65,0.5815,10.3454,0.0135
2020-02-03,10.7298,10.822,9.7397,9.7871,10.2697,4.06,41.71,0.01669,4123.22,17.6,0.248,3.565,0.01641,0.65,0.6052,10.3738,-0.0566
2020-02-04,9.5478,10.9005,9.4413,10.7658,10.1639,4.76,48.37,0.01956,4535.54,19.35,0.269,3.92,0.02751,0.65,0.6543,10.3677,0.0384
2020-02-05,10.596,11.2388,10.0971,11.037,10.7422,5.09,54.72,0.02093,4649.78,19.87,0.272,4.026,0.00527,0.65,0.6416,10.3628,0.0651
2020-02-06,11.1044,11.534,9.9962,10.1905,10.7063,3.11,33.33,0.0128,4293.14,18.38,0.247,3.724,0.04876,0.65,0.6704,10.3438,-0.0148
2020-02-07,10.0978,10.4211,9.8517,10.2153,10.1465,3.09,31.35,0.0127,4303.6,18.44,0.245,3.735,0.02507,0.65,0.6388,10.2986,-0.0081
2020-02-10,10.3495,10.6515,10.1762,10.5189,10.424,4.03,42.02,0.01656,4431.51,19,0.249,3.849,0.04723,0.65,0.6305,10.2818,0.0231
2020-02-11,10.4661,10.6013,10.2118,10.3198,10.3997,3.02,31.42,0.01241,4347.61,18.58,0.241,3.764,0.01838,0.65,0.614,10.3151,0.0004
2020-02-12,10.262,10.6009,10.0882,10.4427,10.3485,3.1,32.11,0.01275,4399.42,18.76,0.24,3.801,0.0133,0.65,0.5927,10.3223,0.0117
2020-02-13,10.2839,10.4328,10.005,10.3214,10.2608,3.19,32.68,0.01309,4348.29,18.5,0.235,3.747,0.00059,0.65,0.5723,10.3444,-0.0022
2020-02-14,10.3863,10.6808,9.9134,10.2474,10.307,2.9,29.88,0.01191,4317.13,18.29,0.23,3.706,0.02998,0.65,0.5494,10.3748,-0.0123
2020-02-17,10.1233,10.3424,9.7859,10.0612,10.0782,3.62,36.46,0.01487,4238.7,17.95,0.223,3.636,0.0075,0.65,0.5363,10.3759,-0.0303
2020-02-18,9.7307,10.5268,9.502,10.3397,10.0248,4.86,48.75,0.01998,4356.03,18.45,0.226,3.737,0.01721,0.65,0.5315,10.3695,-0.0029
