Date,Open,High,Low,Close,VWAP,Volume,Amount,TurnoverRate,MarketCap,PE,PB,PS,DividendYield,Beta,Volatility,FairValue,Mispricing
2020-01-02,29.963,30.0692,27.1039,27.2785,28.6037,4.57,130.77,0.01405,13043.04,32.56,1.587,10.375,0.00135,0.67,0.2437,15.8942,0.7163
2020-01-03,27.3369,27.694,24.3056,24.5507,25.9718,5.61,145.77,0.01725,11738.74,29.25,1.362,9.319,0.0235,0.67,0.3109,15.9138,0.5427
2020-01-06,24.7852,25.0956,21.9397,22.0956,23.479,10.94,256.83,0.03362,10564.86,26.27,1.171,8.369,0.04624,0.67,0.3747,15.9333,0.3868
2020-01-07,22.2595,22.8475,19.4489,19.886,21.1105,5.2,109.72,0.01598,9508.38,23.7,1.009,7.55,0.04283,0.67,0.4354,15.8844,0.2519
2020-01-08,19.7803,19.8788,17.7227,17.8974,18.8198,4.77,89.79,0.01466,8557.54,21.4,0.871,6.818,0.00105,0.67,0.493,15.8176,0.1315
2020-01-09,17.6999,17.8821,16.528,16.6637,17.1934,6.68,114.92,0.02054,7967.64,19.84,0.779,6.32,0.01658,0.67,0.523,15.8754,0.0497
2020-01-10,16.8817,17.4674,14.4933,14.9973,15.9599,13,207.45,0.03995,7170.87,17.93,0.675,5.713,0.01247,0.67,0.5763,15.7947,-0.0505
2020-01-13,15.3197,15.7805,15.2331,15.6063,15.4849,5.05,78.22,0.01553,7462.03,18.72,0.677,5.965,0.02823,0.67,0.5797,15.7305,-0.0079
2020-01-14,15.7084,16.7286,15.1438,16.4505,16.0078,7.6,121.68,0.02336,7865.67,19.75,0.689,6.292,0.02533,0.67,0.5936,15.706,0.0474
2020-01-15,16.0549,16.6405,14.4999,14.8054,15.5002,7.46,115.68,0.02294,7079.1,17.78,0.599,5.666,0.02933,0.67,0.6433,15.6856,-0.0561
2020-01-16,14.8243,15.6302,14.5542,15.4314,15.11,7.38,111.56,0.02269,7378.39,18.57,0.604,5.916,0.0392,0.67,0.6447,15.6466,-0.0138
2020-01-17,15.3717,15.8051,15.1499,15.6762,15.5007,5.12,79.44,0.01575,7495.46,18.94,0.594,6.035,0.04936,0.67,0.6251,15.5722,0.0067
2020-01-20,15.4317,15.6953,14.8491,15.0235,15.2499,11.55,176.07,0.03549,7183.38,18.21,0.552,5.8,0.04703,0.67,0.6269,15.5177,-0.0318
2020-01-21,14.5874,15.4991,14.3878,15.4101,14.9711,7.36,110.13,0.02261,7368.26,18.66,0.55,5.944,0.02578,0.67,0.6159,15.5197,-0.0071
2020-01-22,14.9287,15.1956,14.4252,14.6481,14.7994,6.51,96.31,0.02,7003.87,17.73,0.508,5.649,0.02223,0.67,0.6244,15.5105,-0.0556
2020-01-23,14.9967,15.8242,14.4368,14.8197,15.0193,8.18,122.9,0.02515,7085.94,17.93,0.499,5.713,0.02357,0.67,0.6025,15.507,-0.0443
2020-01-24,14.3967,16.5177,13.8089,16.174,15.2243,7.27,110.75,0.02236,7733.5,19.58,0.53,6.236,0.01232,0.67,0.6449,15.4907,0.0441
2020-01-27,16.2379,16.9327,15.1779,15.4565,15.9512,12.53,199.81,0.0385,7390.41,18.73,0.493,5.966,0.00195,0.67,0.6479,15.4639,-0.0005
2020-01-28,15.3768,15.8548,14.6215,14.8617,15.1787,7.11,107.89,0.02185,7106.03,18.06,0.462,5.752,0.00312,0.67,0.646,15.4086,-0.0355
2020-01-29,14.8644,15.7459,14.3598,14.9457,14.9789,4.6,68.87,0.01413,7146.16,18.25,0.453,5.813,0.03311,0.67,0.6182,15.3206,-0.0245
2020-01-30,14.7622,15.6462,14.3054,15.4428,15.0392,6.51,97.88,0.02,7383.89,18.85,0.457,6.007,0.01504,0.67,0.6137,15.3068,0.0089
2020-01-31,14.8928,15.5012,13.5532,14.1388,14.5215,9.91,143.91,0.03046,6760.37,17.28,0.408,5.506,0.00222,0.67,0.65,15.2763,-0.0745
2020-02-03,14.2533,14.6977,13.957,14.3395,14.3119,6.55,93.75,0.02013,6856.34,17.52,0.405,5.581,0.00143,0.67,0.6288,15.2704,-0.061
2020-02-04,14.4295,15.0857,13.961,14.7679,14.561,5.46,79.57,0.0168,7061.18,18,0.407,5.734,0.03437,0.67,0.6211,15.2925,-0.0343
2020-02-05,15.1667,15.4786,14.4014,14.7068,14.9383,5.44,81.22,0.01671,7031.95,17.91,0.397,5.706,0.00214,0.67,0.5933,15.2898,-0.0381
2020-02-06,14.5132,15.5846,13.9738,14.8929,14.7411,5.38,79.33,0.01654,7120.92,18.11,0.393,5.768,0.01743,0.67,0.5737,15.302,-0.0267
2020-02-07,14.6316,15.3668,14.169,14.7654,14.7332,6.59,97.08,0.02025,7059.98,17.92,0.381,5.71,0.0401,0.67,0.5518,15.3127,-0.0357
2020-02-10,14.4688,15.1263,14.0243,14.6829,14.5756,5.74,83.68,0.01765,7020.51,17.92,0.371,5.708,0.04187,0.67,0.5286,15.2208,-0.0353
2020-02-11,14.5945,15.3417,14.4121,15.218,14.8915,4.78,71.12,0.01468,7276.36,18.57,0.377,5.916,0.04912,0.67,0.5311,15.2108,0.0005
2020-02-12,15.187,15.3707,14.4391,14.6714,14.917,6.47,96.56,0.0199,7015.03,17.87,0.356,5.694,0.01348,0.67,0.5331,15.2371,-0.0371
2020-02-13,15.156,15.5261,14.7206,15.3018,15.1761,5.48,83.21,0.01685,7316.45,18.68,0.364,5.951,0.03336,0.67,0.5405,15.1818,0.0079
2020-02-14,15.2008,15.3511,14.5571,14.6287,14.9344,5.57,83.18,0.01712,6994.62,17.9,0.342,5.703,0.02076,0.67,0.5484,15.1513,-0.0345
2020-02-17,14.7803,15.1963,14.3575,14.8539,14.797,5.11,75.61,0.01571,7102.31,18.19,0.34,5.796,0.01173,0.67,0.5332,15.1125,-0.0171
2020-02-18,14.699,14.8996,14.4046,14.5924,14.6489,6.35,92.97,0.01951,6977.26,17.92,0.328,5.709,0.01195,0.67,0.5205,15.0647,-0.0313
2020-02-19,14.5161,14.8288,13.631,13.9993,14.2438,6.4,91.15,0.01967,6693.69,17.25,0.309,5.496,0.00993,0.67,0.5268,15.0022,-0.0668
2020-02-20,14.2702,14.6987,13.1457,13.39,13.8761,11.65,161.6,0.0358,6402.32,16.48,0.291,5.249,0.0173,0.67,0.535,15.0152,-0.1082
2020-02-21,13.0795,14.3866,12.7542,14.0869,13.5768,6.06,82.23,0.01862,6735.57,17.29,0.3,5.51,0.03615,0.67,0.5495,15.0382,-0.0633
2020-02-24,14.2007,14.8186,13.7203,14.6525,14.348,5.15,73.95,0.01584,7006,18.02,0.307,5.74,0.0107,0.67,0.5539,15.0055,-0.0235
2020-02-25,15.0016,15.2356,13.231,13.3341,14.2005,8.09,114.93,0.02488,6375.59,16.45,0.275,5.241,0.0499,0.67,0.5977,14.9573,-0.1085
2020-02-26,13.2157,14.8282,12.9235,14.6675,13.9087,5.15,71.61,0.01583,7013.15,18.11,0.297,5.77,0.01863,0.67,0.6471,14.9273,-0.0174
2020-02-27,15.1381,15.4293,13.6048,14.3022,14.6186,5.38,78.61,0.01653,6838.51,17.68,0.285,5.631,0.03681,0.67,0.6346,14.9306,-0.0421
2020-02-28,14.3018,14.9382,13.3518,14.0548,14.1616,5.75,81.46,0.01768,6720.22,17.37,0.276,5.535,0.03002,0.67,0.6166,14.8973,-0.0566
