Date,Open,High,Low,Close,VWAP,Volume,Amount,TurnoverRate,MarketCap,PE,PB,PS,DividendYield,Beta,Volatility,FairValue,Mispricing
2020-01-02,72.3811,74.1639,64.4221,65.125,69.023,4.48,309.11,0.02012,22576.72,33.57,10.159,7.837,0.04481,1.16,0.3644,39.3216,0.6562
2020-01-03,65.8224,66.261,58.1697,58.6125,62.2164,3.52,219.25,0.01583,20319.05,27.65,6.871,7.034,0.00178,1.16,0.4255,42.6338,0.3748
2020-01-06,58.6712,59.9515,51.9115,52.7512,55.8214,3.64,203.08,0.01634,18287.14,24.06,4.92,6.344,0.00788,1.16,0.4836,43.7517,0.2057
2020-01-07,53.8732,54.9643,46.7221,47.4761,50.7589,3.88,196.92,0.01743,16458.43,21.19,3.662,5.692,0.0348,1.16,0.5388,44.392,0.0695
2020-01-08,48.057,48.47,45.8818,46.1386,47.1368,3.9,184.03,0.01754,15994.77,20.47,3.032,5.542,0.04052,1.16,0.5342,44.3404,0.0406
2020-01-09,45.7743,48.0428,43.2804,45.4453,45.6357,3.4,154.94,0.01525,15754.43,20.14,2.601,5.469,0.04769,1.16,0.5194,44.1023,0.0305
2020-01-10,45.7982,46.4436,41.0897,41.6929,43.7561,4.35,190.45,0.01955,14453.59,18.55,2.114,5.041,0.00239,1.16,0.559,43.642,-0.0447
2020-01-13,42.3107,43.7167,38.9333,39.4831,41.111,5.95,244.62,0.02673,13687.52,17.66,1.798,4.798,0.03869,1.16,0.5731,43.1607,-0.0852
2020-01-14,40.1512,42.0582,39.6168,41.6442,40.8676,4.14,169.25,0.0186,14436.71,18.73,1.722,5.088,0.03824,1.16,0.5879,42.6843,-0.0244
2020-01-15,41.842,42.4614,41.2374,41.6673,41.802,3.35,139.92,0.01504,14444.69,18.8,1.578,5.107,0.01396,1.16,0.559,42.3173,-0.0154
2020-01-16,41.8745,42.3861,40.4049,40.6598,41.3313,8.24,340.4,0.037,14095.45,18.37,1.421,4.993,0.04607,1.16,0.5502,42.0226,-0.0324
2020-01-17,40.1601,41.7733,39.3727,41.4592,40.6913,2.88,117.12,0.01293,14372.57,18.73,1.345,5.09,0.01432,1.16,0.5383,41.816,-0.0085
2020-01-20,40.2915,41.0918,38.2335,40.402,40.0047,3.74,149.74,0.01681,14006.06,18.32,1.223,4.977,0.04514,1.16,0.5316,41.4789,-0.026
2020-01-21,40.3582,41.532,37.1631,38.5168,39.3925,5.53,217.93,0.02485,13352.53,17.48,1.093,4.75,0.00724,1.16,0.5421,41.2521,-0.0663
2020-01-22,37.9638,42.5439,37.1974,41.6983,39.8509,3.99,159.07,0.01793,14455.44,18.89,1.114,5.133,0.04664,1.16,0.5805,41.1498,0.0133
2020-01-23,41.8796,42.2421,38.9438,39.2267,40.5731,3.59,145.49,0.01611,13598.62,17.77,0.989,4.829,0.03041,1.16,0.5986,40.9784,-0.0427
2020-01-24,37.7899,40.458,36.827,40.0218,38.7742,3.1,120.39,0.01395,13874.28,18.2,0.956,4.945,0.00879,1.16,0.5847,40.6719,-0.016
2020-01-27,40.1246,40.767,37.9352,39.4206,39.5619,3.6,142.36,0.01616,13665.86,17.96,0.895,4.879,0.01508,1.16,0.5674,40.4587,-0.0257
2020-01-28,38.9125,39.7146,37.8906,38.5911,38.7772,4.71,182.5,0.02114,13378.28,17.61,0.835,4.786,0.00512,1.16,0.5557,40.2399,-0.041
2020-01-29,38.9431,39.5896,37.1786,37.8291,38.3851,3.66,140.51,0.01644,13114.12,17.28,0.781,4.694,0.01454,1.16,0.5436,40.0839,-0.0563
2020-01-30,37.6072,39.1785,36.8719,38.6736,38.0828,3.67,139.7,0.01648,13406.88,17.68,0.764,4.803,0.01739,1.16,0.5342,39.9223,-0.0313
2020-01-31,38.7265,40.0831,37.722,39.3008,38.9581,3.37,131.48,0.01516,13624.32,17.96,0.744,4.88,0.03036,1.16,0.5203,39.8023,-0.0126
2020-02-03,40.0964,41.3635,39.4957,41.0135,40.4923,4.51,182.44,0.02024,14218.07,18.73,0.746,5.089,0.0199,1.16,0.5289,39.7192,0.0326
2020-02-04,40.3731,41.7144,36.1188,36.9122,38.7796,5.04,195.29,0.02262,12796.26,16.84,0.646,4.575,0.04349,1.16,0.5818,39.6867,-0.0699
