Date,Open,High,Low,Close,VWAP,Volume,Amount,TurnoverRate,MarketCap,PE,PB,PS,DividendYield,Beta,Volatility,FairValue,Mispricing
2020-01-02,133.8978,134.996,117.8595,118.909,126.4156,3.49,441.29,0.01645,52276.68,46.89,5.588,11.099,0.04816,0.83,0.4119,51.4059,1.3131
2020-01-03,118.672,120.5875,104.8689,107.0181,112.7866,2.09,235.29,0.00983,47049.02,40.41,4.472,9.95,0.00786,0.83,0.4707,53.268,1.009
2020-01-06,105.3429,106.2653,95.0479,96.3163,100.7431,3.73,376.15,0.0176,42344.11,34.92,3.609,8.927,0.01285,0.83,0.5265,55.0519,0.7496
2020-01-07,95.811,97.1935,84.7071,86.6847,91.0991,2.97,270.26,0.01398,38109.7,30.4,2.935,8.016,0.01897,0.83,0.5795,56.4932,0.5344
2020-01-08,86.1887,88.7114,76.4546,78.0162,82.3427,2.68,220.74,0.01263,34298.73,26.67,2.403,7.217,0.01184,0.83,0.6299,57.564,0.3553
2020-01-09,77.7385,78.7825,68.8423,70.2146,73.8945,2.53,187.19,0.01194,30868.86,23.48,1.98,6.483,0.01354,0.83,0.6778,58.4555,0.2012
2020-01-10,72.1957,75.6637,60.1366,63.1931,67.7973,2.9,196.44,0.01365,27781.97,20.74,1.641,5.838,0.04948,0.83,0.7233,59.1636,0.0681
2020-01-13,64.1618,66.9404,56.5486,59.2724,61.7308,2.59,160.02,0.01222,26058.27,19.22,1.425,5.49,0.00627,0.83,0.7364,59.5343,-0.0044
2020-01-14,58.8135,65.7115,56.215,62.8459,60.8965,3.92,238.66,0.01847,27629.34,20.13,1.406,5.814,0.01792,0.83,0.7474,59.9261,0.0487
2020-01-15,63.2754,64.1799,55.243,56.5614,59.8149,4.11,245.91,0.01937,24866.4,17.93,1.182,5.226,0.03905,0.83,0.7894,60.2224,-0.0608
2020-01-16,57.0725,59.2052,55.062,56.5377,56.9694,5.34,304.32,0.02517,24856.02,17.78,1.108,5.218,0.02277,0.83,0.7503,60.3708,-0.0635
2020-01-17,55.9863,63.8809,52.6813,62.1915,58.685,3.12,183.03,0.0147,27341.63,19.51,1.147,5.757,0.02813,0.83,0.7921,60.2382,0.0324
2020-01-20,60.9854,68.8095,59.6136,67.2382,64.1617,5.09,326.31,0.02397,29560.34,21.01,1.171,6.226,0.00389,0.83,0.8169,60.1864,0.1172
2020-01-21,67.4779,69.0084,59.6743,60.5144,64.1687,3.83,245.48,0.01803,26604.3,18.86,0.998,5.608,0.04512,0.83,0.8555,60.0662,0.0075
2020-01-22,58.3931,61.8773,54.3242,58.1201,58.1787,3.09,179.88,0.01457,25551.69,18.07,0.91,5.386,0.04968,0.83,0.8441,59.9428,-0.0304
2020-01-23,58.4385,62.1885,57.1955,60.5491,59.5929,3.27,194.97,0.01542,26619.57,18.87,0.903,5.635,0.0247,0.83,0.8351,59.5607,0.0166
2020-01-24,62.0338,65.4604,53.1085,55.0714,58.9185,3.08,181.44,0.01451,24211.37,17.14,0.784,5.123,0.00173,0.83,0.8651,59.4385,-0.0735
2020-01-27,55.326,59.6886,53.1779,58.9576,56.7875,2.82,160.08,0.01328,25919.9,18.38,0.802,5.499,0.02102,0.83,0.8779,59.1177,-0.0027
2020-01-28,59.3855,61.7627,55.3555,56.7914,58.3238,3.96,230.94,0.01866,24967.55,17.74,0.741,5.31,0.01333,0.83,0.8631,58.7812,-0.0339
2020-01-29,57.0052,58.1159,56.0148,57.3898,57.1314,2.23,127.28,0.0105,25230.62,17.93,0.718,5.365,0.00236,0.83,0.8283,58.604,-0.0207
2020-01-30,58.1728,58.8054,56.0345,56.9998,57.5031,2.84,163.05,0.01336,25059.14,17.86,0.686,5.344,0.01331,0.83,0.7923,58.2491,-0.0214
2020-01-31,58.2017,60.086,56.0741,57.2352,57.8993,2.29,132.8,0.01081,25162.65,17.85,0.663,5.342,0.0362,0.83,0.756,58.3236,-0.0187
2020-02-03,57.8043,61.1187,52.8821,56.0399,56.9612,2.32,132.25,0.01094,24637.16,17.47,0.626,5.228,0.04675,0.83,0.7348,58.1897,-0.0369
2020-02-04,58.5748,60.0385,53.9786,54.5373,56.7823,3.27,185.52,0.0154,23976.54,17.04,0.588,5.099,0.02616,0.83,0.7193,57.9099,-0.0582
2020-02-05,54.4501,58.2192,54.0153,57.1327,55.9543,2.4,134.4,0.01132,25117.58,17.84,0.596,5.339,0.02578,0.83,0.7211,57.7823,-0.0112
2020-02-06,58.6292,60.2611,57.6067,58.6839,58.7952,3.4,200.13,0.01604,25799.55,18.34,0.592,5.487,0.04273,0.83,0.7066,57.6176,0.0185
2020-02-07,59.7945,60.2799,52.1277,53.4508,56.4132,3.89,219.58,0.01834,23498.9,16.77,0.523,5.019,0.01307,0.83,0.7421,57.2485,-0.0663
2020-02-10,53.0234,54.6417,52.4147,54.2798,53.5899,3.35,179.73,0.01581,23863.35,16.99,0.515,5.083,0.02173,0.83,0.7173,57.2777,-0.0523
